{'短评内容': '除了房间大，其它都不行。', '短评打分': 2}
{'短评内容': '室温好，干净，服务好!', '短评打分': 5}
{'短评内容': '如实评价：1.携程位置标错了，实际很偏。2.房间马桶是坏的，床头柜是坏的，洗澡的喷头管是漏的。3.运气不好，赶上停电，手机没电到关机。4.说：不仅因为没电，税务系统升级，所以，发票开不了。', '短评打分': 1}
{'短评内容': '回来能够节约一天时间', '短评打分': 5}
{'短评内容': '隔壁就是漠河县公路管理站，自驾进出比较方便，离各景点都比较近。值得推荐！', '短评打分': 5}
{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '挺干净的，服务态度也不错', '短评打分': 3}
{'短评内容': "房间很干净'也够大。有电脑'床也很软'就是地热不够暖'", '短评打分': 3}
{'短评内容': '相对较好。', '短评打分': 4}
{'短评内容': '很干净，暖和。服务比较好 离火车站不太远 （坐车大概五分钟）', '短评打分': 5}
{'短评内容': '房间是地暖 房间很大 服务很好 还有接机服务 距离客运站很近', '短评打分': 5}
{'短评内容': '总的蛮不错的，干净整洁，都挺新的。比较好。', '短评打分': 3}
{'短评内容': '有免费街火车，还不错', '短评打分': 3}
