{'descr': '挺划算的，而且可以用白条解燃眉之急。', 'star': 5}
{'descr': '晚上12点多到，换了3个房间，空调是坏的，吱吱吱吱的响，Wi-Fi又不能用，前台是一直在打电话玩游戏，说空调有问题直接说我没办法，Wi-Fi连不上也是一样说我没办法，又墨迹说话又没礼貌，真心是住过最最最差的酒店', 'star': 1}
{'descr': '适合夜间飞机到达时间比较晚的游客，与大巴站很近。但是房间很小，预订1.5米的床，结果给的1.35米的床。衣服都是悬空挂，不推荐！', 'star': 4}
{'descr': '晚上入住的，提前查了在机场大巴站点边上，很好找，对面是公交枢纽站，不远还有地铁口，交通方便。前台服务热情，屋里环境还好，没有怪味也不潮湿，电视看着不错，唯一不好的是空调不能用，洗漱等用品几乎没有，不过这个价钱预订下来也可以了，总体满意。', 'star': 5}
{'descr': '酒店对面有停车场，要另外收费。附近很多饭店。公交站很近，到大礼堂不远，酒店的位置还是挺好的，去哪都挺方便。', 'star': 5}
{'descr': '比想象中的要好，能住，离机场大巴近，方便。', 'star': 4}
{'descr': '卫生间有臭气', 'star': 3}
{'descr': '有点陈旧，二楼有一半是茶馆，住二楼有点吵。', 'star': 5}
{'descr': '强烈推荐。。。', 'star': 5}
{'descr': '位置不错，方便便利，房间也不错', 'star': 5}
{'descr': '位置方便，出门就有机场大巴。卫生比较好，附近有蹄花面等小吃。', 'star': 5}
{'descr': '安静', 'star': 5}
{'descr': '交通便利，前台热情有耐心，服务不错', 'star': 5}
{'descr': '交通方便，房间床挺大的，附近美食比较多', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '一点儿都不好，办个入住等很久，服务态度也不好', 'star': 2}
{'descr': '房间比想象中小，是我住过的7天中，最小的了，其他都很满意。', 'star': 5}
{'descr': '晚上居然别人能打开我的房门，还好我在里面用了锁链，如果我不在呢，我房间的物品怎么办。', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '酒店位置有点难找，但是很安静。', 'star': 5}
{'descr': '还不错 就是房子有点旧', 'star': 5}
