{'descr': '不错。环境挺好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还可以只不过现在不叫速八了。', 'star': 4}
{'descr': '条件太差，房间小，设备旧，厕所有味道，坐便器位置上方又漏水，刚开的房就没有收拾有人住过的房间，完全失败的住宿！', 'star': 1}
{'descr': '其他都好，就是床有点小', 'star': 4}
{'descr': '灰常好⊙▽⊙', 'star': 5}
{'descr': '环境不错，交通方便', 'star': 5}
{'descr': '还好吧，一般', 'star': 3}
{'descr': '。有点久，不好', 'star': 3}
{'descr': '好好好好好好 好好好好舒适的', 'star': 5}
{'descr': '速八酒店干净，环境好，连住三晚，价格合理，喜欢该酒店，办理会员38元，优惠多多，出门在外就是速八了。', 'star': 5}
{'descr': '还行！就是不给连着住还行！就是不给连着住还行！就是不给连着住', 'star': 5}
{'descr': '位置很偏僻，服务不好', 'star': 3}
{'descr': '环境还好，挺安逸的', 'star': 3}
{'descr': '位置尚可，就是酒店装修不像以前在合肥住的速8那样好，而且价格要高很多。', 'star': 1}
{'descr': '房间还行', 'star': 3}
{'descr': '住2天连热水都没有，速8的热水速度真快，24小时热水就是个幌子，还没大车店好呢。', 'star': 1}
{'descr': '总体还是不错的，就是空调不是很有劲，房间还是比较大，服务不错，值得推荐。', 'star': 5}
{'descr': '还好！洗手间没有准备沐浴露！家里有点冷！', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': 'ok..............................................................................................', 'star': 5}
{'descr': '地点还可以，也安静，有停车场，房间也算干净，不过床单颜色有点黑，质量也不太好。', 'star': 1}
{'descr': '虽然是新开业的但是设施不是很新，酒店是在市区里面但是可能比较难找些，服务态度还好，价格还是比较贵。', 'star': 3}
{'descr': '服务不错。。                设备还需完善。。。                               ', 'star': 5}
{'descr': '  服务很好，房间干净', 'star': 3}
{'descr': '不错，服务什么都不错，挺好的！！！！！！！\n', 'star': 5}
{'descr': '环境不错，晚上很安静。服务也好，就是位置不太好找！', 'star': 5}
{'descr': '不好，不好不好，恶心不好，不好不好，恶心', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '酒店的服务非常好，前台服务员周到热情，房间硬件设施齐全，还可以上网，比较方便，住宿环境还是很不错的', 'star': 3}
{'descr': '房间大小适中，服务人员态度很好，卫生条件不错，很干净，住着比较放心', 'star': 3}
