{'短评内容': '房间干净，舒服', '短评打分': 5}
{'短评内容': '很舒服 很干净', '短评打分': 5}
{'短评内容': '老根据地了，很棒', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '很不错，朋友很喜欢', '短评打分': 5}
{'短评内容': '出差定的酒店，非常不错', '短评打分': 5}
{'短评内容': '郑东新区不错的酒店', '短评打分': 5}
{'短评内容': '住得挺不错的', '短评打分': 5}
{'短评内容': '酒店相当不错，房间大，设备完善', '短评打分': 5}
{'短评内容': '环境干净优雅舒适！', '短评打分': 5}
{'短评内容': '各个方面都不错 属于东区性佳颇高的高档酒店 推荐入住 ', '短评打分': 5}
{'短评内容': '服务态度很好、为6分', '短评打分': 3}
{'短评内容': '老板很满意！', '短评打分': 5}
{'短评内容': '环境设施没有万达的好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '0K', '短评打分': 5}
{'短评内容': '临时出差订的房间，想不到意外的不错，设施和地理位置都很好。', '短评打分': 5}
{'短评内容': '携带朋友一起入住。房间装修不错，锦江的管理也还可以。生意火爆，偶尔会订不到房间。停车方便，到机场便利。推荐。', '短评打分': 5}
{'短评内容': '公司的合作客户就在酒店附近，所以入住较多。价钱相对较高。整体环境还是不错，算位于政务区。可以推荐。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '今年好长一段时间没有住这里,这次入住后感觉相比周边的酒店在性价比上差好多,希望再改进', '短评打分': 5}
{'短评内容': '，非常榜，房间、环境都不错，唯一遗憾隔音不太好', '短评打分': 3}
{'短评内容': '酒店还不错，就是软件服务差点，房间卫生打扫的不是很干净', '短评打分': 5}
{'短评内容': '东区比较安静，交通方便，价格还可以，下次还会选择', '短评打分': 5}
{'短评内容': '设施和服务都不错设施和服务都不错设施和服务都不错设施和服务都不错设施和服务都不错', '短评打分': 5}
{'短评内容': '为北京朋友订的，朋友认为该酒店隶属锦江集团管理，在河南地区属于管理水平居中上等的水平，但是朋友说饭菜质量一般。', '短评打分': 5}
{'短评内容': '正方元真的很不错，房间够大，东西很新，当然也很干净。现在的价格有点偏高了，希望能低一点。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '不错 就是价格又涨了 偏贵', '短评打分': 3}
{'短评内容': '如果到会展中心开会方便，离市区有点远，打出租不容易，不过房间还不错哦', '短评打分': 5}
{'短评内容': '味儿大，空调只提供常温，不是很理想。要求索赔！', '短评打分': 1}
{'短评内容': '虽然是省会城市但是就地段和房间硬件来将，贵了。', '短评打分': 1}
{'短评内容': '宾馆新，各方面都不错，下次还会入住，就是价格涨了，预定的时间只相差4天，房价就由580涨到653了。', '短评打分': 5}
{'短评内容': '设施不错，宾馆新，早餐还可以，下次来还住，希望价格不要涨了。', '短评打分': 5}
{'短评内容': '酒店不错，设施很新，面积也大，值得推荐。酒店不错，设施很新，面积也大，值得推荐。', '短评打分': 5}
{'短评内容': '环境硬件不错，只是新营业的 酒店还有油漆的 味道', '短评打分': 5}
{'短评内容': '设施非常好，在郑东新区选择这个酒店，不错，下次再来。', '短评打分': 5}
{'短评内容': '酒店比较新，在周边算不错的酒店，就是价格有点高。性价比一般。', '短评打分': 5}
{'短评内容': '酒店设施还好，地理位置在新区，有点偏，春节期间地库居然不开，有些房间也有味道，说明酒店的管理还是有差距，但是酒店工作人员的态度总体还是不错的，肯想办法。房间是准五星的水平，和房间还算相当。', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间很舒适，就是周边商业稍差了些，不在市中心，到机场也算方便，以后有机会还是会考虑这家。', '短评打分': 5}
{'短评内容': '去郑州cbd是个不错的选择，价格合适，服务很好！', '短评打分': 5}
{'短评内容': '一直向朋友推荐该酒店，这次入住有两点意见：\n1、原位于黄河东路现改为黄河南路让人糊涂，我打车和自驾寻找都很困难，建议加强宣传。\n2、这次我们一共7人入住，前台先是没查找到订单，最后还得参考我的短信才找到，入住登记又显得手忙脚乱，让同行的国际友人感觉不好。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，打车方便。附近有各色餐馆，其他配套也可以。不过房价偏高，人员服务意识不高，而且还不是锦江的正式成员，南航明珠卡都不能积分。反正很一般，值不了这么多钱的房价。', '短评打分': 5}
{'短评内容': '酒店位于郑州市东边的新区，酒店所在的位置不是很繁华。酒店的服务不错，早餐品种不多，值得一提的是早餐的馄炖味道不错，大家可以试一试。', '短评打分': 5}
{'短评内容': '房间宽敞,卫生间很干净,洗澡不错,酒店服务很不错.', '短评打分': 5}
{'短评内容': '位置不在闹市，正好合我心意，环境也不错，房间很大，总体不错，以后还会去。', '短评打分': 5}
{'短评内容': '酒店硬件很好，服务也好，就是房间暖气不好，房间较冷', '短评打分': 5}
{'短评内容': '位置好，近CBD和省政府。房间宽敞，设施较新，但价格偏高，性价比不高。', '短评打分': 5}
{'短评内容': '锦江集团的酒店还是一如既往的保持较高的水准，大堂和房间都感到比较舒适，性价比不错。', '短评打分': 5}
{'短评内容': '房间不错，卫生搞得一般，自助餐98元物超所值。', '短评打分': 5}
{'短评内容': '酒店硬件很好  服务也不错  早餐很好  就是暖风不好用', '短评打分': 3}
{'短评内容': '酒店软硬件设施非常好，订的豪华套房已没有，酒店前台迅速给升级至行政套，本人十分感谢！服务人员态度超好！酒店行政套房有新颖的韩式光波汗蒸房，感觉非常好！建议入住！唯一感觉不足，酒店自助餐品种过少，建议增添新的餐饮品种。', '短评打分': 5}
{'短评内容': '很好的饭店，性价比很高，服务周到热情，硬件也能够达到标准，赞一个。', '短评打分': 3}
{'短评内容': '这个酒店很好,服务人员的态度都很好,很新,房间让人有马哥孛罗的感觉', '短评打分': 5}
{'短评内容': '非常好的酒店，虽还没挂星，服务和设施都达到五星水准。尤其上周经过桂林大正温泉酒店的恶劣经历对比，这家酒店超五星了。', '短评打分': 3}
{'短评内容': '这个酒店挺好的,推荐,就是地址有点偏.......................................', '短评打分': 5}
{'短评内容': '酒店满意，只是机场到酒店的出租集体宰客，30几公里就要你100元以上，如此省会领教了。', '短评打分': 5}
{'短评内容': '酒店不错，服务也很好，就是地理位置偏远，离火车站和机场较远', '短评打分': 5}
{'短评内容': '酒店不错，性价比非常好，酒店设施很新，服务员也比较热情。', '短评打分': 5}
{'短评内容': '除了离机场和车站远别的还可以，提醒各位，下次到郑州一定提前安排好车，郑州机场的出租全部口径一致，到锦江饭店100块以上，这种穷疯了的地方大家注意吧。', '短评打分': 5}
{'短评内容': '性价比非常好的一家酒店，酒店设施很新，服务员也比较热情，推荐！', '短评打分': 5}
{'短评内容': '饭店硬软件均不错,满意。', '短评打分': 3}
{'短评内容': '还可以 还是有味道 窗户只能开个小口 不利于通风', '短评打分': 3}
{'短评内容': '每次出差都住在这个酒店，设施服务都还不错，就是打车不方便', '短评打分': 5}
{'短评内容': '新开业，味道很大', '短评打分': 3}
{'短评内容': '酒店设施和卫生及服务都非常好。', '短评打分': 3}
{'短评内容': '朋友已经入住，觉得很好.以后还是会选择这个酒店，服务不错。酒店很新，床也大，酒店硬件设施不错，值得推荐一下。', '短评打分': 5}
{'短评内容': '不可否认，房间设计，面积，设施还可以，就是没有服务理念，保洁的工作有待于进一步培训！具体参考前面的评价', '短评打分': 5}
{'短评内容': '地段不是很便利，因为地处高新区的原因吧。高峰时段打车可能是个问题。酒店很新，装修的不错，房间比较大，总的来说还是性价比很高的！', '短评打分': 5}
{'短评内容': '基本上可以说非常不满意，酒店装修硬件设施还好，挺时尚，房间很大。但是不知到底是几星的酒店，房间洗不了热水澡，只能是刚有点温度的水，这是夏天还并非是冬天，给人冷的起鸡皮疙瘩，就是住快捷酒店都不会没有热水吧？房间延住晚上回到房间客房打扫的一塌糊涂，除了用品全换了外，地上还有烟灰，淋浴房里一个大黑点极其不协调，走近一看竟然是硕大一死苍蝇，退房时听到有别的客人反映“你这酒店就不能洗热水澡”前台人脸色很尴尬', '短评打分': 5}
{'短评内容': '郑州当地新开的一家酒店,首旅的,就是服务上还需加强,服务不够精准.', '短评打分': 5}
{'短评内容': '很新的酒店，五星的硬件水平，但是由于5月份才开业，所以房间还是有点味道。', '短评打分': 5}
{'短评内容': '最难以让人接受的酒店！水管里流出来的水和酱油颜色一般，应该是水管里的水锈引起，跟难以接受的是：酒店的工程部门以及酒店的服务员没有及时处理应急事情的能力，十分失望！\n简直就是一场噩梦！\n下次绝对不会入住！', '短评打分': 1}
{'短评内容': '朋友住的反馈下来说很不错的酒店。下次还会选择。', '短评打分': 5}
{'短评内容': '已入住，满意！', '短评打分': 3}
{'短评内容': '房间挺大设施不错。下次还会入住的', '短评打分': 3}
{'短评内容': '酒店很新，服务态度很好，有待完善设施。 ', '短评打分': 3}
