{'短评内容': '房间设施有点旧了', '短评打分': 4}
{'短评内容': '床单一股酥油茶的味道', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地方好找，停车方便', '短评打分': 5}
{'短评内容': '还行，', '短评打分': 4}
{'短评内容': '自己家浴缸脏我用毛巾擦一下 还让我赔毛n巾钱', '短评打分': 2}
{'短评内容': '还可以不错    态度不怎么好', '短评打分': 5}
{'短评内容': '不错哦，价格合理', '短评打分': 5}
{'短评内容': '还不错值得下次再去', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '还好吧，很安静！', '短评打分': 4}
{'短评内容': '房间味大，，', '短评打分': 4}
{'短评内容': '有点冷', '短评打分': 5}
{'短评内容': '酒店价格合理，环境卫生好', '短评打分': 5}
{'短评内容': '还算不错，价格实惠，出城方便', '短评打分': 3}
{'短评内容': '设施不错', '短评打分': 4}
{'短评内容': '都挺好，唯一就是那几日网络不好用，说是在修路影响了。', '短评打分': 5}
{'短评内容': '前台服务员态度很差,明明自己做错了死不承认。。。。。。', '短评打分': 1}
{'短评内容': '服务人员挺有礼貌，办事挺主动，态度也很好，卫生打扫也不错，房间挺干净的。', '短评打分': 5}
{'短评内容': '酒店位置不错，离火车站挺近，赶火车挺方便的。', '短评打分': 5}
{'短评内容': '酒店装修的挺不错，挺干净挺舒适的。', '短评打分': 5}
{'短评内容': '服务挺周到的，设施也齐全，卫生方面也不错，整体感觉性比挺好。', '短评打分': 5}
{'短评内容': '环境还可以，挺干净，服务态度挺好，设施也比较新，住的还比较舒适。', '短评打分': 5}
{'短评内容': '我觉得这家酒店各方面还都不错，整体感觉性价比蛮高的。', '短评打分': 5}
{'短评内容': '总体来说，酒店还可以。房间卫生也还行。', '短评打分': 5}
{'短评内容': '位置很好，离火车站挺近的，赶火车还是比较方便的。', '短评打分': 5}
{'短评内容': '内部环境还是比较新的比较干净，设施也比较新，感觉还不错。', '短评打分': 5}
{'短评内容': '这家酒店服务确实很好，服务很热情，还有门童服务，都会主动问好。感觉很亲切。', '短评打分': 5}
