{'短评内容': '无早餐，刚好', '短评打分': 5}
{'短评内容': '位置好，很方便', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '还可以，就是灯光暗些', '短评打分': 5}
{'短评内容': '还不错，还可以', '短评打分': 5}
{'短评内容': '房间很大，孩子玩得很高兴，赞一个。', '短评打分': 5}
{'短评内容': '酒店用餐，很多菜单里的都没有，厨师主要做套餐，婚宴为主，散客接待不好，酒店中央空调，不暖和，吹出的风土腥味很重。坐便盖有些脏，', '短评打分': 2}
{'短评内容': '还可以价格优惠', '短评打分': 5}
{'短评内容': '房间物有所值。', '短评打分': 5}
{'短评内容': '房间宽敞干净物有所值', '短评打分': 5}
{'短评内容': '房间小，电话都坏了也不修，竟然没有免费矿泉水。', '短评打分': 4}
{'短评内容': '在青州住过好多地方，第一次住这里，留下了深刻印象，本人工作很忙，几乎从来不点评酒店，知道酒店方面也不容易，但是这次，我真的想提醒后面打算住这里的朋友了。我的留言绝对中肯。第一，我入住那几天天气很冷，但是一进酒店大堂，工作人员比我还冷，大堂都没暖气，房间可想而知。第二，果然，房间的中央空天，出来的都是凉风，跟服务员要个电暖气，直到我走，都没有送来，买的大桶水，倒是送的很快。第三，这是个老酒店了，但是', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店有点旧。价格还可以，其他一般', '短评打分': 4}
{'短评内容': '你能知道外面下大雪，房间开空调只有十六度吗，找客服要不给你加被子要不给你电暖器，哭啊，冷啊，都不知道怎么挂星的，大冬天十六度啊，携程怎么考察的合作酒店，失望透顶', '短评打分': 1}
{'短评内容': '硬件有待加强', '短评打分': 3}
{'短评内容': '环境和地里位置比较好，有利于出行，接近市中心，推荐入住！', '短评打分': 3}
{'短评内容': '酒店的设施与服务都很好，空调制冷效果也好，服务热情、细致，早点丰富。十分推荐。', '短评打分': 3}
{'短评内容': '酒店硬件设施尚好，但周边环境较差，无商业区', '短评打分': 5}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '饭店的地理位置很方便，就紧挨着商业区。房间很大，布置得也很得体。早餐有点简单。', '短评打分': 5}
{'短评内容': '性价比很高，房间大干净，早餐很丰富，非常满意。', '短评打分': 3}
{'短评内容': '第一次入住，环境尚可，但餐饮不敢恭维，应该提供个性化服务', '短评打分': 5}
{'短评内容': '房间装修不错，就是周边环境稍差，', '短评打分': 3}
{'短评内容': '套房不错，价格也还可以。房间很好，很喜欢。有些小细节做的不太好，之前提供矿泉水的，现在没有了。早餐也没有以前丰富了，不过还是推荐入住了。', '短评打分': 5}
{'短评内容': '＇环境不错，离市区很近，房间没想像的那么大', '短评打分': 3}
{'短评内容': '房间较大，装修还不错，服务也周到，总之，还不错', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高，地段较好，值得推荐', '短评打分': 5}
{'短评内容': '装修还不错，服务也周到，地段在市中心，很方便', '短评打分': 5}
{'短评内容': '环境还不错，房间很大，早餐也顺口，就是我们到酒店的时候，前台竟然说我没定，不过后来还是按预定办理了房间。', '短评打分': 5}
{'短评内容': '房间很宽敞，设施较完善，早餐品种需要丰富一下！', '短评打分': 5}
{'短评内容': '青州最好的酒店之一 价格便宜 房间也不错 位置在中心地段 ', '短评打分': 5}
{'短评内容': '此酒店卫生条件尚可，服务还不错。性价比尚可', '短评打分': 5}
{'短评内容': '同等价位酒店房间过小，不是很宽阔，距离四星级标准还有一段要求', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '房间很好，洁净，设施也很全。', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '这次到青州，虽说就住了一天，但是能感受到酒店是很不错的，房间干净整洁，给人温馨的感觉。位置好，交通便利。员工服务态度好，是出门住宿的好地方。\n\n\n', '短评打分': 5}
{'短评内容': '预定的套房 比较不错 装修很有感觉 唯一的不足是淋浴和坐便在一起 而且只有一扇门相隔 感觉不是很好', '短评打分': 3}
{'短评内容': '这是山寨的假日酒店, 当然不能想当然和假日酒店比. 勉强三星吧. 不过在青州这个县级市就不错了. ', '短评打分': 1}
{'短评内容': '房间装修不错，但是保养的不好，1815房间的门可以修一下了。早饭太普通了。', '短评打分': 1}
{'短评内容': '非常新的酒店，内部设施很新，整体还可以。不过有个严重问题希望赶快整改，洗澡水怎么不热~！', '短评打分': 5}
{'短评内容': '预定房间没有保留', '短评打分': 3}
