{'短评内容': '不错，挺干净！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境还可以，干净整洁', '短评打分': 5}
{'短评内容': '干净卫生环境舒适', '短评打分': 5}
{'短评内容': '酒店位置还行，距地铁站15分钟路程', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的，物有所值，离火车站近，性价比高', '短评打分': 5}
{'短评内容': '酒店还不错，挺实惠的。', '短评打分': 5}
{'短评内容': '可以的哦', '短评打分': 5}
{'短评内容': '不错。相信汉庭！', '短评打分': 5}
{'短评内容': '地点有点偏，但很安静，服务也不错，物有所值的一次投资，下次来节约费用的话还是首选这个酒店，就是跑起来有点远', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很舒适 很安心', '短评打分': 5}
{'短评内容': '还可以吧这个价格', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境不错，服务很好，设施齐全，很卫生，习惯了汉庭', '短评打分': 5}
{'短评内容': '挺好的，我们的生活方式，你是个好人！', '短评打分': 5}
{'短评内容': '温馨舒适，一如既往的好！如果上网不那么复杂，就更好了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '1百分', '短评打分': 5}
{'短评内容': '明明标了含单早，但是入住后被告知没有早餐！不地道啊！', '短评打分': 1}
{'短评内容': '刘冬生以于7月30至8月1日入住并结帐,汉庭干净服务好,离火车站较近,但房间小了些.   ', '短评打分': 3}
{'短评内容': '条件不错。走到火车站约15分钟。开发票的服务员有点粗心：把单位名称打错一个字，还没有填写内容（未标明住宿），可能是凌晨值班太累。', '短评打分': 5}
{'短评内容': '出门在外一直都选择汉庭，感觉很干净也很舒适！很喜欢！', '短评打分': 3}
{'短评内容': '预定好的房间可来了还等了一段时间。环境还不错。就是不好找。', '短评打分': 3}
{'短评内容': '离火车站还有点距离，以为很近，背着很重的包走过去还挺累的\n房间不大，布置的很紧凑，洗澡很舒服，水很大，无线网不是很好用，经常掉', '短评打分': 5}
{'短评内容': '快捷连锁里还是最喜欢汉庭。。。就是附近没什么好吃的。', '短评打分': 5}
{'短评内容': '离火车站较近，但地方有点偏，去繁华地段不方便，', '短评打分': 5}
{'短评内容': 'Merit\n1. perfect design in room\n2. service desk is good\n3. new facility and special sevice for guest holding hanting registering card\n\nDefect\n1.a little far away from Xi An railway station if arrive b', '短评打分': 5}
{'短评内容': '  安静', '短评打分': 3}
{'短评内容': '还可以，就是没有网上描述的离火车站那么近，然后不算很好找', '短评打分': 5}
{'短评内容': '很棒的酒店,比这次旅行上海和杭州的房间都要大一些,卫生间也设有吹风机,老婆洗头很方便', '短评打分': 3}
{'短评内容': ' 很安静很干净，工作人员很热情，谢谢来接站的小余帅哥', '短评打分': 3}
{'短评内容': '房间不错，就是有点小。总体还比较满意！', '短评打分': 3}
{'短评内容': '交通便利，距离火车站较近，安静，环境干净，强烈推荐', '短评打分': 5}
{'短评内容': '离火车站很近，走路不到10分钟。很不错。', '短评打分': 5}
{'短评内容': '很好，挺满意的。', '短评打分': 3}
{'短评内容': '房间不错，床很大，厕所没有门，不爽的是洗澡的时候在床上看的见，好像是故意这样设计的，总的很好，改天上图', '短评打分': 3}
{'短评内容': '环境好，安静，酒店服务热情，下次还会入住', '短评打分': 5}
{'短评内容': '比较干净，距离火车站也比较近，就是附近打车有点困难', '短评打分': 5}
{'短评内容': '环境还可以，房间不大，免费咖啡、无线。需要更加进步', '短评打分': 5}
{'短评内容': '汉庭还是比较干净整洁，给的房间小了一点，其他都好。', '短评打分': 5}
{'短评内容': '比较干净，交通还好，房间比较小，还算过的去。', '短评打分': 5}
{'短评内容': '比较干净，交通还算方便，就是房间比较小。', '短评打分': 5}
{'短评内容': '帮父母订的，他们挺满意。酒店离火车站不远，服务也挺好，就是房间面积稍微有点小。', '短评打分': 5}
