{'短评内容': '住的真的非常不错，性价比非常高', '短评打分': 5}
{'短评内容': '基本上还是满意的，下次还会入住。', '短评打分': 5}
{'短评内容': '房间比较舒适。环境好', '短评打分': 5}
{'短评内容': '挺不错的啊', '短评打分': 5}
{'短评内容': '酒店给人的第一感觉就是“灯光黑暗”，大堂，走廊，房间都很暗！所以给人感觉不是太舒服！房间比较大，但不是方正格局，是比较窄比较长的格局！由于门距离最里面的床的位置很远，所以外面敲门不容易听清，不错的地方就是床比较大，单人床也是加宽的，床比较舒适！酒店送了小礼物！房间细节处卫生不太好！还有早餐实在不好吃！总体一般，性价比不高！', '短评打分': 3}
{'短评内容': '房间大&amp;hellip;干净卫生', '短评打分': 5}
{'短评内容': '和此卖家交流，不由得精神为之一振，自觉七经八脉为之一畅，我在京东买了这么多年，所谓阅商无数，但与卖家您交流，我只想说，老板你实在是太好了，你的高尚情操太让人感动了，本人对此卖家之仰慕如滔滔江水连绵不绝，海枯石烂，天崩地裂，永不变心。交易成功后，我的心情是久久不能平静，自古英雄出少年，卖家年纪轻轻，就有经天纬地之才，定国安邦之智，而今，天佑我大中华，沧海桑田5000年，神州平地一声雷，飞沙走石，大雾迷天，朦胧中，只见顶天立地一金甲天神立于天地间，花见花开，人见人爱，这位英雄手持双斧，二目如电，一斧下去，混沌初开，二斧下去，女娲造人，三斧下去，小生倾倒。得此大英雄，实乃国之幸也，民之福，人之初也，怎不叫人喜极而泣&amp;hellip;&amp;hellip;看着交易成功，我竟产生出一种无以名之的悲痛感&amp;mdash;&amp;mdash;啊，这么好的卖家，如果将来我再也遇不到了，那我该怎么办？直到我毫不犹豫地把卖家的店收藏了，我内心的那种激动才逐渐平静下来，可是我立刻想到，这么好的卖家，倘若别人看不到，那么不是浪费心血吗？经过痛苦的思想斗争，我终于下定决心，牺牲小我，奉献大我。我要以此评价奉献给世人赏阅，我要给好评&amp;hellip;&amp;hellip;评到所有人都看到为止！', '短评打分': 5}
{'短评内容': '很好，下次再从携程定.....', '短评打分': 5}
{'短评内容': '房间挺大，环境不错', '短评打分': 5}
{'短评内容': '软性服务较欠缺，硬件投资可以，只是部分房间没有阳光有潮霉味。', '短评打分': 4}
{'短评内容': '酒店很好，尤其是楼下的自助餐厅太赞了', '短评打分': 5}
{'短评内容': '房间超大，配置很高，很喜欢', '短评打分': 5}
{'短评内容': '第一次入住，感觉特别好，舒心，踏实，细节处理的很棒', '短评打分': 4}
{'短评内容': '一如既往的好，房间的大，环境好。', '短评打分': 4}
{'短评内容': '环境不错，价格不贵。', '短评打分': 5}
{'短评内容': '还是不错的，住的挺开心的，下次还来。', '短评打分': 5}
{'短评内容': '房间很大还不错', '短评打分': 4}
{'短评内容': '非常好，希望洗衣服能再方便些，屋里衣架有些少，也没有晾衣服的地方', '短评打分': 5}
{'短评内容': '挺好的，推荐，环境服务都不错，就是毛巾洗的有一股味儿', '短评打分': 3}
{'短评内容': '很干净，房间很大，挺好的，每天还有水果送，很不错', '短评打分': 5}
{'短评内容': '很干净，房间很大，挺好的，每天还有水果送，不错', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '房间很好，很舒服。浴盆巨大，泡个澡很舒服。。', '短评打分': 5}
{'短评内容': '房间真不错。。早餐也很好。。可没网络有点傻。。', '短评打分': 3}
{'短评内容': '很好的一个公寓酒店，地方大设施齐全，一个字好。下次去肯定订那里', '短评打分': 5}
{'短评内容': '酒店很不错,房间很大,床很舒服,服务好,早餐品种稍少了些,总之性价比很高,下次来还要住。', '短评打分': 3}
{'短评内容': '很大/很干净/很舒适o', '短评打分': 3}
{'短评内容': '房间大，晚餐丰富，服务一般，走廊灯光很昏暗。', '短评打分': 5}
{'短评内容': '酒店很好，超值', '短评打分': 3}
{'短评内容': '周边较方便，房间大，但房间内灯光较暗，床舒服，早餐单点，不过样式比较单一，服务比较热情，网络订单赠送水果，总体感觉还不错。', '短评打分': 5}
{'短评内容': '环境不错，安静雅致，但网速太慢，洗澡热水不太热，希望早日改进，下次到淄博还住。', '短评打分': 5}
{'短评内容': '酒店倒是不错，但是无洗衣房，衣服不能洗！比较悲剧！', '短评打分': 5}
{'短评内容': '房间很大，性价比高，已经是第二次住了，不错，就是网络差点\n', '短评打分': 5}
{'短评内容': '山东有很多这样的酒店，性价比很好，酒店的硬件设施也是比照四星级酒店以上的档次来装修设计，但是照葫芦画瓢在细节方面就总有差错，列如：电源插座不够，缺少浴室帘等等，虽然智能马桶到是个亮点，但是各种各样的小问题还是影响到整体的舒适度。', '短评打分': 5}
{'短评内容': '房间超大，但没有迎宾果盘，屋内卫生间和梳洗台位置有较大霉味。晚餐比较丰富（自费），比较喜欢，早餐样式较少，需要单点，每份的量很小，需要反复点餐很麻烦，建议改进为自助形式早餐。', '短评打分': 5}
{'短评内容': '服务态度不好，房间走廊太黑，有些阴森恐怖，房间还是不错的，床舒服', '短评打分': 1}
{'短评内容': '酒店装修很有特色，但服务还有差距，下水很慢', '短评打分': 3}
{'短评内容': '房间卫生非常好，性价比好，处在市中心，交通方便。', '短评打分': 5}
{'短评内容': '不错的，那个料理也不错。下会得住好点的房间。哈。。。。。得住商务房，那叫一个大啊', '短评打分': 5}
{'短评内容': '每次来淄博张店 都会入住的酒店 准五星级标准 房间很新 卫生间超大 床很舒服。总之，很好的所在。', '短评打分': 5}
{'短评内容': '非常非常满意 总之一句话 出差这么多酒店里 这个酒店最好 绝对值得称赞 下次非住不可\n\n', '短评打分': 5}
{'短评内容': '太大了，是我住过的空间最大的酒店，不过略显空荡以及阴暗了。。。', '短评打分': 5}
{'短评内容': '不错的房间，就是酒店大堂太暗了。', '短评打分': 3}
{'短评内容': '不错,环境卫生都很好,离办事的地方也近,很方便!', '短评打分': 5}
{'短评内容': '房间很大，设施也不错，值得推荐，只是房间内还有一点点味道，希望尽快处理好。附近打车比较方便，吃饭也不错，总体还不错。只是房间的打扫还不是那么的规范和有标准，比如茶杯要主动清理和更换。', '短评打分': 5}
{'短评内容': ' 很好 环境不错', '短评打分': 3}
{'短评内容': '这是我5年内住过的性价比最高的酒店，\n非常棒！！！！！！', '短评打分': 5}
{'短评内容': '位置很好 周边超市 小商品市场 还有很多吃饭的地方 酒店很显眼 但是一进去真的很阴暗 阴森森的 怪吓人的 住的是商务间 真的很宽敞 也挺干净的 但是房间烟味太大了 异味也很浓 洗手池的流通情况很不好 太慢了 让我一度怀疑是不是拥堵。。。早餐的话 说实话 很不满意 自己点然后给你端上来 首先想说的是我们点了可是三分钟后服务员说厨师没来 做不了 让我们换别的 还有吃的东西基本都是冷藏的 口感不好 味道', '短评打分': 5}
{'短评内容': '酒店房间超大！上网有无线、有线2种！很不错！服务及设施很新，但有点装修的味道。最大的遗憾就是餐厅，以日韩口味为主，非常不喜欢！早餐品种单调！', '短评打分': 5}
{'短评内容': '房间超级大，中式的装修风格，个人很喜欢的一家酒店。\n五楼的自助餐很赞。\n', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '可以，酒店交通便利，房间较新，住起来较舒适。', '短评打分': 5}
{'短评内容': '酒店房间大!床大!卫生间大刀说话有回声!很超值、值得入住!', '短评打分': 3}
{'短评内容': '1、房间非常大，设施也好，带冲洗的马桶和很深的浴缸，很舒服。\n2、酒店的餐厅味道很好，而且也不贵，日本料理不要清酒的话才120.', '短评打分': 5}
{'短评内容': '交通方便，停车方便，设施齐全，早餐品种多，服务尚可，装修简约，但色调有点压抑', '短评打分': 5}
{'短评内容': '性价比还是挺高的，不过房间有点太冷了，不知道为什么，另外房间内没有保险箱这个有点不方便。', '短评打分': 5}
{'短评内容': '不错的洒店，极力向朋友推荐，床很舒服，装修很豪华，性价比很好，下次去还是会住这里，五楼餐厅很好，很浪漫！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '新酒店，很气派，房间也很宽敞明亮，但因为刚装修不久，气味还是很重的，不管怎样下次还会来的。', '短评打分': 5}
{'短评内容': '房间很宽敞，环境很好，距离车站很近，早餐不错。', '短评打分': 5}
{'短评内容': '我很喜欢，有个性，有情调。房间 大气宽敞，有中式的元素，餐厅日式口味，充满惊喜。早餐中西结合，满足各种口味。就是房间内垃圾桶少，不 方便，没有 搭毛巾的地方，需要改进细节。', '短评打分': 5}
{'短评内容': '房间挺不错，早餐不是自助的，不太习惯', '短评打分': 3}
{'短评内容': '我住的房间感觉非常干净，舒适，温馨，空间大，配套设施非常齐全。', '短评打分': 5}
{'短评内容': '卫生！干净！环境不错！', '短评打分': 3}
{'短评内容': '整体非常好，房间面积大，设施配置较高。亮点是浴缸，经过旅途劳顿，泡个热水澡来解乏再好不过啦！', '短评打分': 3}
{'短评内容': '自我感觉这家酒店很不错,4星级的硬件,房间很宽敞,卫生间也够气派,看的出来服务人员还不是很熟练,但是非常热情,还是很喜欢的,所以推存一下,听说这家酒店早餐也很不错,就是比较懒,早晨起不来,没有机会去品尝,感觉很遗憾,下次有机会一定会去品尝一下,不足的就是,过道装修的味道有些刺鼻,应该是刚装修好的缘故吧', '短评打分': 5}
{'短评内容': '先说优点：性价比高，非常新，房间大，卫生间干湿分区而且面积超大，够气派，硬件水平达到4星，最赞的就是智能马桶，加热坐盖的功能在冬天非常实用，很舒服。缺点：装修的味道太重，走廊的味道简直熏死人，没有暖气只靠中央空调，加热一天还是冷飕飕的，这个是最让我不爽的，硬件装修看似豪华，但是用材和品牌一看就不够豪华，当然这个价格已经超值了，房间打扫不够干净，窗台有烟灰，衣橱有灰土，卫生间有女人的一撮长发，汗~C', '短评打分': 5}
