{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '很好，服务周到', '短评打分': 5}
{'短评内容': '设备旧了点 位置很好 最差的是健身房 设备少 面积小 办公室大小的地方堆几个器材 跑步机完全用不了 摆设', '短评打分': 3}
{'短评内容': '一切都是中规中矩，物有所值', '短评打分': 4}
{'短评内容': '房间装修老旧一些，但是服务很贴心，每晚的小水果很暖心！', '短评打分': 5}
{'短评内容': '干净卫生，房间很大，设备齐全', '短评打分': 5}
{'短评内容': '服务好，每次出差都在那住', '短评打分': 4}
{'短评内容': '不错，去北京经常住这家', '短评打分': 4}
{'短评内容': '服务好，干净', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '旧，好陈旧', '短评打分': 4}
{'短评内容': '非常好，来北京住这家很不错的。设施和服务都很好，住的大床房，房间也不错，感觉很好哦，以后会再来，谢谢。', '短评打分': 5}
{'短评内容': '非常好，来北京住这家很不错的。设施和服务都很好，住的行政房，房间也够大，感觉很好哦，以后会再来，谢谢。', '短评打分': 5}
{'短评内容': '酒店环境优雅，服务员态度好，值得推荐。', '短评打分': 5}
{'短评内容': '基本每次来北京都住这里 离公司近 周边餐饮较少 酒店设施还可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店地理位置很好，服务也很好，房间设施也很全，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置不太好找，设施还好，早餐简单点，服务不错，每天都有免费水果。', '短评打分': 5}
