{'短评内容': '不错，价格不贵，早餐一般。周边方便，离地铁有点远', '短评打分': 5}
{'短评内容': '还不错，价格也不贵，离地铁有点远', '短评打分': 5}
{'短评内容': '网络奇差，我的Mac没半小时掉一次线，必须重启才有可能连上网。', '短评打分': 3}
{'短评内容': '酒店位置不错，周边就有商场', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一直住的地方', '短评打分': 5}
{'短评内容': '品牌连锁下的酒店还是非常不错的，价格也很实惠，楼层也给的非常高，非常好！以后还会继续入住该酒店的！n', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '周边很安静，购物，吃饭方便，房间蛮大，蛮干净', '短评打分': 5}
{'短评内容': '周边环境很好，窗外是公园，绿意盎然的十分养眼，整条路超级安静，难以想象是在上海市区，周围吃的也很多，要什么都有，酒店自带的咖啡厅和中餐厅也都还不错，车也很好打，总的来说要来浦东开会时这家真的是个很棒的选择。住得很舒服，满意！', '短评打分': 5}
{'短评内容': 'Same nice as before', '短评打分': 5}
{'短评内容': '交通便捷，服务态度很好，可以考虑再次入住', '短评打分': 5}
{'短评内容': '代人预定，非常不错', '短评打分': 4}
{'短评内容': '非常不错值得拥有', '短评打分': 3}
{'短评内容': '很棒的酒店，推荐朋友住的，很有面子。GOOD,GOOD,GOOD!', '短评打分': 5}
{'短评内容': '酒店的床很大，超级舒服的，环境，设施都不错。停车也很方便，总之，我的首选~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境优雅，设备齐全，总之就是蛮好的~~~~~~~~~我会经常入住此酒店', '短评打分': 5}
{'短评内容': '依然选择这家~~~~~~~~~除非满房，我出差首选此酒店，各个方面都很好~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '这家酒店就是好呀~~~~~~~~价格各方面都还可以，也不贵。蛮好的。', '短评打分': 5}
{'短评内容': '我基本出差都会住此酒店~~~~~~~~~环境，服务，设施，各方面都很好~~~~~~~~~', '短评打分': 5}
{'短评内容': '入住感觉一如既往的好~~~~~~~~~~~酒店环境，设施，更方面都非常好。下次依然会选择入住此酒店。服务也很好', '短评打分': 5}
{'短评内容': '设施完善，就是价格高点。如果能再优惠一些，会更经常选择', '短评打分': 5}
{'短评内容': '环境优雅，交通方便，设施齐全；价格中等，餐饮一般。', '短评打分': 5}
{'短评内容': '很不错的酒店，早餐的中餐样式多一些就更好了。', '短评打分': 5}
{'短评内容': '环境优雅，出行方便，整洁有序，价格适中。', '短评打分': 5}
{'短评内容': '非常满意，展会期间同等品质中价格最优，服务非常好，唯一欠缺是早餐的选择较少', '短评打分': 3}
{'短评内容': '很干净，也很安静，酒店很国际化，服务也不错，就是如果能免费上网就更好了，一般四星级酒店以上的宾馆上网应该是免费的。另外早餐种类有点少，价钱稍高', '短评打分': 5}
{'短评内容': '价格合理，环境优雅，出入方便，服务不错。', '短评打分': 5}
{'短评内容': '离国际会展中心很近 要是酒店有班车前往就好了', '短评打分': 5}
{'短评内容': '环境好，人少清净', '短评打分': 3}
{'短评内容': '环境清洁干净，设备新..................................................', '短评打分': 5}
{'短评内容': '物有所值，环境很好', '短评打分': 3}
{'短评内容': '酒店节假日价格便宜，周边餐饮丰富，购物方便，是个不错的酒店，服务很周到', '短评打分': 5}
{'短评内容': '酒店大堂很干净，电梯带有识卡启动功能，空调动力十足。早上出门的士门口排队。总体不错。', '短评打分': 5}
