{'descr': '不喜欢，空调都没用', 'star': 2}
{'descr': '没有窗户，WIFI信号太差', 'star': 2}
{'descr': '环境，服务，卫生，设施，价格都比较不错', 'star': 4}
{'descr': '挺好，方便也好找，以后还会梊', 'star': 3}
{'descr': '不错，值得入住明天继续', 'star': 3}
{'descr': '舒服，经济实惠，值得选住', 'star': 3}
{'descr': '前台居然不会打发票，可能是价格低的原因吧，如果单评论性价比的话，出差凑合。', 'star': 3}
{'descr': '就在亲戚家附近，主要方便， 这个离市中心远了一些 但是总体来说 酒店环境 卫生 等等的服务都一般 价格不高 性价比不错 交通也还方便 如果不是特别要求市中心居住的朋友 可以来住一下。', 'star': 3}
{'descr': '对得起这个价格，性价比比较高，推荐', 'star': 5}
{'descr': '房间又味道。难闻', 'star': 3}
{'descr': '地方不错！吃的地方很多！下次还去！五星推荐！', 'star': 5}
{'descr': '这年头，老百姓出来住宿，考虑的就是性价比，这个还行！', 'star': 5}
{'descr': '  酒店实施尚可，24小时热水，宽带速度讲的过去，就是离火车站稍远一点。\n  另外给前台服务生提个建议：你们宾馆周边地理环境，交通站点概况，公交车的首末班车时间，这是你们服务生应该知道的，也是你们服务生的必修课。祝你们宾馆生意兴隆！', 'star': 5}
{'descr': '感觉还可以吧。比较经济实惠。内室有些陈旧。。。', 'star': 5}
