{'短评内容': '早餐一般，温泉和游泳是亮点，赞一个', '短评打分': 5}
{'短评内容': '早餐丰盛', '短评打分': 5}
{'短评内容': '河口最好的酒店了，性价比不错', '短评打分': 5}
{'短评内容': '价格不高，但是不错', '短评打分': 5}
{'短评内容': '酒店位置很好，离湖很近，环境优雅，和区政府等机关也很近，办事很方便，早餐也还算丰富，区县一级可以了，酒店房间有点老了，家电设备等虽然不坏，但该重新装修装修了。', '短评打分': 5}
{'短评内容': '服务态度好，条件不错！', '短评打分': 5}
{'短评内容': '环境不错，条件不错，服务不错！', '短评打分': 5}
{'短评内容': '酒店位置可以，设施稍微旧了点，还算干净。早餐就很一般，类似工作餐，希望以后能够改进。总体来说还算满意。', '短评打分': 4}
{'短评内容': '河口比较好的宾馆了，服务算周到吧', '短评打分': 5}
{'短评内容': '不错，房间很大', '短评打分': 5}
{'短评内容': '老宾馆，应该有很多年了，里面设施还比较齐全，房间也挺大。早餐不错，挺丰富。不足之处是牙刷等洗漱用品质量不怎样，房间里消毒水味很浓。', '短评打分': 4}
{'短评内容': '一般，不太干净', '短评打分': 1}
{'短评内容': '服务热情，早餐一般', '短评打分': 3}
{'短评内容': '位置理想，早餐一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
