{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '位置偏，很安静，房间凑合吧，往机场送人，反正就一晚上。', '短评打分': 5}
{'短评内容': '这个季节去房间太冷了，屋里烟味特别重，内饰陈旧', '短评打分': 4}
{'短评内容': '作为转机住一晚上不错', '短评打分': 3}
{'短评内容': '环境很好吃的多；.............................................', '短评打分': 5}
{'短评内容': '像招待所，隔音效果太差', '短评打分': 2}
{'短评内容': '酒店还行，管理安全，服务周到，就是有点远，酒店设施齐全，房间是酒店的标准间装修，周围环境也还可以，还错满意', '短评打分': 5}
{'短评内容': '订了N次这家酒店，主要是去北京机场非常方便，有交通车，可以往返机场，这次又是为长辈预订的，她们非常满意。推荐', '短评打分': 4}
{'短评内容': '卫生间下水都堵了，硬件不好。', '短评打分': 2}
{'短评内容': '安保，卫生较好，地理位置稍偏', '短评打分': 4}
{'短评内容': '酒店安保，卫生较好。地理位置稍偏', '短评打分': 4}
{'短评内容': '硬件比较陈旧，但服务挺热情。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店离首都机场比较近，早上有免费的早点和去机场的大巴！', '短评打分': 4}
{'短评内容': '代人预订', '短评打分': 5}
{'短评内容': '装修不错 大堂那个胡杨木不低端', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 2}
{'短评内容': '设施、服务等整体感觉不错！\r\n推荐入住！', '短评打分': 4}
{'短评内容': '非常满意的环境。出行也很方便。服务周到。', '短评打分': 5}
{'短评内容': '酒店環境不錯，服務也非常棒！下次如果再去順義，一定還會入住此酒店的！', '短评打分': 5}
{'短评内容': '酒店自助餐尚可', '短评打分': 3}
{'短评内容': '酒店环境很好，价格适当！', '短评打分': 3}
{'短评内容': '酒店的位置确实偏了点，在顺义区去了，还得过六环，建议打的去，反正自己不好找。环境蛮好的，能达到4星的标准，早餐也不错。随时有车送去机场。', '短评打分': 5}
{'短评内容': '上课培训安排住这里，位置服务都一般。但是必须住', '短评打分': 5}
{'短评内容': '接送机都很方便准时，房间干净，还不错，下次还可以考虑住这家。', '短评打分': 5}
{'短评内容': '酒店离机场近，房间比较新，免费接送机。适合转机的人。', '短评打分': 3}
{'短评内容': '酒店离机场很近，有免费大巴接送，提供早餐。适合转机的人。', '短评打分': 3}
