{'短评内容': '有蟑螂，卫生也不好', '短评打分': 2}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '整体感觉不错，房间摆设和浴室也不错。不过是房间设施一般般吧。空调很吵。不开里面空气不好闻。信号还好，服务一般般，因为让拿走被子也没拿。住了三天，打扫卫生不包括换被单枕套。我之前住过一个三星级的就算是一个人住几天也会给你每天换床单被套。不过还算干净吧。也没什么怪味。。看中的是安静。周围没什么太吵的！', '短评打分': 4}
{'短评内容': '房间大还没有', '短评打分': 4}
{'短评内容': '位置好得一匹', '短评打分': 5}
{'短评内容': '工作人员服务态度很好，房间内也很干净，环境不错! 很幽静!', '短评打分': 3}
{'短评内容': '很不错的各方面 就是不太好找 还是很满意的', '短评打分': 5}
{'短评内容': '不错，就是网络太差劲', '短评打分': 4}
{'短评内容': '舒适型体验', '短评打分': 4}
{'短评内容': '环境不错，早餐丰盛些就更好了', '短评打分': 4}
{'短评内容': '位置不错，安静且购物方便，乘车方便，设施一般，有点旧，服务较好，随叫随到，早餐味道不错，就是太晚，能提前到7点或者7点15最好.', '短评打分': 4}
