{'短评内容': '酒店大大的浴缸，儿子很喜欢！', '短评打分': 5}
{'短评内容': '早餐还不错', '短评打分': 4}
{'短评内容': '设施好，服务周到。', '短评打分': 5}
{'短评内容': '酒店位置在新区，政务中心旁边。缺点是设施简陋，空调是坏的，热水也不好，早餐也非常普通。我觉得不值4星，也许县城就是这个档次吧。', '短评打分': 4}
{'短评内容': '不错环境好服务好！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置不错，就是装修旧了点', '短评打分': 5}
{'短评内容': '酒店不错，位置好找，服务也可以！', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '环境卫生在县城算将就了，前台人少等了很久才办理入住，但是态度还可以。交通便利方便，可以推荐一下。米易太阳☀大适合冬天来', '短评打分': 4}
{'短评内容': '县城里面算不错了，房间还是比较大虽然有点墙纸老化但是不影响，交通便利', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '好！特别收拾房间的吴梅很好！把我散放的化妆品收拾在一起还用方巾垫起！??', '短评打分': 5}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '交通便利，高速公路下来很近，停车场够大。酒店周边环境很漂亮，大厅装修很漂亮。房间够大，卫生间也大。不足之处就是卫生间里热水温度欠些，设施也旧了，墙纸有些起皮了，毛巾应该换了。但是在县城来讲，也不错了，因为是携程订的房，标间168，要不然200多的话就不值了。', '短评打分': 4}
{'短评内容': '帮助家里人定的，说是还满意。', '短评打分': 5}
{'短评内容': '设施比较老旧', '短评打分': 4}
