{'短评内容': '一点都不好，环境不好，设施也太久，服务态度不好', '短评打分': 1}
{'短评内容': '不错，价格便宜', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '', '短评打分': 3}
{'短评内容': '挺不错的的，住了好几次了，感觉还是挺好的', '短评打分': 5}
{'短评内容': '挺不错的，住了好几次，整体来说可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比很高，交通方便，离火车站，大巴等都特别近。 走几步就是brt车站碾子沟站。对面是碾子沟客运站去各地都很方便。', '短评打分': 5}
{'短评内容': '最后悔的一次住宿', '短评打分': 1}
{'短评内容': '住了三天，提前一次性缴好的房费，住的时候缴了押金200，房间没有消费，也没有弄坏什么东西，退房的时候把押金拿到，急着就走了，赶火车，打车都快到火车站了，酒店前台给我电话说钱算错了，叫我回去！问前台怎么算错了，前台姐儿们就是不说，一个劲儿叫我回去，我TM火车还有半小时就开了，我可能回去么？！那姐姐就一直叫我回去，意思还是自费打车回去！最后我提出的解决方案就是：如果给我少算钱了，那算我倒霉，我不要了。', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '大床房还是比较舒服的，总体还算不错，暖气不太足，有点冷！', '短评打分': 3}
{'短评内容': '生活不是很方便，周围环境不太好。', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
