{'短评内容': '酒店还行，里面设施没有什么，电脑，吹风机都没有', '短评打分': 4}
{'短评内容': '离海边近   卫生还行   隔音差', '短评打分': 4}
{'短评内容': '离海边挺近  卫生也行   周边吃娱乐不方便', '短评打分': 3}
{'短评内容': '有免费停车场，比较正规的宾馆', '短评打分': 5}
{'短评内容': '有停车场！', '短评打分': 5}
{'短评内容': '很好很强大，很干净，很安静，离海很近，还有早饭，已经很不错了。', '短评打分': 5}
{'短评内容': '卫生很一般', '短评打分': 4}
{'短评内容': '房间很干净，离浴场很近', '短评打分': 5}
{'短评内容': '酒店环境很好，房间很干净。', '短评打分': 5}
{'短评内容': '对于自驾游来说酒店位置很好，出门右拐就是碧海路，几个热门的海滩十来分钟就可以到达。卫生和住宿环境比渔村的民宿要好很多，当然价格也要贵一倍。酒店前台接待的服务非常好。有一点需要吐槽，23号晚上在楼下餐厅点了几串烧烤，只因没有问扎啤价格结账时算我58一扎，而且态度极其恶劣！所以有条件的还是不要在他家吃饭吧！', '短评打分': 4}
{'短评内容': '破酒店，差的很，态度差，服务差，啥都差，还总是各种借口拖欠发票，偷税漏税', '短评打分': 3}
{'短评内容': '属于典型的旅游旺季酒店，设施说的过去，周边环境全是渔村，吃饭都是渔家乐，不熟悉的建议问清楚后再消费！酒店离海边非常近，走路三分钟，开车出来往北走大概三五分钟有一个没有完全开发出来的海边浴场，基础实施还没有全部建好，但那里的沙子非常细腻，而且人也不多，玩的非常痛快。带孩子来海边玩的推荐大家住这里，早上起早点还可以看到海边日出，离的近孩子早上也不受罪，总体感觉还是很不错的！', '短评打分': 4}
{'短评内容': '帮别人订的，应该还好！', '短评打分': 3}
{'短评内容': '已经是第二年去了，服务很好，店家很热心，价格虽然比周边的渔家贵些，但是住宿条件是渔家没法比的。离海边非常近，人少车少，空气很棒。就是出行不太方便，只有一趟公交，地处市区外，出租车也很少。总体来说很不错的店～', '短评打分': 3}
{'短评内容': '入住这个酒店最让人惊喜的就是，这个酒店离海滩非常非常近。穿拖鞋，步行5分钟就到海滩上了！车一定就停在酒店下面，千万不要把车开到海边停车场去，进出一次就要十块钱，不如步行走过去。早上看日出非常好，酒店提供日出时间表！下午2点半，落潮后可以去赶海，不要钱可以玩一下午！', '短评打分': 3}
