{'短评内容': '不错下次在来', '短评打分': 5}
{'短评内容': '还是干净，但是没有水…人性化设计差…', '短评打分': 4}
{'短评内容': '前台服务员很热情，耐心讲解，酒店条件不错。', '短评打分': 5}
{'短评内容': '挺好的，价格不贵', '短评打分': 4}
{'短评内容': '挺好的，干净便宜', '短评打分': 4}
{'短评内容': '还不错，挺干净的', '短评打分': 4}
{'短评内容': '喜欢这的床，meia', '短评打分': 5}
{'短评内容': '睡得舒服，卫生也很好，设施挺有特色的', '短评打分': 5}
{'短评内容': '房屋干净，大床房寝具松软舒服，价格实惠，下次还会选择。', '短评打分': 5}
{'短评内容': '有股气味，被子什么的非常潮湿。非常一般。', '短评打分': 3}
{'短评内容': '不错，服务态度也很好', '短评打分': 5}
{'短评内容': '刚装修的还好', '短评打分': 5}
{'短评内容': '不错，干净，服务也行，喜欢。', '短评打分': 3}
{'短评内容': '一般 价格不稳定', '短评打分': 4}
