{'短评内容': '整体来说一般吧', '短评打分': 4}
{'短评内容': '无语', '短评打分': 1}
{'短评内容': '早餐丰富有营养，周边配套设施特别全，酒店感觉特别好干净利落没有异味，在哪里连续住了5天每天都有专业的服务人员对房间进行清理，特别满意的一次居住希望下次有机会在来。', '短评打分': 4}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '???????', '短评打分': 5}
{'短评内容': '京东酒店 服务', '短评打分': 5}
{'短评内容': '性价比高，服务态度好！', '短评打分': 5}
{'短评内容': '酒店配套设施齐全，      环境好，      服务态度一流。，出行便捷。，。 下次还会再次入住。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好评！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好评！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '客房给我升级了，设施很好,希望下次还是一样好', '短评打分': 5}
{'短评内容': '其实还好！就是洗漱台在外面！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '房间环境不错，也很大', '短评打分': 5}
