{'短评内容': '啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈很不错的酒店哦，方便得很，以后还来，住的舒服，房间很大，暖气也足。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '总体来说性价比高', '短评打分': 5}
{'短评内容': '有免费停车场！酒店真的很好！这价位只能说性价比太高啦！满意满意满意', '短评打分': 5}
{'短评内容': '一般一般 网完全不能用', '短评打分': 5}
{'短评内容': '干净，网上定的还便宜。', '短评打分': 5}
{'短评内容': '环境不错，网上订的，价格还跟便宜', '短评打分': 5}
{'短评内容': '一般吧，有点赃，', '短评打分': 3}
{'短评内容': '房间够大，价格实惠。舒服', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 4}
{'短评内容': '价格实惠', '短评打分': 4}
{'短评内容': '很好，各方面还算ok', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。还行', '短评打分': 4}
{'短评内容': '。。。。。。。。。。。。。。。。。还行', '短评打分': 4}
{'短评内容': '过来住不错，前台吴美玲服务态度好', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '服务还可以，但是硬件环境需要改善。', '短评打分': 5}
{'短评内容': '酒店太差，空调没用，洗澡水太小，房间太差！！！', '短评打分': 1}
{'短评内容': '服务态度一般', '短评打分': 4}
{'短评内容': '服务态度很一般', '短评打分': 4}
{'短评内容': '条件不错，比较新，条件不错，比较新，条件不错，比较新，条件不错，比较新，', '短评打分': 5}
{'短评内容': '我很想说，谁住这里谁后悔，早上起来热水的都木有，排风扇声音像火箭发动机一样。', '短评打分': 1}
{'短评内容': '安逸158不错。', '短评打分': 3}
{'短评内容': '和旁边的如家是邻居，进去的时候我就纳闷了，门口的车流差距咋这么大捏。住了一晚，明白了\n1，房间卫生打扫的很一般。2，热水太小。3，隔音很差，隔离那两口子身体真棒啊。4，服务很差，让送套毛巾过来，打了3次电话，前台客人一多，一个前台，人仰马翻啊，有木有！5，没早餐。唯一的亮点，枕头特多。', '短评打分': 1}
{'短评内容': '感觉房间有点空很简单，给人最不爽的是，其它酒店早上6点就可以开房间了，这里的前台居然说早上6点开的话要多算一天，我靠，哪有这样的规矩，那我一大早退房你们是否给退钱呢？！都是经济型连锁酒店，差别怎么就这么大呢？', '短评打分': 1}
{'短评内容': '总体讲还是不错的，就是早餐差点，再有就是服务不够热情。', '短评打分': 5}
{'短评内容': '是家老酒店，感觉卫生不太好，设施有些陈旧，位置还是不错的，方便出行，性价比也可以。', '短评打分': 5}
{'短评内容': '建议店方对客人的点评有个相应的回复', '短评打分': 5}
{'短评内容': '地理位置环境还不错，也许是生意太好了，前台服务人员态度不假！就是价格很不错！', '短评打分': 5}
{'短评内容': '房间挺不错', '短评打分': 5}
{'短评内容': '位置不错，环境优美。', '短评打分': 3}
{'短评内容': '位置很好，赶火车、飞机都很不错。', '短评打分': 5}
{'短评内容': '在双楠商圈，位置和性价比都好，服务不错。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '整体来讲还是一家很不错的酒店,酒店离双楠很近,还是比较方便的,而且酒店有停车场,还是不错的,就是房间是暗窗的通风效果不太好.', '短评打分': 3}
{'短评内容': '酒店太偏了，离市中心稍微远一些，而且房间内的洗手间设施比较简单，其他的还不错，价格比较便宜', '短评打分': 5}
