{'descr': '好的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '好的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '热情', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间小，窗口外面是别人住的地方，感觉有点不安全', 'star': 3}
{'descr': '地理位置很好，性价比高，离外滩很近，步行不超过10分钟，房间大小合适，卫生较好，前台接待热情周到。', 'star': 5}
{'descr': '地理位置很好，性价比高，离外滩很近，步行不超过10分钟，房间大小合适，卫生较好，前台接待热情周到。', 'star': 5}
{'descr': '交通方便', 'star': 5}
{'descr': '感觉不好，卫生间太小门都开不开，卫生间门正对着床味很大！', 'star': 2}
{'descr': '好好', 'star': 5}
{'descr': '位置优越', 'star': 5}
{'descr': '还可以，交通方便', 'star': 5}
{'descr': '设施简单，热水不错，穷游可选。', 'star': 3}
{'descr': '非常不错，很干净，整洁，很满意', 'star': 5}
{'descr': '位置很好，离步行街和外滩都很近，设施一般，大堂在二楼不太方便，五楼的无线信号很渣', 'star': 4}
{'descr': '给力 太给力 物美价廉。我东西丢在酒店了，保洁阿姨帮我找了回来，客服还打电话通知我回来取。总之，非常感谢，下回来上海还住这里。', 'star': 5}
{'descr': '嗯！住这里出差去哪里都很方便，第二次入住了。前台可以寄存！', 'star': 5}
{'descr': '朋友说 环境设施还是挺好的', 'star': 4}
{'descr': '十一的时候带家人到上海旅游，酒店位置不错，距离东方明珠和南京路都很近，交通也方便，服务也还好！唯一不足的是登记在二楼，网上订的，前台说这个价格只有顶楼（加层），电梯到六楼，要自己走楼梯到顶楼，带着老人小孩还有行李稍微不太方便。', 'star': 4}
{'descr': '离外滩很近！服务非常的好！就是房间小了点', 'star': 5}
{'descr': '靠近外滩，走路才5分钟。', 'star': 4}
{'descr': '住宿坏境差，房间里味道大。', 'star': 2}
{'descr': '房间不是很大，卫生还好吧。停车不方便', 'star': 5}
{'descr': '莫泰经常住,很多城市的分店都住过,价格实惠条件不错,这家店最大的有点在于地点好,正好在南京路附近,地铁也方便,去浦东虹桥机场都方便,稍微有点缺点在于房子太老,大概因为是保护建筑的关系,房间比一般的莫泰店小点,设施也粗糙,不过不算是旅游还是出差,这种地点这种价格算得上非常实惠了,同样条件的还有金陵东路莫泰店,这次也去看过了,是新楼,貌似更整洁些...下次去上海还会选择这两家店来住!', 'star': 5}
{'descr': '地方还行！就是窗户太小了显的太挤', 'star': 3}
