{'descr': '还可以 晚上房外有点吵', 'star': 5}
{'descr': '有停车场', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '携程订的，去了没房', 'star': 4}
{'descr': '不错，刚装修的干净整洁', 'star': 5}
{'descr': '不错的房间很喜欢的呢，很好的呢', 'star': 5}
{'descr': '不错 每个礼拜都会来 方便', 'star': 5}
{'descr': '过年回去住的，主要是洗澡，房间的味道不好闻。房间中间还有个柱子，光线不亮，灯光灰暗，在这个地段实在不能说性价比高。', 'star': 2}
{'descr': '还不错', 'star': 5}
{'descr': '挺好的，周围挺热闹', 'star': 5}
{'descr': '非常好，环境好包括服务也好，都好', 'star': 5}
{'descr': '酒店位于市中心，设施齐全，环境也好，出差经常选择这家', 'star': 5}
{'descr': '地点方便 价格适合', 'star': 3}
{'descr': '服务差  女士服务好  男生服务太差  特别是12月4号值班的  简直太差了', 'star': 4}
{'descr': '较干净，交通方便，好', 'star': 4}
{'descr': '经常入住，离工作地点很近，性价比高', 'star': 5}
{'descr': '服务太差 特别是12月4号接待的男士 简直太差了  以前的服务很好 现在怎么这样呢？', 'star': 4}
{'descr': '其实说实话，地段时很棒的，就在市中心。房间收拾的干净，整洁', 'star': 5}
{'descr': '很干净，环境也很好，楼下的服务员也很热情。以后都会光临。', 'star': 5}
{'descr': ' 服务很好！只是无早餐', 'star': 3}
{'descr': '前台服务非常热情，好\n\n还要凑够20字吗', 'star': 5}
{'descr': '不错不错的。下次还是住这里了.价格不贵。交通方便，就是早饭差了点。', 'star': 5}
{'descr': '比较干净，服务尚可，还会入住！', 'star': 3}
{'descr': '很整洁干净。', 'star': 3}
{'descr': '同样是特价房，这次的房间最宽敞。交通便利，购物方便，地理位置佳', 'star': 5}
{'descr': '简单，实惠，细节上做的不错，比如床头好充电，好上网。有一个不间断电源，外出时充电很方便。亮点：床超级大O(∩_∩)O~', 'star': 5}
{'descr': '住的很舒适，性价比很高，虽然房间设施比较拥挤，但是很齐全', 'star': 5}
{'descr': '房间不大，但实施还是比较全的。价格适中，相对还是不错的', 'star': 5}
{'descr': '交通便利，购物吃饭都很方便，网络有时候不是很好。', 'star': 5}
{'descr': '快捷酒店，房间虽然不大，但是设施却很全。不错，推荐。酒店位于市中心，购物吃饭游玩都十分便利。以后去靖江，还会选择这的。缺点就是：停车场比较小，大概只可停10辆车，而且带棱角，有些憋屈了。总的来说，这家酒店还是蛮不错的。', 'star': 5}
{'descr': '非常干净，还有无线网络，下次还住!', 'star': 3}
{'descr': 'goog location, economy hotel,', 'star': 5}
{'descr': '位置不错，前台有电脑有打印机，服务还可以', 'star': 5}
{'descr': '吃饭，购物都方便，周围有大商场大超市。最近住过的很多酒店都有这个问题，电视机的问题。待机的时候，那个灯太亮，太刺眼了，而且正对床。这个不是酒店的问题。问题是酒店选了这样的电视。电视机有没有电源开关。一般插头很难找到。为了美观做的很隐蔽。', 'star': 5}
{'descr': '交通方便，环境不错。打算继续住一周。\n要是含早餐就完美了。', 'star': 5}
{'descr': '床超大，但房间比较小。设施比较全，就是比较拥挤。当然可能用这个是特价房', 'star': 5}
{'descr': '挺不错的，交通方便，吃饭也方便，以后还会继续选择汉庭', 'star': 5}
{'descr': '房价非常干净 ，感觉不错，就是临街的有点吵。', 'star': 3}
{'descr': '酒店位于靖江市最繁华地带，对面是乐天玛特超市和文峰大世界，购物方便；周围吃饭也很方面。房间总体令人满意，但提供拖鞋不够好，味道较大。', 'star': 5}
{'descr': '交通比较方便，环境特别好，特别干净，希望能够服务更加好，能够更加便宜。', 'star': 5}
{'descr': '非常好，下次一定住，房间小了一点。不知道以后服务怎么样，希望能够更加好。', 'star': 5}
{'descr': '性价比很高！', 'star': 3}
{'descr': '地段好，交通方便，干净；一大床、一桌、一椅，最好能加一椅一几。', 'star': 5}
{'descr': '地处市中心，面临步行街。交通，吃饭，购物非常方便。楼内装修整洁，简单而够用。桌上面的书写灯很亮，舒服。热水，空调也很好。推荐。', 'star': 5}
{'descr': '干净卫生，环境也很好，就是房间小了点，走动不方便', 'star': 5}
{'descr': '干净整洁，性价合适，周边就靠步行街，交通方便', 'star': 5}
{'descr': '干净整洁，性价合适，周边就靠步行街，交通方便！', 'star': 5}
{'descr': '汉庭的性价比还是挺高的..环境也不错...很多经济型连锁酒店里面是没有吹风机的..这点不错', 'star': 5}
{'descr': '环境好，房间也，服务态度也不错，值得推荐~~~~~~~·', 'star': 5}
