{'短评内容': '出差住还是不错的', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，房间该配的都配了。干净卫生。。。。。。。。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很好的酒店，性价比高，', '短评打分': 5}
{'短评内容': '前台的卫生状况亟待加强，早餐丰富，好评，房间隔音做得很不好，走廊上一路都能清楚听到各个房间的说话声。', '短评打分': 4}
{'短评内容': '因为之前那次觉得床睡着舒服才去第二次的，没有特别突出的优势，价格实惠，早餐丰富，但是前台服务员的效率和态度需要再加强，如果多一份微笑，也许会使得更多的顾客回头', '短评打分': 4}
{'短评内容': '勉强还行，性价比不错！', '短评打分': 3}
{'短评内容': '出差一直住这里，周围挺方便的，超市餐厅一应俱全，交通方便，下次还会来的，如果卫生间有卫丽洗就更好了。', '短评打分': 4}
{'短评内容': '出差一直住这里，周围挺方便的，超市餐厅一应俱全，交通方便，下次还会来的，如果卫生间有卫丽洗就更好了。', '短评打分': 4}
{'短评内容': '位于秀洲区地标建筑江南摩尔东区，餐厅、超市、娱乐等一应俱全。附近有交通枢纽站，非常方便到高铁或老火车站都方便。唯一恼人的就是在修市政道路。', '短评打分': 4}
{'短评内容': '还不错，周边吃东西很方便', '短评打分': 4}
{'短评内容': '出差一直选择礼顿酒店 性价比超高', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还可以吧，性价比挺高的，旁边吃饭很多', '短评打分': 5}
{'短评内容': '物有所值。不错的酒店，推荐入住。早餐丰富。', '短评打分': 5}
{'短评内容': '总体还行,对得起这个价格,会向别人推荐的.', '短评打分': 5}
{'短评内容': '建议早餐再丰富些！别的都挺好的！特别是小冰箱！\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '典型商务酒店，设施和服务都还可以，就是这个房价一个劲涨，有点承受不住啊', '短评打分': 5}
{'短评内容': '不错的酒店。周围很方便，购物，吃饭都很方便，交通也很方便。', '短评打分': 5}
{'短评内容': '相当不错的酒店，方便、干净、整洁，还送水果，地段也好，总体值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，位置、交通、很方便，房间冰箱里面的东西都是免费（还是头一次遇到），不错，后续还会考虑入住，就是没有按摩的，早餐也一般。', '短评打分': 5}
{'短评内容': '相当不错的酒店。比较特别，饮料免费，还有咖啡', '短评打分': 5}
{'短评内容': '冰箱里的东西全部是免费的，这是头一回遇到这样的情况。好样的，以后还来。', '短评打分': 5}
{'短评内容': '现在嘉兴酒店成出不穷，礼顿硬件不行，早餐也很一般，有点跟不上了。\n就图个性价比还行吧。', '短评打分': 5}
{'短评内容': '冰箱里的饮料真是免费的。早餐也不错。', '短评打分': 3}
{'短评内容': '交通方便，两公里外可上高速人，但又处于商业中心，房间宽敞，周边配套相当方便，吃穿用包括看电影一应俱全，就是早餐一般。', '短评打分': 5}
{'短评内容': '地段好，房间宽敞，周边配套相当方便，吃穿用包括看电影一应俱全，就是早餐一般。', '短评打分': 5}
{'短评内容': '环境优越，房间宽敞，周边配套相当方便，吃穿用包括看电影一应俱全，就是早餐一般。', '短评打分': 5}
{'短评内容': '非常好       酒店在江南摩尔，为什么叫江南摩尔我不是很清楚，但是交通很方便。从上海虹桥坐高铁到嘉兴南站，有K97路直接到，终点站就是这个酒店（省了打车钱），周围环境不错。\n酒店房间很大，应该是四星，房间很不错，设施很新，还有就是个小秘密，酒店房间的冰箱里所有东西都免费，只有在第二次在要时收费。很合算，冰箱里东西很多，有巧克力、八宝粥、还有四支软饮。\n酒店早餐人不多，虽然种类谈不上特别丰盛，但', '短评打分': 5}
{'短评内容': '酒店位置不错，靠近市中心，但是酒店房间里有股霉味，而且入住当天热水温度不高！感觉很不舒服！', '短评打分': 1}
