{'短评内容': '不错的，第一次住，离客户比较近，交通还算比较方便！', '短评打分': 5}
{'短评内容': '早餐种类一般，但价格不贵。所以算性价比不错的。出差来讲，位置挺方便了。服务还不错，房间很大，到晚了，升级了行政间。', '短评打分': 4}
{'短评内容': '干净卫生很好', '短评打分': 5}
{'短评内容': '环境优雅，卫生条件好，服务态度好。', '短评打分': 5}
{'短评内容': '还可以挺好的', '短评打分': 5}
{'短评内容': '还不错 晚上保留的房给免费升级到行政房', '短评打分': 5}
{'短评内容': '很不错的一次体验，下次继续选择这家酒店！', '短评打分': 5}
{'短评内容': '很舒服，很安静，很方便！', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '客服态度非常好！', '短评打分': 5}
{'短评内容': '房间住着还可以。离市区也近出行也方便，', '短评打分': 5}
{'短评内容': '服务很好，很高档，不错不错，下次还会预定。', '短评打分': 5}
{'短评内容': '酒店很不错，设施服务位置都好。缺的两星是对京东的不满，与酒店无关。在京东上订的房京东提供给酒店的信息竟然是其他人的名字，入住时弄了老半天。据酒店说他们只与艺龙和携程合作，没与京东合作，经转几手后给酒店的其实是携程的订单。', '短评打分': 5}
{'短评内容': '酒店干净整洁，性价比高！不足之处是早餐性价比差，床有点小！', '短评打分': 4}
{'短评内容': '酒店装修很走心，我很喜欢这种风格', '短评打分': 5}
{'短评内容': '酒店服务好，房间非常干净，住的很舒服。推荐大家入住！', '短评打分': 5}
{'短评内容': '酒店服务好，房间非常干净，住的很舒服。推荐大家入住！', '短评打分': 5}
{'短评内容': '酒店位于奥林匹克村附近～高级大床房～到北京5号线十几分钟的路程，离鸟巢越30分钟的路程。周边交通算是方便。\n房间配置挺好的～配备齐全，卫生间干湿分离，拖鞋也有干湿分开，就是空调系统由于是中央空调不好调控。\n服务要点赞，服务态度好，送水果。\n上客房的电梯需要嘀卡。5星级的商务酒店，性价比高，值得推荐。', '短评打分': 4}
{'短评内容': '不知道怎么又这个，', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好1', '短评打分': 5}
{'短评内容': '酒店环境很好，房间很舒服。出差经常住这里，交通也很方便，就在鸟巢附近，晚饭后可以过去走走，散散步，溜达溜达', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '浴缸的热水不热', '短评打分': 5}
{'短评内容': '和朋友聊天订了一个，挺好的', '短评打分': 5}
{'短评内容': '挺好的，环境，服务都非常好', '短评打分': 5}
{'短评内容': '酒店感觉还可以吧', '短评打分': 5}
{'短评内容': '酒店不錯 離我要去的奧體很近 周邊沒什麼吃的 出行叫車好可以', '短评打分': 4}
{'短评内容': '酒店还行，是吉林省驻京办，酒店里的歺厅饭做的很好吃', '短评打分': 4}
{'短评内容': '交通方便，干净。', '短评打分': 5}
{'短评内容': '几乎每周都住，客服也给力，订错房型后来给换好了，酒店的床舒适感不错，给人好的睡眠质量', '短评打分': 5}
{'短评内容': '出行便利，环境优雅，可以吃到性价比很高的地道东北菜，下次还会选择入住。', '短评打分': 5}
{'短评内容': '还不错，就房间稍微小了点。当时去订单上有送饮料，去了说是没有，只有水免费。再就是价格偏贵。早餐一位60。地方稍微有些偏', '短评打分': 5}
{'短评内容': '还不错 吉林人当然推荐一下 但尼妈五星 太不要脸了', '短评打分': 5}
{'短评内容': '交通方便，房间很好', '短评打分': 3}
{'短评内容': '入住的是标间，房间不大但布置的比较合理。喜欢！', '短评打分': 5}
{'短评内容': '酒店整体比较有特色 色调以棕色 深棕色为主 低调 早餐不错 价格偏贵 房间有些压抑~这是最大的缺陷', '短评打分': 5}
{'短评内容': '环境很好！干净整洁！服务态度也很好！下次还回来！', '短评打分': 5}
{'短评内容': '房间安静 前台服务需培训 客人感觉不好', '短评打分': 3}
