{'短评内容': '他们家的空调不允许使用，早上装修声很大！', '短评打分': 1}
{'短评内容': '老板娘人不错，', '短评打分': 5}
{'短评内容': '经济实惠 还算安静 有双床的房间', '短评打分': 4}
{'短评内容': '挺不错的，很舒适，又继续加住了一天', '短评打分': 5}
{'短评内容': '店的位置还算挺好找的，离路边近，出行挺方便的，住的楼下就是小吃街，琳琅满目，吃东西很方便，房间也很温馨很干净', '短评打分': 5}
{'短评内容': '环境还好吧', '短评打分': 5}
{'短评内容': '在中山街上，从中山街进去走差不多500米就到了，离公交车站很近，楼下就是小吃街，不过晚上不会觉得吵，早上可以听到鸟叫声，墙上的手绘画很漂亮，而且每个房间都是不一样的画，设备齐全，出门吃东西去海边或者坐车去厦大都很方便，每次进出，老板都会打招呼，非常喜欢这里', '短评打分': 5}
{'短评内容': '卫生还好，比较安静，总体还行', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '携程订的房间很优惠还不错，位置挺好的，房间很干净，下次再来', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '老板和老板娘很贴心还是很不错的离曾厝安也很近，老板很热情 ，住的很舒心 但是这两天天气热蚊子有点多', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '我已入住鹭海客栈，客房很温馨，服务很热情，很满意。', '短评打分': 3}
