{'短评内容': '已经入住好几次了，我很放心，干净，整洁', '短评打分': 5}
{'短评内容': '有停车场  停车场那有一饭店特别好吃', '短评打分': 5}
{'短评内容': '理论性感吗哦哦⊙∀⊙！科技路太晚', '短评打分': 5}
{'短评内容': '住着挺不错的 价格变动比较多', '短评打分': 5}
{'短评内容': '还可以吧 服务须更加完善', '短评打分': 5}
{'短评内容': '感觉还可以，环境还好！！！！', '短评打分': 5}
{'短评内容': '房间太小，其他一般', '短评打分': 3}
{'短评内容': '无可挑剔', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '价格可以的，房子信息很好', '短评打分': 5}
{'短评内容': '还算不错！', '短评打分': 4}
{'短评内容': '酒店挺好的，离办事的地方也很近，房卡出了问题打不开房间门也很及时的解决了，前台的工作人员服务业很热情的，而且还告诉了第二天哪里有吃早饭的地方，一次再来信阳还会选择未来的', '短评打分': 5}
{'短评内容': '地板很脏，很脏，味道很臭！一进房间就闻到一股臭味，本以为开会空调就会好的，结果一点效果都没有，臭死了！', '短评打分': 3}
{'短评内容': '预定大床房的注意了 位置不太好 正对电梯间 …另外房间比较小 其他倒没什么 卫生还可以 其他直接看图吧 价格再便宜点就好了', '短评打分': 5}
{'短评内容': '快捷酒店', '短评打分': 5}
{'短评内容': '周边环境不太好。', '短评打分': 4}
{'短评内容': '还可以吧，没得太多更好的选择，', '短评打分': 4}
{'短评内容': '定的单间给的标准间，而且在携程比到店还贵一些', '短评打分': 4}
{'短评内容': '房间设施优良，环境安静！就是过夜停车收费5元。', '短评打分': 5}
{'短评内容': '酒店整洁舒适', '短评打分': 3}
{'短评内容': '房间整体还可以，也挺干净的，就是晚上睡觉噪音大大了', '短评打分': 3}
{'短评内容': '条件还行', '短评打分': 3}
{'短评内容': '临街的房间和不临街的房间时有差别的，临街的房间大点和普通标间大小差不多，不临街的房间和旅馆没两样了！除了提供网线没有什么优点了。', '短评打分': 1}
{'短评内容': '住宿还可', '短评打分': 3}
{'短评内容': '条件一般，环境一般，服务比较差，而且不能使用银联卡！！', '短评打分': 1}
{'短评内容': '1、房间隔音很差，门外正常谈话在房间可以清楚听到，反之...你懂的；\n2、一边临街，另一边靠近铁路，汽笛声声入耳；\n3、毛巾较旧，都有破洞了；\n4、其他还好。', '短评打分': 1}
{'短评内容': ' 性价比还不错。挺好的。', '短评打分': 3}
{'短评内容': '房间很吵，不隔音，离火车站也有些距离，卫生相当差', '短评打分': 1}
{'短评内容': '挺好的，干净交通也方便，离火车站近，不错。\n', '短评打分': 5}
{'短评内容': '店家服务还不错哦，价格合理，环境也很给力，强烈推荐', '短评打分': 5}
