{'短评内容': '还不错，网上订方便快捷', '短评打分': 5}
{'短评内容': '第一天住的自主大床房，还是相当满意的。后面四天为了省钱，就定了QQ大床房，怎么说呢。刚进房间确实像别人说的味道很大，很失望，我还撒了香水。但是空调一开，味道就没了，而且住的挺舒服的。收拾房间快，空调也很给力。就是电视小了点，就8个台，还挂那么那么高，看着难受。总的来说，还是不错的，价钱划算地理位置也好。', '短评打分': 5}
{'短评内容': '位置不错，紧靠体育馆。服务意识有待加强。', '短评打分': 5}
{'短评内容': '经常住这家酒店，位置不错，交通方便。服务态度有待提高。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置很好，周围环境好，餐饮、便利店、银行也很方便。', '短评打分': 5}
{'短评内容': '酒店房间很好，非常优秀的一家店，出差必选的一家酒店；支持', '短评打分': 5}
{'短评内容': '节约成本…电梯都没了…', '短评打分': 3}
{'短评内容': '环境还好啦，服务态度也很好，改时间等等都很方便的！！！！！！', '短评打分': 5}
{'短评内容': '环境还好啦，服务态度也很好，改时间等等都很方便的！！！！！！', '短评打分': 5}
{'短评内容': '这个酒店还不错，挺安静的，就是前台服务员的态度还有待改善', '短评打分': 5}
{'短评内容': '还行吧！离会展挺近的。附近有超市。足浴。那家老碗的餐厅不错。', '短评打分': 5}
{'短评内容': '蛮好的，这次的QQ房要比上次那件大一点，至少走路转身不那么费事了', '短评打分': 5}
{'短评内容': '但是方便比直接来贵，返现后价格差不多。', '短评打分': 3}
{'短评内容': '位置很好，浦东机场守航线张杨路站下车，步行10分钟即到。用品很新，只是厕所没有门。', '短评打分': 5}
{'短评内容': ' 态度不好，房间巨小', '短评打分': 3}
{'短评内容': '还可以，房间有点儿小。', '短评打分': 3}
{'短评内容': '酒店很安静，住的那间还有个阳台，如果有阳台的房间能加装一下晾衣杆就更好了。晚上电压好像有一点点低，空调需要比白天开低两度才会出效果。', '短评打分': 5}
{'短评内容': '服务态度差！房间设施差！设施有灰！以后再也不会住莫泰268了！', '短评打分': 3}
{'短评内容': '房间太小了，其它都OK，可能经济型酒店都这样吧\n', '短评打分': 5}
{'短评内容': '酒店紧邻地铁，服务态度不错，下次还会入住。', '短评打分': 5}
{'短评内容': '房间干净整洁，价格合适配套齐全，但是服务员的服务态度有点问题，可能是因为酒店入住率较高的缘故，对一些前台的服务反应极慢，比如存行李，我站在前台半天说了好一会儿要存包，结果两个服务员有功夫对侃说话，没功夫搭理我，去前台买两瓶矿泉水，前后下来两趟，因为取货钥匙被别的服务员拿走了，害得我等了好长时间。最后我跟服务员商量我等了好半天了能不能等钥匙回来，帮忙把水送到房间（我住在2楼),结果前台说公司没这项业', '短评打分': 5}
{'短评内容': '酒店交通便利，房间整洁卫生，性价比高，如果含早餐会更有竞争力。', '短评打分': 5}
{'短评内容': '客房条件打80分', '短评打分': 3}
{'短评内容': '虽然从入住到退房不足8小时，但感觉整洁、 卫生。', '短评打分': 5}
{'短评内容': '酒店还行就是房间有点小，没有衣柜很不舒服。不过性价比还算可以的。', '短评打分': 5}
{'短评内容': '环境很好，交通很方便', '短评打分': 3}
{'短评内容': '环境还不错，除了电视有点差其他的地方比想象中要好很多', '短评打分': 5}
{'短评内容': '性价比偏低，不过在这个地段还算说得过去了。第二天一早接客户。', '短评打分': 5}
{'短评内容': '地理位置很不错，也十分干净，前台服务人员服务态度也不错。', '短评打分': 5}
{'短评内容': '还可以，但是需要提升服务质量，总体不错，还可以了', '短评打分': 5}
{'短评内容': '价格在该地区绝对便宜，但是床实在是太难受了。灯光也比较昏暗', '短评打分': 1}
{'短评内容': '挺不错的，就是房间小了点', '短评打分': 3}
{'短评内容': '酒店真的不错，交通方便，房间设施也可以，价格实惠', '短评打分': 5}
{'短评内容': '.首次入住此酒店倘算舒適.地點方便.靠近源深体育中心地鐵有公交車.', '短评打分': 3}
{'短评内容': '以出差的角度来说，这里真的很不错，环境整洁，房间的条件利用充分，绝对是家装的典范。只是这个隔音我就不敢恭维了，像我这种穷游的需要好好休息，这里真的不行 啊，一晚上我能醒来两三次，因为外面的关门声和脚步声，真的情何以堪啊！如果睡觉比较死的，这里真的性价比很高。', '短评打分': 5}
{'短评内容': '除了电视有点旧之外，都很满意，而且隔音还不错。', '短评打分': 5}
{'短评内容': '入住很方便 周边也不错 但是就是感觉这个酒店不行', '短评打分': 1}
{'短评内容': '请员工自己进去闻这个臭味住吧 他们愿意么 要什么都没有', '短评打分': 1}
{'短评内容': '隔音效果不好 太差了 真的太差了 没有更多想法了', '短评打分': 1}
{'短评内容': '每次来都感觉房间有异味 不知道是不是没有窗的缘故', '短评打分': 1}
{'短评内容': '一进门就是臭 换了间房间还是臭 不知道为什么房间就是有下水道的臭味', '短评打分': 1}
{'短评内容': 'QQ房空间也不算小，房间挺干净，就是空调有点问题，冷热控制不均，地点不错交通比较方便，', '短评打分': 5}
{'短评内容': '价格合适 前台服务也很热情 很有礼貌 见到顾客都会主动问好 不错的选择 推荐~~~', '短评打分': 5}
{'短评内容': '经济适用，服务态度中上，但卫生条件较差，因为在房间内偶尔会发现蟑螂，但在上海这种事情还是可以理解的', '短评打分': 5}
{'短评内容': '很不错，房间也非常干净，前台服务人员态度很好。', '短评打分': 5}
{'短评内容': '今天前台给了个25楼的房间，面对源深体育场，风景不错。', '短评打分': 3}
{'短评内容': '半夜十二点入住一早就要离开选了个qq无窗房，就睡个觉房间足够宽敞了，工业化一体式卫生间干净方便！', '短评打分': 3}
{'短评内容': '交通很方便房间还不错物有所值', '短评打分': 3}
{'短评内容': 'i这个酒店蛮无语的。首先房间内的空调进行了设置，只能制冷，真服气。。。然后他们家结账很慢，居然能等上半个小时。总结来说，是4个人没有条理，没有规划，没有细分工作内容造成的。结果大批顾客在大厅等着。', '短评打分': 1}
{'短评内容': '价格适中，性价比较高，周边交通方便，酒店内异味需去除', '短评打分': 5}
{'短评内容': '交通便利,有地铁六号线,QQ房挺实惠', '短评打分': 3}
{'短评内容': '交通便利,房间小而实惠', '短评打分': 3}
{'短评内容': '这个地段算性价比蛮高的，内外环境都满意，停车也方便，下次还会来。', '短评打分': 3}
{'短评内容': '排队延迟 进门发现矿泉水是喝过的 没有换 每次都有不同的惊喜等着', '短评打分': 3}
{'短评内容': '268的QQ房太差啦 没窗户 里边太闷。 卫生状况比较差。 进去呆了一个小时，就决定退房，不过还是收了我全天房费。', '短评打分': 1}
{'短评内容': '酒店附近环境很好，很安静，距离地铁也不远，而且可以从源深体育中心里面走，更近。附近有个全家，很方便。', '短评打分': 5}
{'短评内容': '房间有烟味，床垫不够舒服', '短评打分': 3}
{'短评内容': '干净卫生，地点不错，价格很值，我很喜欢，以后还会光顾此店的', '短评打分': 5}
{'短评内容': '住的QQ大床房,无窗,150RMB,说实话,不值- -.床太不舒服,那个席梦思,睡上面都能清晰的摸到里面的弹簧!!!而且那电视真心小,估计还没14寸的笔记本大..反正电视没看,有几个台也不清楚.总的来说,睡一晚上,就走了..下次估计不回去了,那张床给我的印象太深刻,太难受!!!', '短评打分': 5}
{'短评内容': '一般 qq双人房不是很好 不过特价双人房还是不错的\n', '短评打分': 5}
{'短评内容': ' 还不错典型的家庭酒店,,', '短评打分': 3}
{'短评内容': '交通位置还是很不错滴。。。设施嘛也就那么一回事，一般般啦。。。', '短评打分': 5}
{'短评内容': '还算干净，喜欢住的房间有阳台的，就是晒衣服不方便，有个阳台就可以装一个晾衣服的地方就更方便了。', '短评打分': 5}
{'短评内容': '交通便利,电台少了点,不过还是挺实惠的', '短评打分': 3}
{'短评内容': '还不错，酒店比较干净，洗手间的淋浴头有点坏了，不是很好用，其他都还好！', '短评打分': 5}
