{'短评内容': '位置还可以 就是比较难找 卫生不说了...窗帘都发霉了', '短评打分': 3}
{'短评内容': '桌上有尘土，没有汉庭住着舒服，地理位置好点', '短评打分': 4}
{'短评内容': '卫生真的很一般，甚至是差………… 服务很好 位置非常便利，在老政府旁边，离栈桥，劈柴院都很近 设施齐全，不过考虑卫生问题，还是不要用比较好', '短评打分': 4}
{'短评内容': '离火车站和栈桥不远，条件不错。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行吧，很靠近栈桥和火车站的，周围的环境也还不错，离天主教堂相当近，价格也相当便宜，老板也挺热情的，但是大床房还是比较小，隔音效果不好，而且床单也不怎么爱换，被子都没叠过，估计这就是招待所的通病吧，海鲜加工比较贵了，也不要买他的地图，外面有卖的，5块！', '短评打分': 4}
{'短评内容': '这家宾馆真的很出乎我的意料，外表看并不是很高档，也不大好找，但是绝对不比平常3星级的宾馆差到哪里去。\n优点：1 老板和老板娘都很热情，人很好，让人感到有家的感觉。去的当晚没有我预定的房间了，还给我们安排了贵好多房间。\n      2 淋浴十分给力，水量很足，水温很好，在同价位的酒店里很难得。\n      3 位置虽然不好找，但是走习惯了之后发现这里的交通真的很方便，步行可以到栈桥，如果坐公交就更方', '短评打分': 5}
{'短评内容': '很安静 老板加工的海鲜很好吃，比外面卖的强多了', '短评打分': 5}
{'短评内容': '很好的一家宾馆，老板人很好，很晚还带我们去买海鲜，回来加工好，离火车站很近，浴室水也很足，超赞，下次还会来的。', '短评打分': 5}
{'短评内容': '住的地方离栈桥真的很近，几分钟就到了，到其它景区公交也方便。本来订的是大床房，但由于临时没房了，老板免费给升到了豪华标间，谢谢啦。住的地方环境可以，很干净，老板人很好，有时间可以在这里吃面哟，老板做的面很好吃。电视也可以收到很多台啊，洗澡很舒服，水大。下次还会来，谢谢啦。', '短评打分': 5}
{'短评内容': '距离介绍的相关景点真的非常近！！！\n住在老城区，可以体验一下当地人的生活。', '短评打分': 5}
{'短评内容': '特价房还不错，独立卫生间，淋浴，大床，电视都有。只是房间隔音能力差，别的都可以。挺干净的', '短评打分': 5}
{'短评内容': '优点就不多说了，地理位置绝佳，周围环境很幽静，步行到栈桥也就十分钟。老板和老板娘很热心，门口的小狗很萌！早上隔路口有早市，可以买了海鲜让老板娘加工。另外建议卫生间应该增加吊钩方便吊洗澡时换衣服。', '短评打分': 5}
{'短评内容': '服务很好，位置也很好离栈桥近，加工的海鲜很不错。但房间设施有点简陋。', '短评打分': 5}
{'短评内容': '位置好，服务很好，但硬件，环境不行，有待改进。', '短评打分': 5}
{'短评内容': '房间很大，老板很热情，就是电视收不到几个台啊···看着有点抓狂', '短评打分': 5}
{'短评内容': '虽然外表看起来不起眼，但是这家酒店绝对值得推荐。比起酒店这里更像家，完全是家庭式管理，大妈大叔很热心也很有爱。这里离中山路和栈桥特别近，挺方便的。', '短评打分': 5}
