{'短评内容': '早餐很差，', '短评打分': 3}
{'短评内容': '早餐很不错的，非常可口，有停车场免费的，周边环境不错交通很方便，房间里很干净，位置不错，酒店设施齐全，价位还不贵', '短评打分': 5}
{'短评内容': '酒店不咋的，中央空调一点用都没有，设施比较老旧。', '短评打分': 3}
{'短评内容': '啊巨头', '短评打分': 5}
{'短评内容': '交通便利，性价比很高', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还可以吧，在江山来说还可以的。', '短评打分': 4}
{'短评内容': '卫生一般吧，设备旧了些', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错，以前来也住这，就是现在在这订的不提供发票了', '短评打分': 3}
{'短评内容': '还不错，性价比比较好，点个赞', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
