{'短评内容': '满意，态度不错，海鲜便宜，房间可以', '短评打分': 5}
{'短评内容': '条件还不错，地理位置也好，对面就是公园，服务态度也很好！一楼连着商场，没来得及逛逛，以后再去还会选择这个地方。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间有点小，总体还不错！', '短评打分': 5}
{'短评内容': '房间太小估计十平左右，热水是太阳能的晚点洗澡就没热水了，水量太小，只能勉强冲洗，女士洗头就费劲了。还有床单有潮湿感，很难受。酒店离海滩不算远，十分钟左右就能到。老板很热情有什么疑问都回答，还提醒了海滩礁石区，但我们好多人还是踩到了礁石，割破了脚。希望老板看到我这评价不要生气哦！', '短评打分': 3}
{'短评内容': '老板一家很热情，还带我们出去买了海鲜，老板娘烧菜一级棒，我们很喜欢，房间有点小，但是在这里都一样，宽带网速不错！很好的一次体验', '短评打分': 4}
{'短评内容': '老板服务很好，房间很干净，就是洗澡时热水水流太小，很不方便，其他都不错', '短评打分': 5}
{'短评内容': '从网上看到说老板娘海鲜做的好，带家里的亲戚来尝尝，老板娘的手艺果然不错，下次还会带朋友来的，小院很干净卫生，老板一家人都很热情。', '短评打分': 5}
{'短评内容': '在去哪儿搜索到的这家店，看了地图，说是离海比较近，去之前给老板打了电话咨询，服务很好，很热情！房间的热水不错，还找老板订了船票，可以打折，相当给力。', '短评打分': 5}
{'短评内容': '这家酒店感觉不错。环境卫生。没来日照之前就在网上对比了几家。终究还是选的这家。没选错。老板人很好。非常热情。干净卫生。地理位置也好找。 海鲜做的很好吃的哦。', '短评打分': 5}
{'短评内容': '2家人来日照旅游，总体感觉山东人都很实在，游玩的很愉快，住宿比较干净就是房间略小，值得推荐吧。', '短评打分': 4}
{'短评内容': '房间很干净，离海岸很近。老板娘厨艺很棒，饭菜很可口，物美价廉。吃饭点了两菜，老板还送了刚煮的玉米~', '短评打分': 3}
{'短评内容': '第一次住渔家，老板在前几天就发信息告诉怎么走，到那边还是打电话叫老板来接了，因为实在找不到。还是很热情的。住宿因为是渔村嘛！洗澡水很小。隔音效果不好，住的几天很早就被吵醒了，可能是有人去看日出，起来的比较早。老板加加工海鲜很好，味道很不错哦！价格也很合理。', '短评打分': 3}
{'短评内容': '晚上到的，老板出来接，在老板家吃的海鲜，很新鲜，老板态度很好，推荐！', '短评打分': 3}
{'短评内容': '老板很热情，打电话告诉我们开车路线到村头接我们，到的时候不是饭点也很耐心给我们准备饭菜，买回来的海鲜很实惠鱼做的特别好吃，房间干净亮堂，很不错的小院值得推荐', '短评打分': 3}
{'短评内容': '老板很实在景点门票帮买便宜不少::住宿环境一般隔音差.', '短评打分': 3}
{'短评内容': '虽然位置有点难找，但该宾馆的设施，服务绝对一流。\n干净整洁的坏境，可口的饭菜，热情朴实的人家，使我们度过了两天美好的时光，下次肯定还来，望继续努力。\n美中不足的就是不知何时碧海路何时改成了单行道，对我们外地车太难了，有点冷不防中招的感觉，完全没有必要吗，不知这次有没有违章罚款，让人感觉不爽。', '短评打分': 5}
