{'短评内容': '还行有的房间挺大的', '短评打分': 4}
{'短评内容': '不错吧，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以的呦', '短评打分': 4}
{'短评内容': '不咋样', '短评打分': 3}
{'短评内容': '嗯哼', '短评打分': 5}
{'短评内容': '特别潮的房间不是很满意连灯都没有', '短评打分': 5}
{'短评内容': '交通位置好，价格实惠，下次还会来', '短评打分': 5}
{'短评内容': '改可以物流挺快的质量也很好，还是比较不错的', '短评打分': 5}
{'短评内容': '改可以物流挺快的质量也很好，还是比较不错的', '短评打分': 5}
{'短评内容': '该酒店还是不错的，出了火车站就是，周边小吃很多，就是房间小点！', '短评打分': 5}
{'短评内容': '无线网信号不怎么样', '短评打分': 4}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '还不错 住过很多次了', '短评打分': 3}
{'短评内容': '还可以，入住办理的很快', '短评打分': 3}
{'短评内容': '网络差，房间不干净，前台服务不好，态度差，借个吹风机要自己下楼，毛巾不干净，以后不会再住了。', '短评打分': 3}
{'短评内容': '挺好的，喜欢整体颜色风格', '短评打分': 3}
{'短评内容': '有点老，床单都老的有时间隧道了。这季节，这价位，难得', '短评打分': 3}
{'短评内容': '位置很好，设备一般，空调不好用，服务态度不好。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置在繁华地段，交通便利。', '短评打分': 3}
{'短评内容': '孙长松成功入住烟台维特风尚宾馆，太差', '短评打分': 3}
{'短评内容': '酒店位置很好 洗手间马桶点很脏 有马桶一次性坐垫 但是是收费的 不小心拆了一包 很劣质的那种草纸垫 三块一包 这里是中央空调', '短评打分': 3}
{'短评内容': '还不错，服务人员也不错。', '短评打分': 3}
{'短评内容': '早上退房的时候  非要说我使用东西了  要要收我30元  我对这样的事情很郁闷\n最后查实并不是我使用的  ', '短评打分': 1}
{'短评内容': ' 那么着吧 有一点点脏', '短评打分': 3}
{'短评内容': '服务热情环境优有热水有电视基本还好', '短评打分': 3}
{'短评内容': '住的条件尚可以，网上价格偏高了一点，离火车站较近，比较方便。', '短评打分': 1}
{'短评内容': '本人入住了烟台火车站店，在经济型连锁酒店日益增多的环境下，总体感觉不怎么样，性价比偏低。\n第一，卫生间很小，这个能理解，毕竟是经济型酒店，可是尽然浴室下水道排水不畅，积水严重，抽水马桶抽不静，这应该就是管理问题和责任必问题了。\n第二，一次性用品粗糙，牙刷居然掉毛，刷牙时有几颗在嘴里，很恶心。这是随意降低运行成本，使用劣质卫浴用品的结果。\n第三，没有预约退房。为了节约工作时间，通知客服我们即刻下楼退', '短评打分': 1}
{'短评内容': '离火车站近，位置好，环境可以，服务到位，在这地段这价位的住宿，选择它是可以的', '短评打分': 5}
{'短评内容': '房间非常小 服务态度也不好\n一点性价比都没有', '短评打分': 1}
{'短评内容': '在火车站边，离长途车站也很近。装修有特色，', '短评打分': 5}
{'短评内容': '位置很好  就在火车站对面   很干净   服务不错   我住的房间就是靠窗的床有点透风。。。空调感觉不是很热', '短评打分': 5}
{'短评内容': '服务很亲切.蛮好.就是浴室的下水道排水慢.希望改善.', '短评打分': 3}
{'短评内容': '酒店环境非常好，装修上看得出来很下功夫。网速很快，唯一的遗憾就是没有吃上酒店早餐，另外，酒店房间如能再大一点可能会更好！', '短评打分': 5}
{'短评内容': '离火车站很进很方便，但是给我的房间实在是小得可怜\n', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间装修的很温馨，比较简约的风格，走廊挂的壁画很好看，房间很大，硬件设施很齐全，住宿环境感觉蛮好的', '短评打分': 5}
{'短评内容': '房间装修的很亮堂，入住感觉不错，位置很好出行方便，服务到位，性价比高', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，停车很方便，位置不错，去哪都很方便，酒店外观是紫色的，里面是淡黄色调的，都是暖色调，住着感觉很温馨', '短评打分': 5}
{'短评内容': '前台办理入住很快，很有效率，有什么问题，服务员都会及时给解决，房间卫生条件打扫的很干净，密封性好，很安静，住着很舒适', '短评打分': 5}
{'短评内容': '地理位置挺好，下火车走两步就到了,而且室内环境也不错', '短评打分': 3}
{'短评内容': '酒店在火车站对面，但是房间隔音效果很好，卫生状况很好，硬件设施也很齐全，附近公交车，火车，打车出行都很方便', '短评打分': 5}
{'短评内容': '环境不错，地理位置挺好。\u3000', '短评打分': 5}
{'短评内容': '＋房间太小了 对面火车站 没法睡觉   服务态度极差 凡事都是一句＇我们酒店都这样＇ 再也不会住了 ', '短评打分': 5}
{'短评内容': '前台服务员办理入住手续还可以，比较迅速，房间收拾的很干净，性价比还行。', '短评打分': 5}
{'短评内容': '酒店位置不错，就在火车站对面，不论去哪都很方便，酒店外观是紫色的，内部是淡黄色的，住着蛮舒服的', '短评打分': 5}
{'短评内容': '服务员很有礼貌，办事效率快，硬件齐全，卫生条件好，没有卫生死角，很不错', '短评打分': 5}
{'短评内容': '感觉比较好的地就是卫生不错，打扫的很干净，房间硬件设施很齐全，住宿环境还是很不错的', '短评打分': 5}
{'短评内容': '距火车站、汽车总站很近，去机场、火车站很方便。', '短评打分': 5}
{'短评内容': '酒店是新开业的，住着还是很舒服的，性价比较高，服务很好', '短评打分': 5}
{'短评内容': '房间的隔音效果很好，不会影响到休息，另外交通很方便，因为靠近火车站，打车或者座公交都很方便', '短评打分': 5}
{'短评内容': '房间有点小，不过价格还不错，位置也方便。卫生间半透明，会有些不方便哦。', '短评打分': 5}
{'短评内容': '整体都不错，只是房间窗户隔音需加强；', '短评打分': 5}
{'短评内容': '整体不错，只是窗户封闭性欠缺；', '短评打分': 5}
