{'短评内容': 'really old', '短评打分': 4}
{'短评内容': '房子不错。干净', '短评打分': 5}
{'短评内容': '柜子下面有别人吃剩的外卖', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店位置挺不错的 挺好找的 价格实惠 房间也大 服务态度也很棒 ', '短评打分': 5}
{'短评内容': '还行好，对得起这个价格', '短评打分': 4}
{'短评内容': '很满意，离地铁站不算远，走出路口就是公交站，公交站离地铁口只有不到一公里，交通方便，吃的东西也多，属于广州市天河区路段', '短评打分': 5}
{'短评内容': '这设备设施、卫生情况也算是差不多对得起这价格', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '比其他的宾馆好多，软件硬件设施齐全', '短评打分': 4}
{'短评内容': '设备不错就是卫生差了点。在市场里面位置不好找，不过这个价格也还指得啦', '短评打分': 3}
{'短评内容': '地方很大，隔音不错。', '短评打分': 3}
{'短评内容': '广交会期间，房间涨的离谱。酒店不能刷卡，不太方便', '短评打分': 3}
{'短评内容': '网速太差，不适合商务，个人还可以', '短评打分': 3}
{'短评内容': '还好，这个价格还算是很实惠的，', '短评打分': 3}
