{'短评内容': '环境好不吵', '短评打分': 5}
{'短评内容': '还不错可以的', '短评打分': 5}
{'短评内容': '服务态度极差！', '短评打分': 1}
{'短评内容': '不错的  只不过里面的东西都要收费 以前去其他宾馆都有赠送一些的 刚开始还以为里面的东西是送的 朋友说了才知道', '短评打分': 5}
{'短评内容': '打开马桶这副样子，都不冲干净？恶心到我了。早餐这也叫早餐？我服', '短评打分': 4}
{'短评内容': '交通比较便利，周边吃个饭倒也方便，服务还行，设施较老，卫生房间环境什么的就比较一般了', '短评打分': 4}
{'短评内容': '挺方便的在汽车站边上', '短评打分': 5}
{'短评内容': '床很干净，墙纸很脏', '短评打分': 5}
{'短评内容': '一直住，房间蛮大，卫生间还蛮干净，早点就呵呵了，种类太少，前台客服有点冷。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境一般，免费的水都没有，一大早就被街上的噪音吵醒了', '短评打分': 4}
{'短评内容': '环境还可以的。离车站很近的。挺好ai', '短评打分': 4}
{'短评内容': '房间挺大的。环境还可以。离车站很近', '短评打分': 4}
{'短评内容': '设施还可，比较干净，对得起这份价格', '短评打分': 4}
{'短评内容': '交通便利，干净卫生，携程预订迅速，非常好的旅行！', '短评打分': 5}
{'短评内容': '酒店在鳌江镇算可以了，但也别期望太高，房间有点小，但热水很大。不知是什么情况，房间里有蚂蚁。', '短评打分': 5}
{'短评内容': '环境卫生情况尚可,但是半夜门缝下塞了很多嫖妓卡片。', '短评打分': 5}
{'短评内容': '160实在不咋地，抽水马桶用一次后再没有水了，房间门口地上散落一摊照片', '短评打分': 1}
{'短评内容': '真麻烦，入住的前一天晚上定的，一会没房预定不成功，一会刚想换又成功了，入住第一天电梯坏的，还要爬楼梯，酒店房间清扫的不干净，角落里还有用过的纸，恶心！床单还破的，后来打到前台给我换了床单，房间门口好多乱七八糟的卡片。可气的是房间没吹风机，前台说吹风机当天已经发完了，要等第二天有人退房才有吹风机，于是第二天我们洗完头都是晾干了，吹风机等不起，我们还要赶船，我就纳闷你们连一个房间配一个吹风机都做不到吗', '短评打分': 1}
{'短评内容': '在鳌江没有星级酒店选择，也就这个酒店相对好点了。房间够大，床够大，比较干净。就是离店时不太愉快，11点半就打电话催退房，答复了需要晚一些时间，到12点半退房时，前台要求多收20元，因为延时了。最后经过一番交涉理论，才没有收取。这做法实在令人添堵。', '短评打分': 5}
{'短评内容': '809大灯坏的  脸盆破的 啊啊啊啊啊 啊', '短评打分': 5}
{'短评内容': '因为是汽车旅馆，所以本身也没报什么期望，也就没什么失望，能住，跟敖江本身环境比较协调', '短评打分': 5}
{'短评内容': '周边就是商业区，挺方便的，不过靠街这边的房间有点吵，早餐品种太少。', '短评打分': 5}
{'短评内容': '不能刷卡，酒店设施没有如家酒店来得干净和合理，房间一般，价格一般。', '短评打分': 5}
{'短评内容': '我们在那里住了两天，服务员态度也很好，房间也很干净！', '短评打分': 5}
{'短评内容': '这家店在平阳算是不错的，而且价格实惠，离敖江码头比较近（要注意的是敖江码头刚搬迁到新码头，还是有点路的），性价比较高！', '短评打分': 5}
{'短评内容': '很干净，靠近码头，交通比较方便，边上都是商业街', '短评打分': 5}
{'短评内容': ' 大床房的床实在太大了!2米!爽!楼下就是鳌江最繁华的街,晚上还可以逛街,太方便了!', '短评打分': 3}
{'短评内容': '酒店还不错，小但不失温馨，按这个价格来说，还过得去', '短评打分': 5}
{'短评内容': '在中心地区，我是从鳌江的动车站下的，坐了公交车15分钟左右就到鳌江汽车站，然后用走的3分钟就到了。我定的是大床房，前台小姐说都是靠马路的，早上有点吵。不知道是不是8楼水压不够，水好小。大床房床挺大的。', '短评打分': 5}
{'短评内容': '可以的，至少出差半点事情还是很方便的，可以的，至少出差半点事情还是很方便的', '短评打分': 5}
{'短评内容': '酒店的服务人员态度还不错，卫生一般吧，有点吵，不过位置还算比较好的，如果有时间还可以逛一下，只是附近吃饭的地方看上去比较干净的比较少。总体来说还可以，如果下次有需要再去那里，应该还会住这里。', '短评打分': 5}
{'短评内容': '比同等价位的如家还差些，比同等价位的如家还差些', '短评打分': 5}
{'短评内容': '太吵了，靠近马路的，半夜都有好多车子的声音，性价比一般把', '短评打分': 5}
{'短评内容': ' 酒店房间不大挺干净，早餐比较单调', '短评打分': 5}
{'短评内容': '干净，舒适，经济型连锁酒店值得信赖~~~', '短评打分': 5}
{'短评内容': '硬件跟汉庭差不多，服务态度没有汉庭好', '短评打分': 5}
{'短评内容': '装修风格很清爽，周围商业环境也还不错，就是太沿街，窗户隔音效果不太好，一直能听到摩托车的声音。', '短评打分': 5}
{'短评内容': '像如家一样的商务酒店，适合出差及个人旅游。性价比较好。', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '卫生不错很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店，值得推荐', '短评打分': 3}
{'短评内容': '印象最深的就是那里的大床，真的超大！', '短评打分': 5}
{'短评内容': '还不错就差电脑房', '短评打分': 5}
