{'descr': '服务不错，但房间设施陈旧，淋浴设备漏水', 'star': 4}
{'descr': '早餐很普通，没有加床，自己出差住的双床，（可以留个床放东西），酒店在小区里所以很安静，但是空调有点吵，总体很不错', 'star': 5}
{'descr': '帮亲戚预定！', 'star': 5}
{'descr': '酒店前台的服务态度挺好的，性价比高，周边环境也不错，位置也很好找，房间卫生差了些，连续住了几天，地板挺脏的，续住后都没有扫地板……', 'star': 5}
{'descr': '很好', 'star': 4}
{'descr': '很差很差很差很差，什么都差', 'star': 1}
{'descr': '一般般', 'star': 5}
{'descr': '一般般，旧房子，不过环境特别安静！', 'star': 5}
{'descr': '京东和代理商的服务非常棒！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '因为最近经常去北京办事，所以近半个月已经在这家店住了总共四个晚上了，这次一起评价下，价格是携程是定的130左右一晚，从卫生说起吧，卫生真的很差很差，如果有洁癖或者对房间有味道很反感的小伙伴就不要定了，我也是因为靠近办事的地方所以才定的，前后住过三个房间，都不太干净，可能也是开的久的原因，我听附近的人说，这家七天是很多年前一个浴室改造的，所以这么多年了，设施陈旧也是可以理解的。卫生的话我还是建议七天', 'star': 3}
{'descr': '周边交通便利', 'star': 4}
{'descr': '被子是脏的，马桶还有尿痕，洗手间的门会大叫，旁边就是电机房，整宿在哄鸣，插座不在床头，手机充电要放很远。谨慎选择', 'star': 2}
{'descr': '不错，住的很舒服', 'star': 5}
{'descr': '还可以，了还可以', 'star': 5}
{'descr': '房间一般般 地上还有虫子 房间里比较潮', 'star': 4}
{'descr': '酒店挺好的，前台相当的热情，位置不错，交通便捷，以后还住七天酒店！', 'star': 5}
{'descr': '酒店挺好的，前台相当的热情，位置不错，交通便捷，以后还住七天酒店！', 'star': 5}
{'descr': '环境好，价钱公平，交通方便。', 'star': 5}
{'descr': '整体一般.比较简陋.位置还算可以！', 'star': 3}
{'descr': '为什么一定要写完二十个字才可以发表评论呢', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '没有找到', 'star': 3}
