{'短评内容': '就餐环境不错，但品种不够丰富', '短评打分': 5}
{'短评内容': '很棒的酒店！位置优越！景观一流！', '短评打分': 5}
{'短评内容': '很好，不错。', '短评打分': 5}
{'短评内容': '第一次住柏悦，期望值还是比较高的，之前看了不少大家的评论很有帮助，这里也贡献一些：优点：位置好，就在国贸桥西北脚，银泰楼上，地铁不用出楼，进入银泰抬头看指示牌，要换一次电梯，前台在66层马桶：想在家里也弄一个，感应的自动加热换气，喜欢早餐：北京亮体验一把，基本都有靠窗的位置，菜品不是那么多，但是绝对吃不过来，赞现做的几种菜品和鲜榨果蔬汁，没有甜点略遗憾。泳池：人少水干净必须的，先泡热水池再下泳池冬', '短评打分': 5}
{'短评内容': '已经住过一次。这次去北京还住这里。换种房型体验一下！', '短评打分': 5}
{'短评内容': '环境好 服务好  购物也方便！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很满意的住行', '短评打分': 5}
{'短评内容': '很棒，很满意，喜欢', '短评打分': 5}
{'短评内容': '酒店的气质优雅，别致，在房间里可以一览国贸的景色，是一次非常舒适，愉悦的入住体验，相信以后还会常去的', '短评打分': 5}
{'短评内容': '很不错，房间空间很大，布局很合理；厕所马桶自动化程度很高，很温馨；窗户大，采光好；处衣间大小合适。淋浴间和喷头，浴池都很不错。', '短评打分': 5}
{'短评内容': '不错！不错！', '短评打分': 5}
{'短评内容': 'So good!', '短评打分': 5}
{'短评内容': '房間非常的好，地理位置非常的方便，非常推薦的酒店', '短评打分': 5}
{'短评内容': '设施有点老了，不过服务和环境还是不错的！出入也方便', '短评打分': 5}
{'短评内容': '挺好的酒店，设施非常好。', '短评打分': 5}
{'短评内容': '地段很好，设施也不错，这一条路上酒店很多。  就子楼上的银泰开会，非常的方便。  房间舒适，早餐也不错。。。', '短评打分': 5}
{'短评内容': '在银泰楼上，非常方便。  酒店品牌还是很信得过的。  本来想用酒店的接机服务的，  不过5星酒店的价格还是挺贵的。', '短评打分': 5}
{'短评内容': '各方面都非常好，无可挑剔，服务员训练很职业，只是前台服务略逊。', '短评打分': 5}
{'短评内容': '交通便利，专修豪华，楼下有很多商业，很方便。', '短评打分': 5}
{'短评内容': '位置，便利，豪华，景观一流，总之北京最好的酒店', '短评打分': 5}
{'短评内容': '帮朋友定的，每次都指定柏悦酒店，看来服务不错，朋友很喜欢。', '短评打分': 5}
{'短评内容': '房间装修很现代简约，房间面积比国贸大酒店的同房型小些。服务非常好。', '短评打分': 5}
{'短评内容': '酒店很时尚 酒店设施高科技又人性化 只是进入客房的电梯要从大堂转 有点不方便', '短评打分': 3}
{'短评内容': '酒店的环境还行，房间设施挺好的，酒店还是蛮好找的，价格还行。', '短评打分': 5}
{'短评内容': '酒店的位置也很好的就在国贸对面，房间也不错装修也挺好的，价格还是挺贵的。', '短评打分': 3}
{'短评内容': '太贵了，46折还2645呢，哎！希望能把折扣降低。', '短评打分': 5}
{'短评内容': '+酒店服务内外宾有别,感觉不好.', '短评打分': 5}
{'短评内容': '服务很一般.感觉有些不太达标.位置很好很方便出行,室内的硬件软件条件也不错.综合来讲还算可以.', '短评打分': 5}
{'短评内容': '风格简约，布置新颖，舒适度很高，服务也很到位，个人觉得性价比很高。', '短评打分': 5}
{'短评内容': '酒店的硬件设施还是不错的，房间里打扫的也挺干净，感觉住的还比较舒适，酒店的位置还不错，周边交通挺便利的，就是停车不是很方便，酒店提供的是地下停车形式，价格方面不是很便宜。', '短评打分': 1}
{'短评内容': '非常棒的酒店，设施一流，还有66层的China Grill 北京亮餐厅环境一级棒，可以看到全北京360度的风景，就是价格有些贵，只能商务宴请。', '短评打分': 5}
{'短评内容': ' 服务很好，硬件不错，比上次入住好', '短评打分': 5}
{'短评内容': '酒店的服务与设施都非常不错，只是洗澡的时候，玻璃门不是那么密封，水会渗出去，小小的遗憾', '短评打分': 5}
{'短评内容': '这么高级的酒店，晚上居然断电，而且没有应急灯，其它还算相当不错', '短评打分': 5}
