{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '就是升级版快捷酒店吧房间味道大酒店有点老了', '短评打分': 3}
{'短评内容': '房间一股霉味，厕所有一股臭味，没有早餐，二楼有早茶贵且不好吃', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '物美价廉哦', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '干净、舒适，就是房间稍小些', '短评打分': 5}
{'短评内容': '房间还蛮好的 干净整洁', '短评打分': 5}
{'短评内容': '东西很好很强大。会继续支持京东的。京东好东西帮助省了好多钱。123456789', '短评打分': 5}
{'短评内容': '东西很好很强大。会继续支持京东的。京东好东西帮助省了好多钱。123456789', '短评打分': 5}
{'短评内容': '不错，竞技场干活', '短评打分': 5}
{'短评内容': '东西很好很强大。非常好的东西。', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，非常非常好。', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，非常非常好。', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，非常非常好。', '短评打分': 5}
{'短评内容': '海口老牌酒店，年代有点久了，房间设施都比较陈旧，淋浴大花洒都已经生锈了。窗户也关不服帖，隔音不好。追求新的同志这个酒店就算了。二楼的早餐点是海口人喜欢来的，人也比较多。应该比较正宗。', '短评打分': 4}
{'短评内容': '就是有点旧', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '有点老了', '短评打分': 4}
{'短评内容': '很好，很满意', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '这个酒店一直是我出差海口的最爱，环境好，床特别舒服，而且早餐种类丰富', '短评打分': 4}
{'短评内容': '酒店蛮大的，房间还有个大大的浴缸可以泡澡，电视有点小气，32寸的。其他都基本可以吧，设备有点陈旧，服务不是很热情，', '短评打分': 4}
{'短评内容': '非常不错 有时间还去', '短评打分': 2}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '海南赛仑吉地大酒店（海口）交通方便，经济实惠。值得继续入住', '短评打分': 5}
{'短评内容': '各方面在同价位酒店中都算不错', '短评打分': 3}
{'短评内容': '酒店位置很方便，服务挺好，价位也比较合适。不错', '短评打分': 5}
{'短评内容': '應有盡有的酒店所在位置附近就有商場，可惜酒店開幕有一段時間設施都不算新，走的是非洲風格，但我不是很能理解那種設計...蠻怪的!!餐點味道在海口算不錯的，只是想要和他們的服務人員溝通可能需要一點耐性...急性子的我好幾次差點被氣到說不出話!!!', '短评打分': 5}
