{'短评内容': '一般的商务酒店', '短评打分': 4}
{'短评内容': '房子不错，位置也很好找，一直很喜欢汉庭的房间，干净，住着放心，舒服，推荐', '短评打分': 5}
{'短评内容': '房间很干净，地段也不错，早晚都不吵，离火车站，王府井也很近！', '短评打分': 5}
{'短评内容': '房间很大，很干净。床很宽，睡两个人完全没问题。该有的都有，很爽。位置好，在中心广场旁边，在往前面点就是王府井百货。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '舒服，感觉。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间舒适，空气清新，住了好多次了，服务也挺好。棒。赞赞赞', '短评打分': 5}
{'短评内容': '不错，服务很不错，就是无线比较麻烦。', '短评打分': 5}
{'短评内容': '非常舒服，非常喜欢，赞一个', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般一般一般一般一般一般一般', '短评打分': 4}
{'短评内容': '离火车站不近做公交去比较方便，前台服务很好，附近有一家火锅自助餐饿了一天去很合适。楼层高住得安静，空调给力。连锁就是不错。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '洗澡热水很棒。设施健全。房价合理。前台服务员态度不好，顾客众多的时候，居然没有人出来服务。Wi-Fi不稳定。此外，毛巾不干净。', '短评打分': 3}
{'短评内容': '可以、还不错！', '短评打分': 5}
{'短评内容': '位置好，干净卫生，下次在住，', '短评打分': 4}
{'短评内容': '一', '短评打分': 4}
{'短评内容': '还好！离火车站很近！', '短评打分': 5}
{'短评内容': '住了很多次了，没什么感觉了！', '短评打分': 4}
{'短评内容': '交通方便，住宿环境不错', '短评打分': 5}
{'短评内容': ' 非常干净', '短评打分': 3}
