{'短评内容': '酒店环境非常好，服务人员热情周到，停车非常方便，周边吃饭的餐厅，超市也挺多的，挺方便的，晚上睡觉也挺安静的。', '短评打分': 5}
{'短评内容': '还行，可以', '短评打分': 5}
{'短评内容': '比较起来还算可以啊', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '朋友住过一次，还算可以吧，算是小连锁吧。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一向很好，安静整洁。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '安静干净整洁安静安静干净整洁安静', '短评打分': 3}
{'短评内容': '房间环境不错 前台服务态度也很好 下次还会再来住', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境可以，就是附近装修，很吵', '短评打分': 3}
{'短评内容': '＋环境安静，服务好', '短评打分': 3}
{'短评内容': '怎么说呢,酒店是真的不错,什么都不错,不过男人街倒闭了,所以酒店真安静,真的很安静,真的很安静........', '短评打分': 3}
{'短评内容': '还好，就是房间不太大！还算是干净，地方比较偏僻！', '短评打分': 5}
{'短评内容': '很安静，干静，舒适，交通也便利。楼下就是购物精品店。', '短评打分': 5}
{'短评内容': '还行，比较划算！就是房间比较小……地方偏僻……', '短评打分': 5}
{'短评内容': '还行~~~房间蛮干净的~~服务也很好~~~也很安静~~~价钱很便宜', '短评打分': 5}
