{'短评内容': '环境很好，地点很好找。老板很热情，点赞，值得拥有！', '短评打分': 5}
{'短评内容': '距离步行街仅有数十米，小院闹市中取静。院外热闹非凡。还是比较实惠的', '短评打分': 5}
{'短评内容': '气氛很好...第二次光顾...老板人很好', '短评打分': 3}
{'短评内容': '干净卫生，老板热情，一个字“好”。', '短评打分': 3}
{'短评内容': '不夸张地讲，金玉其外败絮其中。表面上看是很有格调，但内部的设计都不够舒适，完全比不上快捷酒店。房间太小了，毛巾抖一抖还有粉尘，洗漱用品还是用自带的吧。当然了，平遥的客栈可能都是这样。总体上还是合格的，不过古城这地方应该不会再想来了。', '短评打分': 3}
{'短评内容': '在最热闹的地段，装修很有地方特色，老板娘很热情，到店前回主动电话确认，提醒线路并安排接送。洗澡水流如洗手后的甩水速率，小得出奇，只能湿身，充浴10分钟未感热意，老板娘说是因为假期用水量大，水压小所致，实是个遗憾。双床房很小，厕所狭窄，坐在马桶上膝盖直接顶着墙了，必须侧着才行，不知道其他房间是咋样的。假日古镇人挤人，只能拖着旅行箱到城门外叫车。建议住在古城旁边也是不错的。', '短评打分': 3}
{'短评内容': '不错!值得入住!有地方特色!', '短评打分': 3}
{'短评内容': '地理条件好，客栈门口就是饭店而且价格不贵，非常好。', '短评打分': 5}
{'短评内容': '干净，服务态度很好。', '短评打分': 5}
{'短评内容': '酒店外景很漂亮，房间里边太简陋了', '短评打分': 3}
{'短评内容': '挺好的一家客栈，住宿环境还可以。', '短评打分': 5}
{'短评内容': '挺好的一家客栈，挺实惠的，就是房间有点冷。', '短评打分': 5}
{'短评内容': '订的是单人间，老板免费给升的套房，暖气非常暖和，房间古香古色，客栈距离南大街只有50米远，明清一条街150米左右，适合晚上参观，距离停车场步行15分钟左右，从客栈到又见平遥剧场大约15分钟距离，很方便，步行即可，老板态度很好，房间价格也合理。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '感觉非常好安静舒适', '短评打分': 3}
{'短评内容': '酒店挺干净，但是饭很难吃', '短评打分': 3}
{'短评内容': '酒店的装饰很用心，店家也很好。床铺也很宽敞，总体不错', '短评打分': 5}
{'短评内容': '恒圣福客栈地理位置很好，在古城最繁华的街道，环境优美，闹中取静，房间干净整洁，具有很强的民俗特色，老板很热心，自架游的朋友提前预订，还可以将车开到古城里停放，非常棒！', '短评打分': 3}
{'短评内容': '不错，老板很热情，我因为在壶口走冰雪山路，夜里1点多才到，老板一直在等。\n院子、小楼很山西，感觉不错。', '短评打分': 5}
{'短评内容': '酒店整体感觉尚可。', '短评打分': 3}
{'短评内容': '较好', '短评打分': 3}
{'短评内容': '此店旅行团住得比较多，炕是象征性的炕，实际上是不能烧火的。被有股怪味，厕所水流很弱。。但这晚我睡得很实，可能小时候是睡炕长大的吧。比床舒服，大，宽敞。不硬也不软。自来水不行，太难喝了。水壶里有水GOU，旁边的水都是开过封的。。。总体来说对爱挑剔的南方人来讲可能会不习惯。向穷游族推荐。', '短评打分': 1}
{'短评内容': '还不错，价格便宜，服务挺热情的，他们酿的竹叶青可以试试。', '短评打分': 5}
{'短评内容': '我们住的是豪华标间，环境好也很干净，只是冬天去的天气太冷，不然夏天能坐在院子里感觉一定更棒！这次订到了特价房，感觉很值！地理位置也不错，在古城的中心，去哪里都很方便。我们到了以后本来客栈之前承诺有车可以来车站接，但等我到了打电话他们说没有车，让我们自己坐车过来，5块钱，他们可以给报销。然后我们找了个车人间要10块，最后我们也没好意思找人家报......主要是我们自己找的车人家不认识这家客栈，幸运的', '短评打分': 5}
{'短评内容': '酒店还是一般 位置倒是挺好找的，服务是比较热情，性价比是比较合适。但是和我想象中的还是有点区别可能以后就不会再参考了。', '短评打分': 1}
{'短评内容': '酒店还不错，服务卫生方面很好，设施也完善，大炕形式的，感觉很新颖，住的也挺舒适。', '短评打分': 5}
{'短评内容': '客栈看起来还比较新，设施挺齐全的，装修的也很有特色，住的还是比较舒适的。', '短评打分': 5}
{'短评内容': '老板是很好的人，住宿条件也很好，很有特色，饭菜也很好吃，不错的地方，大家可以去试试！', '短评打分': 5}
{'短评内容': '酒店装修的很有地方特色，土炕，第一体验感觉很新鲜，房间设施很新，也很齐全，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店在平遥古城里面，蛮方便的，炕挺大的，卫生干净，服务员态度很冷漠，爱答不理的，其他都不错。', '短评打分': 5}
{'短评内容': '这家酒店房间面积有点小，是那种古县古色的装饰，我住的是那种炕形式的，感觉房间里的设施不是很齐全，连挂衣服的地方都没有。酒店位于古城里边，旅游很方便的，价格方面就是感觉黄金周的价格偏高些了，再实惠点就更好了。', '短评打分': 5}
{'短评内容': '平遥一家还不错的酒店，装修古色古香，干净舒适。', '短评打分': 5}
