{'短评内容': '环境太差，床头灯不亮，不推荐住宿', '短评打分': 2}
{'短评内容': '感觉不错。。。l', '短评打分': 5}
{'短评内容': '一直京东买东西，自营配送速度真是快，实惠方便', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '经济实惠！', '短评打分': 5}
{'短评内容': '周围满房，提前定的携程上就把钱付掉过的，结果到店再付40现金，爱住不住，电视开了如图，定的商务电脑单间一开始没有电脑，后来换的，结果电脑要调理很久才能用，电话如图，线都没有根本联系不了前台', '短评打分': 2}
{'短评内容': '总体条件不是很好，老板还不承认在网上订的，还说多交20块钱，', '短评打分': 1}
{'短评内容': '很好真的很好很好很好很好', '短评打分': 3}
{'短评内容': '设施陈旧，气味难闻，下次不会再住！', '短评打分': 3}
{'短评内容': '设施老旧，电脑差劲，房间还比较大。', '短评打分': 3}
{'短评内容': '经济适用房', '短评打分': 4}
{'短评内容': '很一般，设施太陈旧。', '短评打分': 3}
{'短评内容': '住的18楼，风景很好。。。不错！', '短评打分': 5}
{'短评内容': '还行，', '短评打分': 5}
