{'短评内容': '续住了一天连一次性的鞋都不放。我也是醉了，私人宾馆就是这样不要指望有多好的服务', '短评打分': 4}
{'短评内容': '赞赞赞', '短评打分': 5}
{'短评内容': '电梯坏了 被困耽误行程 顺风车要188元 老板撂下85元放前台 人走了！要气疯了！气疯了！房间就不用说了 洗手间门是坏的！房间隔音效果差  避光没有处理好！', '短评打分': 2}
{'短评内容': '感觉非常好', '短评打分': 5}
{'短评内容': '感觉很好', '短评打分': 5}
{'短评内容': '一般般吧，毕竟价格低', '短评打分': 5}
{'短评内容': '一般很一般', '短评打分': 3}
{'短评内容': '服务好，干净，大气', '短评打分': 5}
{'短评内容': '一般，实惠', '短评打分': 3}
{'短评内容': '蚊子叮死人了，无线网络很差', '短评打分': 1}
{'短评内容': '环境不错，服务质量好，设施齐全，蛮划算', '短评打分': 5}
{'短评内容': '酒店还可以，卫生还可以，就是稍微偏僻', '短评打分': 4}
{'短评内容': '一般般没啥好坏，没有早餐不方便，携程信息不准确', '短评打分': 3}
{'短评内容': '一般般，没啥好坏，没有早餐不方便，携程信息不准确', '短评打分': 3}
{'短评内容': '开了个标间，卫生环境什么的都挺不错！建议入住！周围吃饭什么的也很方便！', '短评打分': 3}
{'短评内容': '酒店不错，性价比很高！', '短评打分': 5}
{'短评内容': '地段不错房间有点小, 房间可以说算精致吧. 配的东西还挺全.', '短评打分': 4}
