{'短评内容': '设施很齐全', '短评打分': 4}
{'短评内容': 'ewogICJDb21tZW50VG90YWwiIDogMjEsCiAgIkhvdGVsSWQiIDogNTM3NjQ1NCwKICAiUm9vbUxpc3QiIDogWwogICAgewogICAgICAiUm9vbUlkIiA6IDIxNDY1OTc4LAogICAgICAiUm9vbU5hbWUiIDogIueJueS7t+aDheS+o+aIvyIKICAgIH0KICBdLAogICJy', '短评打分': 4}
{'短评内容': '还可以，就是没有早餐', '短评打分': 4}
{'短评内容': '还可以，就是没有早餐', '短评打分': 4}
{'短评内容': '卫生差装修陈旧', '短评打分': 3}
{'短评内容': '住得挺舒服的又可以免费停车地理位置得天独厚很好找，周边挺多东西吃的服务质量也很好和网上描述一下挺好的', '短评打分': 5}
{'短评内容': '这么样子！这种种问题进行谈判、一个人主义乌两件事上纠缠太久了，你们都在说我不喜欢我就会变得很累！你', '短评打分': 5}
{'短评内容': '还可以，价格有点高', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体一般而己', '短评打分': 3}
{'短评内容': '酒店十分满意。', '短评打分': 5}
{'短评内容': '房间够大，周边环境不错，只是隔音不好，', '短评打分': 5}
{'短评内容': '跟开业那阵还是有些差距 加油吧', '短评打分': 4}
{'短评内容': '在节日的时间去，有点贵，平常价格还能接受，房间的整体设施跟价格还能批配', '短评打分': 4}
{'短评内容': '便宜168元，一切尚可，不提供发票', '短评打分': 4}
{'短评内容': '环境可以，服务一般', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
