{'短评内容': '服务很好很喜欢', '短评打分': 5}
{'短评内容': '不错的一家酒店', '短评打分': 4}
{'短评内容': '很干净。很舒服。', '短评打分': 5}
{'短评内容': '哈哈哈，房间风格比较逗', '短评打分': 4}
{'短评内容': '没早餐，不能加床', '短评打分': 5}
{'短评内容': '环境挺好的。够便宜', '短评打分': 5}
{'短评内容': '订了要住的人来不了，没得退也没去住，浪费了呀。', '短评打分': 5}
{'短评内容': '6个字的好评！', '短评打分': 5}
{'短评内容': '卫生和环境都很好，京东下单比其他的便宜&hellip;', '短评打分': 5}
{'短评内容': '电视能开但看不了，下水慢，冲凉冲久一点都快淹了，就是便宜', '短评打分': 5}
{'短评内容': '酒店做得很用心', '短评打分': 5}
{'短评内容': '换了地毯，感觉很好', '短评打分': 5}
{'短评内容': '卫生整洁，房间舒适', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '方便，比较清静', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '酒店附近交通吃饭都很方便，房间有点小还好卫生还可以。', '短评打分': 2}
{'短评内容': '酒店就在凤凰山公交车站后方挨着市场非常方便。步行十分钟即到东湖公园。', '短评打分': 3}
{'短评内容': '比较旧的酒店～设施都有点烂了', '短评打分': 4}
{'短评内容': '比较旧的酒店～设施都有点烂了', '短评打分': 4}
