{'短评内容': '你好', '短评打分': 4}
{'短评内容': '十分不讲信誉的店主 头一天沟通好帮预留房间并且答应凌晨四点可以入住 才携程下的订单 结果四点到店换口气说九点才能入住 害的我亲戚直接去医院等 到了中午过去又说没房 也不让行李暂时寄放 直到等到下午五点才安排入住 如此不讲信誉的宾馆 没准以后出什么事！还是加几十块住口碑好的酒店吧！', '短评打分': 2}
{'短评内容': '就这样', '短评打分': 3}
{'短评内容': '房间很精致 但觉得值得在这个价位入住，毕竟物美价廉。房间的床较一般快捷酒店的床舒服，房间很紧凑，很干', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在市区，价格也便宜，不怎么讲究没问题的。', '短评打分': 4}
{'短评内容': '呃……妈妈说住着太吵了，隔音比较差，但是卫生她说是不错的，位置也很不错，这个价位住在广州这样的酒店我觉得也算是可以了吧，不过妈妈说，如果老板愿意多请几个服务生其实价格升高些也没关系。', '短评打分': 5}
{'短评内容': '价格实惠 房子还行', '短评打分': 5}
{'短评内容': '一般般吧，还算可以接受，挺安静的。', '短评打分': 4}
{'短评内容': '那附近那价格还不错了', '短评打分': 4}
{'短评内容': '建议就不要入住这家了。呵呵', '短评打分': 2}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '无线网信号很不好！房子很小。下次不会来了。', '短评打分': 3}
{'短评内容': '位置挺方便的就在地铁站附近，设施有点旧，房间不大但足够了，价格实惠。', '短评打分': 5}
{'短评内容': '环境不太好，房间小，隔音效果差！', '短评打分': 3}
{'短评内容': '  交通方便，需要发票，', '短评打分': 3}
{'短评内容': '位置挺方便，卫生感觉很差。加的被子很脏，需要改进服务', '短评打分': 3}
{'短评内容': '环境差，装修非常的一般；但是在闹市中这个地段，这样的价钱，都可以接受了----', '短评打分': 1}
{'短评内容': '蚊子超多啊亲！注意不是很多是超多啊亲！满房间的蚊子啊亲，看了其他房间也是一样啊亲！马桶很脏很脏啊~到处都很破旧啊~唯一可取的就是地段方便点啊~便宜也不能差成这样啊。。。。', '短评打分': 1}
{'短评内容': '这个酒店只能说是一个旅馆，主要是靠近花园酒店才订下来住的，感觉就是借宿一宵而已。', '短评打分': 1}
{'短评内容': '这家宾馆，只能算是个旅馆。实施陈旧、床单中部还有些未洗净的污渍。', '短评打分': 1}
{'短评内容': '地理位置差 感觉人的出入很复杂 让人觉得很不安 而且宾馆的走廊脏兮兮的 房间也是 隔音超级无敌差 整晚被吵得睡不着！！', '短评打分': 1}
{'短评内容': '房间小，装修旧', '短评打分': 3}
{'短评内容': '价格较为便宜，但是隔音效果不好，希望你后能改善。', '短评打分': 5}
{'短评内容': '设施不好，被子也不舒服，空间极小，没有电梯', '短评打分': 1}
{'短评内容': '蚊子多', '短评打分': 3}
