{'短评内容': '首先我那个房间没有吹风机，很头疼，，而且房间插座很少，手机充电不方便，，但是地理位置还不错，，，方便', '短评打分': 3}
{'短评内容': '还可以 就是插座少', '短评打分': 5}
{'短评内容': '位置不错  在步行街附近', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '床头没有插板，手机充电不方便。希望改进', '短评打分': 4}
{'短评内容': '物美价廉，非常的好，推荐推荐棒棒哒（｡ò ∀ ó｡）（｡ò ∀ ó｡）(づ ●─● )づ_(:з」∠)_', '短评打分': 5}
{'短评内容': '很好 非常方便', '短评打分': 5}
{'短评内容': '第一次在京东上订宾馆，价格比美团上的优惠，下次继续～～', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 5}
{'短评内容': '环境好干净卫生很漂亮啊', '短评打分': 5}
{'短评内容': '还算不错吧，房间挺大，免费停车，就是床头没充电器，不是很方便', '短评打分': 5}
{'短评内容': '房间设施一般', '短评打分': 4}
{'短评内容': '价格便宜 ，距离步行街很近，但是房间电视居然看不了，厕所里面居然没有隔间 ', '短评打分': 4}
{'短评内容': '墙破', '短评打分': 1}
{'短评内容': '卫生挺干净的，工作人员服务态度也好，总体不错', '短评打分': 4}
{'短评内容': '交通位置方便，离步行街很近，服务热情，下雨还提供雨伞，贴心  ', '短评打分': 5}
{'短评内容': '房间很大，两个人住还给升级了套房，但是设施比较旧了～', '短评打分': 3}
{'短评内容': '把 v 孤独句句句 if 快乐吧好惆怅举办了国际客户反馈彼此巨巨巨的jjhvuvkv和成就感的孤云野鹤', '短评打分': 1}
{'短评内容': '房间挺干净，如果插线板和吹风机能直接放在房间就更方便了，早餐是牛奶和面包自取的', '短评打分': 3}
{'短评内容': '可以 床舒服 环境可以的', '短评打分': 3}
