{'短评内容': '性价比不错，网还好。', '短评打分': 3}
{'短评内容': '第一个房间地板有水，第二个房间网络奇差。', '短评打分': 1}
{'短评内容': '住的感觉还不错，周围环境也不错，屋里设计挺温馨的', '短评打分': 5}
{'短评内容': '硬件设施还是有点差的，不过服务态度很好。地理位置很放便', '短评打分': 3}
{'短评内容': '酒店店挺新，挺时尚的，位置挺好，出行很方便，价格稍微贵点。', '短评打分': 3}
{'短评内容': '酒店的位置还不错，就在王府井百货对面，周边交通购物很方便。', '短评打分': 3}
{'短评内容': '酒店位于主干道上 ，交通方面还是挺便利的，环境也不错，干净整洁，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，周边吃饭交通都很方便，停车一般，停车场有点小。', '短评打分': 3}
{'短评内容': '房间设计的挺好的，卫生也很好，设施基本齐全，采光通风也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '卫生方面做得挺好，床单被罩都挺干净的，电视是也液晶的，频道挺多的。', '短评打分': 3}
{'短评内容': '房间挺个性化的，床是圆形的，颜色搭配也挺好，感觉挺时尚的。离商场很近，购物很方便。', '短评打分': 5}
