{'短评内容': '非常幸运选到了这家酒店，因为是蜜月之行所以很慎重，店家的图片和网上的点评看了又看，觉得酒店还是很干净精致有藏区特色的就订了，然后一下飞机惊喜就开始了! 酒店的人贴心的带了哈达接机，一路上给我们介绍了林芝的景区和各种风土人情，到了酒店之后，服务人员又在门口为我们献上了哈达，非常热情 宾至如归~之前有打电话说希望房间蜜月布置，果然进门一切都已经准备好了，非常温馨! 房间的装修和舒适都超出预期。酒店还准', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐很丰盛', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般 ', '短评打分': 4}
{'短评内容': '酒店一般，价钱奇高，性价比太低', '短评打分': 4}
{'短评内容': '酒店一般，价钱奇高，性价比太低', '短评打分': 4}
{'短评内容': '性价比不高，最不应该的是早餐还要另外自己付', '短评打分': 4}
{'短评内容': '房间不错，酒店内环境不错，有免费WiFi停车场是石子路，可能比较伤轮胎。房间的空间较大，还有瑜伽垫。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '林芝当地算是比较好的了，旁边就是个藏医院，还行吧。', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店服务员很热情，设施齐全，干净卫生。好评，推荐。', '短评打分': 5}
{'短评内容': '安静，交通便利', '短评打分': 5}
