{'短评内容': '不能加床', '短评打分': 4}
{'短评内容': '位于大别山白马尖景区内，环境优美，空气清新，酒店设计外观很捧，与环境和谐共处，不足之处是无空调。房间内有暖气设施但不启用，冬天谁愿意在此挨冻。', '短评打分': 4}
{'短评内容': '很好，就是房间一点景观也没有', '短评打分': 5}
{'短评内容': '酒店位于大别山主峰白马尖脚下，环境优美，空气清新，往在山中非常清静，深秋住在这样的地方是一种心灵的净化。', '短评打分': 4}
{'短评内容': '自然环境不错，酒店因为木质装修有点霉味，没有空调这个天气有点冷，整体感觉还是不错的。爬白马尖一定要准备充足食物和水，没有索道，爬全程非常累', '短评打分': 4}
{'短评内容': '房间周围环境优美，处于群山环抱之中，但是房间走道特别脏，明显没有关注。另外房间墙壁非常脏，估计就是许多小虫子的尸体，另外餐厅价格相当昂贵。', '短评打分': 2}
{'短评内容': '单人间条件差，洗澡间地漏做高了，无法排水。夏天窗外飞蛾剧多，无空调。体验很一般，', '短评打分': 4}
{'短评内容': '酒店客房没有空调，只提供电热毯和电暖炉', '短评打分': 4}
{'短评内容': '酒店地处大别山，挂牌四星，实际差不多快捷酒店水平。房间没有空调，有电热毯和油汀，床很硬，垫子很薄，卫生间很简陋，干湿不分，也没取暖设备，天冷没法洗澡。但是，周边环境非常好，无污染，空气纯净，还能带宠物，客房价格不同景观也不同，便宜的几乎啥也看不到。总之，不适合天冷去。', '短评打分': 4}
{'短评内容': '很不错，主要比较通情理', '短评打分': 5}
{'短评内容': '地理位置很好，风景不错，房间卫生一般，价格偏高。', '短评打分': 4}
{'短评内容': '周边自然环境还可以，但客房卫生实在太差，床单上都有皮屑和头发，睡了之后全身过敏发痒，餐厅服务也太差，上菜居然要二个小时，前台服务也需改进。', '短评打分': 2}
{'短评内容': '周边风景很好，房间视线可以，就是楼上两个床太挤，4个人公用一个卫生间不好。不如双标实惠。', '短评打分': 4}
{'短评内容': '窗外的风景不错，房间有热水', '短评打分': 3}
{'短评内容': '带小孩住三人间，有上下隔间，孩子很开心', '短评打分': 3}
{'短评内容': '山路很绕，开了好久才到酒店。酒店环境不错，就在景区门口，酒店还能帮定景区打折门票。房间蛮干净的。洗手间有点小，不符合4星标准。没有空调，估计这里夏天应该也不太热。山里虫子飞蛾很多，所以虽然有阳台，也不能开窗。总的来说算不错的了。', '短评打分': 5}
{'短评内容': '酒店环境不错，早上醒来打开阳台门就呼吸到新鲜空气，挂着露珠的柱子，很美.....唯一不足的就是标间床实在太小，睡到半夜找被子(都掉到床底下了)。', '短评打分': 5}
{'短评内容': '环境好，卫生好，价格便宜；但房间太小，以至于卧室在阁楼上，很不方便。\n菜肴口味不错，但价格太高。\n总之比较满意，但和它挂的四星牌还是有差距的。', '短评打分': 5}
{'短评内容': '入住的双人标准间，房间的设施一般吧，卫生间也略有不足。但床上的用品不错，卫生间的毛巾用的也很好。餐厅的菜式很多，服务水准也很高，味道也好，作为山上的酒店，价格也合理。山庄整体非常舒适，夏日炎炎，正是避暑的好地方。只是作为度假酒店的话，度假理念还不够。', '短评打分': 5}
{'短评内容': '很好，房间很多，但是无法自主选择。服务也很好，下大雨经请示领导允许车子开进去，以后应该授权总台下大雨可以直接决定。哦，忘记说了，山庄的水实在是太好了。', '短评打分': 5}
{'短评内容': '6月1日与朋友共5人入住该酒店，旅途的辛劳在抵达酒店的那一刻开始就消失得无影无踪。整个酒店静雅得让人有一种想要大声叫一下的感觉。如果你不说话，那么空气中除了花香及植物的香气以外，只有你自己的呼吸声，偶尔远处传来几声鸟鸣，充斥在耳朵里的只有寂静。那种铺天盖地的寂静让你对大自然产生一种深深的敬畏。走在山庄的道路上擦身而过的仪态幽雅的服务员男孩女孩们无不站住脚礼貌地向你致敬，让人觉得你是这山庄的主人，你', '短评打分': 5}
