{'短评内容': '都能可以的', '短评打分': 5}
{'短评内容': '酒店位置不错，离我要到的目的地稍微有点远，不过交通方面还是不错的。附近吃喝玩乐差不多都有了。酒店房间隔音不错，晚上休息的好！以后还会来的。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '皇帝蟹的体型是各种蟹中最大的，有“巨蟹”之称，每只重达8斤以上，更大的则重达10斤-15斤，随便一只8斤的澳洲皇帝蟹动辄就要花费几千大洋。', '短评打分': 5}
{'短评内容': '隔音不好，居然还有清洁员在走廊吵架，这可真是服了', '短评打分': 3}
{'短评内容': '泉州泊捷时尚酒店(钟楼店) 经济房\n&yen;128.00\n经济房', '短评打分': 5}
{'短评内容': '还行吧，一般', '短评打分': 5}
{'短评内容': '环境太差了！价格又贵标房要158，这样环境', '短评打分': 1}
{'短评内容': '比较安静些', '短评打分': 4}
{'短评内容': '房间旧，设施差，隔音全无，有异味', '短评打分': 3}
{'短评内容': '还可以，价格也不高', '短评打分': 4}
{'短评内容': '大床房住得很舒服，房间也大，干净', '短评打分': 5}
{'短评内容': '前台服务员非常热情，态度很好。房间实在太小了，很简易，装修很陈旧，感觉非常脏，还有很多人放门外小卡片的，有的还塞进房间，真恶心。除了交通便利以外，其他都没什么优点。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '在市中心，出游方便，但酒店设施设备都挺旧，最讨厌的是房间缝里塞了很多乱七八糟的卡片，说明管理混乱！', '短评打分': 4}
{'短评内容': '位置便利，热闹街区；网速超快；周边饮食超方便还便宜；交通便利；房间干净整洁；价格中等；性价比高！在附近办事值得推荐。', '短评打分': 3}
{'短评内容': '环境一般，服务员态度也一般。', '短评打分': 3}
{'短评内容': '还不错！干净，整洁！装修时尚，但有些粗糙！', '短评打分': 5}
{'短评内容': '性价比不高，隔音不好，位置还可以。服务和卫生还好，房间比较宽敞。', '短评打分': 5}
{'短评内容': '环境还可以，在热闹路段，值得推荐！\n下次再会还预订...', '短评打分': 5}
{'短评内容': '隔音差了点  别的都好  房间还不错  态度也很好', '短评打分': 5}
{'短评内容': '太差了，水盆是漏水的，床垫是窝下一个大坑的，毛巾是臭的，空调是坏的，特别忍受不了的是噪音，墙壁像是纸糊的，半夜12点像是在赶集，上下左右都在看电视，无法入睡。座便器发出怪声，电脑也发怪声，整个一个鬼屋。绝对不推荐，是住过的最差的一家。', '短评打分': 1}
{'短评内容': '环境可以，交通便利，就是感觉还不够干净卫生', '短评打分': 5}
{'短评内容': '交通相对便利，现在酒店的系统升级有些麻烦', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '卫生干净，环境优美，有电梯还蛮方便的。就是隔音效果差了点，半夜的声音让人睡不着。价格有点小贵，而且单间没有配电吹风。不过总体还是很不错的，应该会考虑再去。还有就是晚上总是有人从门缝里面塞小纸条。', '短评打分': 5}
{'短评内容': '干净房间大离市区近', '短评打分': 3}
{'短评内容': '灯光很温馨，非常适合情侣约会、 服务人员办事周到，而且很有效率', '短评打分': 5}
{'短评内容': '房间色调装修很时尚。总体来说不错。不过若是经常住的话还是办下会员比较划算。', '短评打分': 5}
{'短评内容': '还可以不错值得推荐哦 只是不知道为什么我的房间突然没水，还好已经洗好个，就是这个有点问题，其他的可以，这样的价钱有这样的房间，还蛮可以', '短评打分': 5}
{'短评内容': '隔音太差，热水也不热，空调暖气也不会暖。。太差劲了。', '短评打分': 1}
{'短评内容': '酒店服务很好，也很安静，就是房间不大。楼下有沙县小吃', '短评打分': 5}
{'短评内容': '订的是大床房，进房间才发现给安排的是双人房，下前台换了。但是安排的是电梯间隔壁，整天尽听电梯声了。地理位置是挺好的，附近超市书店吃喝都有。', '短评打分': 1}
{'短评内容': '刚刚住进来，酒店挺新的，地理位置很好，就是房间的桌子有点小了，卫生也很好。', '短评打分': 5}
{'短评内容': '时尚小巧，不错。位置也很好，吃饭、玩都很方便。唯一就是卫生间太小了点，弄不好就碰到玻璃。', '短评打分': 5}
{'短评内容': '前台服务态度非常好，酒店设施属于一般的快捷酒店设施，比较干净。位置算是在泉州很热闹的地方，出门就是东街西街，走两步就是开元寺，去其他景点打车起步价就到。\r\n性价比还是比较高的。', '短评打分': 5}
{'短评内容': '隔音设施太差，隔壁的说话都能听清。酒店刚开不久，设备都挺新的', '短评打分': 1}
{'短评内容': '服务不错、干房间净整洁、就衣架太少、还有很多收费小项目。。。', '短评打分': 3}
{'短评内容': '设施不错，比快捷酒店还好点，卫生也不错。就是隔音效果一般。位置也挺好的，楼下小摊小贩多，拐个弯就到新华都，钟楼，热闹好玩。', '短评打分': 5}
{'短评内容': ' 酒店环境和设施都让人很满意…床够大…可是不是说有睡前牛奶么？我咋没的…因为那天是靠电梯最近的房间，悲剧…下次来泉州还会定这个哦', '短评打分': 5}
{'短评内容': '还不错，酒店很干净，位置也不错。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店还不错，看起来比较新，服务卫生都挺不错。', '短评打分': 5}
{'短评内容': '酒店位置还不错，周边交通挺便利的，吃饭也挺方便的。', '短评打分': 5}
