{'短评内容': '房间干净舒适', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '住着感觉不错', '短评打分': 5}
{'短评内容': '在钦州港算是不错的啦', '短评打分': 4}
{'短评内容': '累了可以休息的很好，挺不错的', '短评打分': 5}
{'短评内容': '环境可以，卫生。', '短评打分': 4}
{'短评内容': '不错。卫生，周边环境还不错。', '短评打分': 4}
{'短评内容': '设施简单，快捷酒店的标准，早餐煎蛋味道也不好，不建议在里面用早餐。对面就是中山公园，红树林，订的海景房，下午去是个小虎，早上就成泥洼地了，太坑的海景.', '短评打分': 4}
{'短评内容': '还不错，就是由于新酒店，感觉前台服务员业务很不熟练。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '环境不错，室内装修也挺新的', '短评打分': 4}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '客房服务较差，前台办事迟钝，但服务态度还行。', '短评打分': 3}
