{'短评内容': '很棒房子特别大', '短评打分': 5}
{'短评内容': '帮父母订的，他们非常满意。位置很方便，离地铁站也近，吃饭、买东西都挺方便的，更重要的是，有个洗衣机！下次去福州还会选择这家！', '短评打分': 5}
{'短评内容': '真的挺好的', '短评打分': 5}
{'短评内容': '位置好，楼下便利店和各式吃食很多。房间设施虽然旧一点，但蛮干净，家居式生活，有冰箱。这个价格，不错了。第一晚温馨大床房没了，暂时住商务大床房，相对更好些。', '短评打分': 4}
{'短评内容': '位置好，楼下便利店和各式吃食很多。房间设施虽然旧一点，但蛮干净，家居式生活，有冰箱。这个价格，不错了。第一晚温馨大床房没了，暂时住商务大床房，相对更好些。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次来都住这里。很不错的公寓酒店', '短评打分': 5}
{'短评内容': '老板不错！', '短评打分': 5}
{'短评内容': '还可以，离汽车南站比较近。', '短评打分': 4}
{'短评内容': '感觉都还好，就是返现28元，一直都没返，算了，也不打算要了！', '短评打分': 3}
{'短评内容': '酒店总体来说还好', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '便宜，一般的公寓，设备尚可，有露台。服务态度好', '短评打分': 3}
{'短评内容': '不错老板人很好 环境也不错', '短评打分': 3}
{'短评内容': '不喜欢', '短评打分': 3}
{'短评内容': '公寓式酒店第一次住，真的很不错。有洗衣机，还可以自己烧饭的。房间干净，床也很大很舒服。如果下次还来福州。一定还来。', '短评打分': 5}
