{'短评内容': '干净整洁，离地铁站近，交通方便。', '短评打分': 5}
{'短评内容': '居住环境不错，大润发超市就在对面，周边有挺实惠的饭店', '短评打分': 5}
{'短评内容': '。。。。。好', '短评打分': 5}
{'短评内容': '不错，商务出行便利', '短评打分': 5}
{'短评内容': '房间挺好的  ', '短评打分': 5}
{'短评内容': '房间真的很舒服，冬天也不会冷，最主要的是房间设施齐全，准备了相应的洗漱用品，不用自己什么都要带，很方便，更快捷', '短评打分': 5}
{'短评内容': '其二有一天太热热热热热热热热的我感觉到自己是什么样子我觉得好幸福呢！你是怎么回事！你是怎么回事！你们是谁在', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还好，就是太贵，卫生还可以。', '短评打分': 5}
{'短评内容': '还好，就是太贵，卫生还可以。', '短评打分': 5}
{'短评内容': '还好，就是太贵，卫生还可以。', '短评打分': 5}
{'短评内容': '京东酒店就是太烂了。京东酒店就是水货。京东酒店就是个差评。', '短评打分': 5}
{'短评内容': '干净、舒适、方便、实惠', '短评打分': 5}
{'短评内容': '一如既往的好，干净、舒适、方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净、整洁、交通方便，离地铁近。', '短评打分': 5}
{'短评内容': '马马虎虎吧，毕竟经济酒店', '短评打分': 5}
{'短评内容': '位置还不错，价格还可以', '短评打分': 5}
{'短评内容': '完全是为了方便。', '短评打分': 4}
{'短评内容': '酒店提前预付好的，还蛮划算的，就是不含早餐，房间面积中规中矩，离公司比较近，其他还可以吧，毕竟经济学酒店', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店还可以啊，设施设备也不错，就是空调不能自己设置，要他们来帮我们弄，早餐马马虎虎吧，25块钱一个人', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '满好心情', '短评打分': 5}
{'短评内容': '买好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '很顺，很好，很干净，支持JD.支持闪电狗！', '短评打分': 5}
