{'短评内容': '玩的开心愉快', '短评打分': 4}
{'短评内容': '玩的开心愉快', '短评打分': 5}
{'短评内容': '我只想说千万别去，在携程上订了房间，到了酒店前台就说她没收到订单，让我携程上退款，在酒店直接付款。给携程打打电话协调才让入住。房间里特别潮，还有一种难闻的气味，和前台说换一个房间，前台告诉大床房都在阴面，都潮。服务态度特别的不好，餐厅菜品又贵又难吃。这家酒店真的不怎么样，不过携程客服的服务态度还是非常好的，解决问题的时间很快。', '短评打分': 2}
{'短评内容': '卫生太差了吧。。。', '短评打分': 3}
{'短评内容': '环境很不错，在大自然中间，景区内，空气清新，还可以游船和做快艇， 酒店环境非常不错，服务员也很乐于助人，设施齐全，地理位置到长白山北景区还是可以的，酒店晚上还有免费的篝火晚会，可以和演员一起跳舞，唱歌，还可以点些烧烤，总之，这个来长白山这个酒店还是不错的选择', '短评打分': 5}
{'短评内容': '很好适合家庭度假', '短评打分': 5}
{'短评内容': '很好适合家庭度假', '短评打分': 5}
{'短评内容': '环境：这个价位能住到长白山景区附近还是很值得推荐的，重点是还在景区内，晚上也能散步，建议晚上把园区灯光打开。酒店设施也很齐全，装修不错。 房间：最令人生气的就是满屋子的七星瓢虫，虽然东北人都习惯了，但是南方人看到还是很害怕的！！除此之外，榻榻米房还是很有趣的，要是没有虫子，这个房间绝对是超值的。 服务：服务人员都是中年女性为主，为人淳朴。 建议：进酒店的路指示牌不多，灯光不够亮。只能自驾前往。', '短评打分': 5}
{'短评内容': '环境：这个价位能住到长白山景区附近还是很值得推荐的，重点是还在景区内，晚上也能散步，建议晚上把园区灯光打开。酒店设施也很齐全，装修不错。  房间：最令人生气的就是满屋子的七星瓢虫，虽然东北人都习惯了，但是南方人看到还是很害怕的！！除此之外，榻榻米房还是很有趣的，要是没有虫子，这个房间绝对是超值的。  服务：服务人员都是中年女性为主，为人淳朴。  建议：进酒店的路指示牌不多，灯光不够亮。只能自驾前往', '短评打分': 5}
{'短评内容': '酒店很新，十一假期去的，居然没有热水洗澡，服务员态度也是我们就是没有热水哦，理直气壮，其他都还好吧', '短评打分': 4}
{'短评内容': '酒店服务很好，唯一的缺点是不太隔音', '短评打分': 3}
{'短评内容': '环境很好，服务不好', '短评打分': 4}
{'短评内容': '最差的一次住店，迫不及待的来评价，希望后来的人认真考虑，被子上有头发，简介里介绍的各种房间景观实际只是个土坡，这个时间这里晚上室外温度接近0度，空调没热风，要求加被告知100元一个。可能跟携程合作关系不深，分配一个靠边房间437，带孩子怕冷，换房间不给换（大概看下一共150间房，院里就十几台车，就没房）要蚊香没有，居然拿苍蝇拍给我们。3岁半的小孩，还要早餐钱，后来携程给协商，没要钱，各种体验觉得就', '短评打分': 2}
