{'短评内容': '住着还算舒服，吃、行都很方便。我住的是打折房间，没有阳光、也没有早餐。但是便宜呀。这个价格就不能要求太高了。', '短评打分': 5}
{'短评内容': '位置交通很方便，就在地铁口，目前电梯在升级，需走楼梯。', '短评打分': 5}
{'短评内容': '交通方便！', '短评打分': 5}
{'短评内容': '很好 很方便', '短评打分': 5}
{'短评内容': '和同事一起出差住的，入住方便，退房也方便，主要是交通便利，就在地铁口，环境还不错，房间挺大，以后还会来', '短评打分': 5}
{'短评内容': '位置很好交通方便', '短评打分': 5}
{'短评内容': '环境好，干净卫生，挺舒服的！', '短评打分': 5}
{'短评内容': '地理位置方便', '短评打分': 5}
{'短评内容': '转角房间，卫生间畸形，大床的一边都没办法走路。去前台，客服硬是说我在携程上没信息，说让我补款……给了房卡我还亲自跑下去两趟才解决这问题。', '短评打分': 2}
{'短评内容': '第二次入住的很满意，唯一不好的就是房间有异味', '短评打分': 4}
{'短评内容': '环境设施都不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有点旧', '短评打分': 5}
{'短评内容': '感觉不错 比较干净 就是房间小', '短评打分': 4}
{'短评内容': '房间较小 周边设施齐全 大型百货 吃饭的地方很多 出门就是地铁', '短评打分': 4}
{'短评内容': '出门就是地铁 非常方便 就是窗太小了', '短评打分': 4}
{'短评内容': '被坑了好吗…我住了两晚，只返现一晚的。原因是，同一个房间住了两晚，而不是不同的房间住两晚，酒店也不说明，携程也不说明，不开心', '短评打分': 4}
{'短评内容': '交通方便，环境不错，有电吹风、一次性洗漱用品、浴帽等。', '短评打分': 5}
{'短评内容': '交通方便，环境不错，有电吹风、一次性洗漱用品、浴帽等。', '短评打分': 5}
