{'短评内容': '早餐實在不敢說好，只能說吃飽沒問題。地理位置可以，去哪都算方便。', '短评打分': 3}
{'短评内容': '房間還算中規中舉，不過設備確實有點老舊了。附近吃飯方便，生活機能以短期出差來說還行。', '短评打分': 3}
{'短评内容': '就是周围吃饭方便', '短评打分': 3}
{'短评内容': '还可以，就是我觉得床有点软', '短评打分': 5}
{'短评内容': '一般般。', '短评打分': 4}
{'短评内容': '房间隔音效果太差，晚上隔壁说话都听得很清楚，再加上临街的噪音，晚上实在睡不好，房间设施比较陈旧，唯一的优点是周围的饮食店比较多，吃饭还是很方便的。房价还是有点高的。', '短评打分': 4}
{'短评内容': '还可以性比价高', '短评打分': 4}
{'短评内容': '性比价还可以吧', '短评打分': 5}
{'短评内容': '环境很差，卫生很差，不推荐', '短评打分': 2}
{'短评内容': '不错的房间，性价比高', '短评打分': 5}
{'短评内容': '酒店房间整体性价比高，但是有两点∶一、卫生间洗澡会导致“水漫金山”，下水道根本通不下水，洗好了整个卫生间都是水，几个小时后才慢慢消掉，然后就是一地脏污；二、半夜两三点楼上同时开了好几个房，进来一批人，那个动静啊，开趴一样，投诉服务台也没用。建议酒店加强管理和对设施的检查', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 5}
{'短评内容': '还可以，性价比高。', '短评打分': 5}
{'短评内容': '还可以，性价比高。', '短评打分': 5}
{'短评内容': '设施偏老旧，卫生间的百叶窗都掉了', '短评打分': 4}
{'短评内容': '总体满意.有专票可开.到台州就住这里.', '短评打分': 5}
{'短评内容': '设施一般，环境很一般相对于这个价位来说', '短评打分': 3}
{'短评内容': '位置可以，卫生清洁，服务也挺好', '短评打分': 3}
{'短评内容': '位置可以，卫生清洁，服务也挺好', '短评打分': 3}
{'短评内容': '还不错的，主要是环境还好房间干净', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '总体感觉可以', '短评打分': 4}
