{'descr': '挺好的，还会去', 'star': 5}
{'descr': '位置不错  停车方便', 'star': 5}
{'descr': '早餐没有吃  位置不错  停车方便', 'star': 5}
{'descr': '总体还不错，如家统一装修风格，卫生还可以，就是周围有市场，凌晨四点左右就比较热闹了，外面有停车场，位置还可以', 'star': 5}
{'descr': '这个酒店位置不错，就是周边有市场凌晨四点多就比较热闹了，里面卫生不错，如家统一风格，外面有车位，能不能停到车就要靠运气了', 'star': 5}
{'descr': '不错不错不错', 'star': 4}
{'descr': '酒店的房间干净整洁，地理位置优越，交通便利出行方便！服务员服务也非常的客气，下次还是会选择住在这里！', 'star': 5}
{'descr': '房间干净卫生，交通按路标地址导航走不通，从人民路才能走，有停车场。边上有大菜场，吃早餐方便。马路对面小饭店菜特別好吃，价格也不贵。', 'star': 5}
{'descr': '服务周到，卫生好好，餐饮店较多，边上晚上公园走走', 'star': 4}
{'descr': '房间干净卫生，价格还便宜。', 'star': 5}
{'descr': '性价比非常高，附近吃饭方便。值得商务人士入住！', 'star': 4}
{'descr': '常住的。 配有自助洗衣机烘干机，很好用。', 'star': 5}
{'descr': '房间还算干净吧，周边环境也还好。', 'star': 5}
{'descr': '酒店位置处于闹中取静位置，交通也很方便！', 'star': 5}
{'descr': 'okokok', 'star': 4}
{'descr': '服务优良，内部比较干净，时间改了两次都毫无怨言。', 'star': 5}
{'descr': '还行，就是有点偏僻，打车不好打，在修路，离商业区还是挺近，有中餐和晚餐就好了。', 'star': 3}
{'descr': '干净，整洁，性价比好。就在市中心，以后还会入住的。', 'star': 5}
{'descr': '房间整洁、性价比高、服务蛮好、交通便捷，边上有菜场可以买些东西回家。', 'star': 5}
{'descr': '服务态度挺好的，临马路的房间稍微有点吵，以后可以提前跟前台沟通下，要里面的房间。负责二楼打扫卫生的阿姨态度都很好，值得表扬!', 'star': 5}
{'descr': '挺好的，挺实惠的，就是有点偏，交通是不是很方便', 'star': 5}
{'descr': '房间很干净，只是附近没有吃饭的地方，不过还是很方便，到车站打的也就8元钱。', 'star': 5}
{'descr': ' 还可以 ，就是有点偏！环境不错，人也很热情，可以考虑！', 'star': 5}
{'descr': '很不错的地方，就是周围市场有点乱，推荐。', 'star': 5}
{'descr': '早餐不错，但是空调暖气太冷，可能没有去修理吧', 'star': 5}
{'descr': '还可以，环境不错！就是地方有点偏，不过走出去买东西也就10分钟左右！', 'star': 5}
{'descr': '价格优惠，环境整洁，服务良好，缺点是周围吃饭的地方不多', 'star': 5}
{'descr': '环境不错，去过还多次了，酒店员工态度都挺好的，入住就选如家！', 'star': 5}
{'descr': '酒店前台挺热情的，进进出出都会问候新年好。老忘记带房卡，都很快帮忙处理了。卫生清洁做得挺到位的。家人都挺满意，价格也很给力。', 'star': 5}
{'descr': '刚刚入住海门如家酒店，大床间不到130元，也很干净。维一不足的是周围不太繁华。', 'star': 3}
{'descr': '不错的感觉，就是有点吵，可能和房间的朝向有关。', 'star': 5}
{'descr': '店内环境是不错的，设施都是一样，只是出行周边不是很方便的。', 'star': 1}
{'descr': '还不错，，，，就是有点吵。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '安静   服务态度不错  但没有吹风机。。。', 'star': 5}
{'descr': '酒店还算干净。。。。。。位置一阿可以啊啊  。。。。。。', 'star': 5}
{'descr': '酒店配置挺干净，位置也还可以，下次去的话，还会住此酒店', 'star': 5}
{'descr': '前台的一个男性工作人员态度很恶劣，态度轻蔑的一塌糊涂，让人很不舒服，有他被侵犯的感觉。', 'star': 1}
{'descr': '一个前台的男性工作人员摔我的身份证，很欠妥，态度太恶劣了！！！', 'star': 1}
{'descr': '还不错。。。。很干净。。。。。。很简单、、。、', 'star': 5}
{'descr': '还行。。。隔音不行。。。没有吹风机等设备。。。不过环境干净。。。总体还行', 'star': 5}
{'descr': '如家一如既往的服务和温馨，停车也很方便，网速特别快，早饭也还可以，就是后面的居民区早晨有点吵', 'star': 5}
{'descr': '还好，比较干净。', 'star': 3}
{'descr': '第二次入住了，感觉一如既往的好,以后还会再来。', 'star': 5}
{'descr': '挺干净的，服务也挺好的，应该还会来住的。', 'star': 5}
{'descr': '在海门这个小地方，如家的设施和服务依然，值得推荐！', 'star': 5}
{'descr': '还不错，挺干净挺新的。服务也挺好。就是有一点，淋浴一会儿冷一会儿热，很受不了。', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '位置还是很好找的，停车位不是很多，晚上如果去晚了，车就要停到路边了。酒店服务还不错，干净整洁。能出差的时候享受到统一的标准，比较让人安心。', 'star': 5}
{'descr': '很卫生', 'star': 5}
{'descr': '一开始的服务不是很好啊 貌似是前台的经理都有点不耐烦了的样子 希望能像你的名字一样 能让人有种如家的感觉 而不是欠你钱来还债的感觉', 'star': 1}
{'descr': '没有晚餐，空调很吵，其他一般，卫生间比较干净 ', 'star': 1}
{'descr': '去年新开的如家，在如家里面属于名列前茅的；\r\n值得一提的是服务，服务态度非常好，宾至如归；\r\n我住的那家房间不太好，对着沿街的市场，6点有卸货的声音；\r\n其他房间还可以，枕头有点高，不是很舒服~\r\n', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好，酒店很新，卫生间较宽敞，非常满意', 'star': 5}
{'descr': '房间应配套吹风机', 'star': 5}
{'descr': '我住201房间，房间很大很舒服，床也很舒服', 'star': 5}
{'descr': '我住201房间，房间很大很舒服，床也很舒服', 'star': 5}
{'descr': '设施有点落后', 'star': 5}
{'descr': '设施有点落后', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还不错 下次去首选', 'star': 5}
{'descr': '还不错 下次去首选', 'star': 5}
