{'短评内容': '酒店很有特色 睡地板上', '短评打分': 5}
{'短评内容': '地理位置还算不错，，酒店很古朴，像老上海！', '短评打分': 5}
{'短评内容': '＋越住会发现惊喜越多，细节做得非常好，床头灯的设计还有浴室的设计。床上用品特别干净舒适。我男朋友特别挑剔的一人，也觉得特别好。', '短评打分': 3}
{'短评内容': '住过 最操蛋的 酒店！！！详细理由不说了。提起来生气！', '短评打分': 1}
{'短评内容': '打折星级酒店的名声，其实就是一个比快捷酒店还烂的的酒店。基础设施很差，没有早餐。', '短评打分': 1}
{'短评内容': '整体环境不错，装修风格独特，房间略小，就一部电梯还赶上坏了，', '短评打分': 3}
{'短评内容': '房间太小，门不好。', '短评打分': 3}
{'短评内容': ' 相当一般，如同几十块钱的小酒店，木有拖鞋，木有热水，不能洗澡，咋能是四星建造滴泥', '短评打分': 3}
{'短评内容': '房间着实有点小 不过其他都还好，性价比相对较高\n', '短评打分': 5}
{'短评内容': '帮同事订的，他回来后没说什么，一般酒店有什么特殊情况他都会第一时间说，下次不要再订那个酒店啦，应该还行吧', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '不错，比较清静，挺舒服的，交通便利。只是老婆不喜欢床边的镜子，房间小点无所谓。', '短评打分': 3}
{'短评内容': '酒店客房太小了', '短评打分': 3}
{'短评内容': '那个能叫酒店？OMG，打死我也不会再去住了。', '短评打分': 1}
{'短评内容': '房间感觉好小， 而且空调基本上没有效果， 我本来准备住两天， 好不容易熬过一个晚上， 立即换地方了。', '短评打分': 1}
{'短评内容': '感觉一般，以后可能不太会入住，毕竟北京的酒店选择性很多', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '感觉不错，就是有点小，浴室空间足够，比较安静。', '短评打分': 5}
{'短评内容': '总体上不错，不过挨着马路近晚上感觉有些吵。淋浴喷头上面都是水碱水流很小影响情绪。希望能改进清理！', '短评打分': 5}
{'短评内容': '房间设施还好，就是房间没有网上图片看的宽敞，服务员态度不错', '短评打分': 5}
{'短评内容': '不错，比较方便价格高了些，不过国庆期间也没办法', '短评打分': 5}
{'短评内容': '酒店感觉不错，就是房间比较小，住的那天还不能上网', '短评打分': 3}
{'短评内容': '房间很阴暗,感觉像酒吧的酒店,霉气很大,床单也很脏;如果要临时住一下还不如住如家什么的连锁酒店', '短评打分': 1}
{'短评内容': '总的来说还不错，还算蛮干净的，隔音也还行，也许是哪天住的人少，晚上的时候去的，前台态度有点不好，早上挺好的，也不是全体态度都不好，就是镜子太多，有点别扭~地方也挺好找的。不错', '短评打分': 5}
{'短评内容': '酒店位置很好，性价比不错。值得推荐。酒店服务很好，就是设施一般，但相对还好。周边环境较好，交通比较便利。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店位于小区内，距离马路也不太远。房间虽然有点小，但是还算舒适。因为距离出差地点很近，所以觉得很方便。', '短评打分': 5}
{'短评内容': '感觉性价比不高,房间比较简陋，下次不会再订啦', '短评打分': 1}
{'短评内容': '每次朋友来北京都会推荐这里 安静舒适 干净 关键是很浪漫 温馨的 很适合情侣居住 性价比和地理位置都好 ', '短评打分': 5}
{'短评内容': '酒店服务还可以\n地理位置也OK\n价钱有些贵', '短评打分': 5}
{'短评内容': '因为是本地的所以很好找，酒店的风格非常喜欢，酒店设计不知道是谁，非常有品味，空间利用非常好，房间小但是无所谓说实话又不是在房间打滚。细节很人性化，各个地方包括床头都有电源，保护措施也很好。浴室马桶很干净很大，虽然房间也有个别不足的地方，但对于这个价位已经非常好了。壁纸和房间装饰都很漂亮，床也舒服，相当浪漫。下次还会去！！\n不足：浴室挂毛巾的地方就在马桶上方总担心会掉马桶里。。', '短评打分': 5}
{'短评内容': '除了地理位置以外，其它都不值得推荐。368元的所谓豪华大床房，连床都没有，床垫直接放地上，就冒充榻榻米。卫生纸尽然还没用就是没有的。问前台要，也是给了剩下够上一次厕所得。失望，失望。', '短评打分': 1}
{'短评内容': '环境不错，就是在小区里。不过很安静，很不错', '短评打分': 3}
{'短评内容': '酒店环境不错，交通便利。装修也不错，价格很划算', '短评打分': 5}
{'短评内容': '酒店很安静，位置也不错，就是房间稍微小店，不过价位还不错的。', '短评打分': 5}
{'短评内容': '安静,有点旧,停车要收费,服务一般,不应标注四星。也就是个经济型!', '短评打分': 3}
{'短评内容': '前些日子入住的，最近又出差又想去这家酒店。看到有个评论的权利，就说说自己的感受吧！位置在四环边上，闹中取静。交通便利是我最喜欢的地方！酒店装修得风格和样式都是复古欧式的风格，在快捷酒店林立的北京是个不错的调剂。房间的面积不是很大，但是给人的感觉紧凑温馨！酒店里面的卫生情况不错，相对于别的酒店来说很讲究了，床上的棉织都是花色的而且听工作人员介绍都是自己专门的部门在清洗棉织，不是交到洗衣厂洗的。晚上睡', '短评打分': 5}
{'短评内容': '位置稍微有些不太好找，不过牌子很大，在四环边上就能看见。从外面看像上海的小公寓，里面有些仿古，大厅还有一个以前老式的转盘电话。房间不大，但是很温馨，偶尔来这儿小住是个不错的放松选择。', '短评打分': 5}
{'短评内容': '整体服务较好，总台工作人员及服务人员态度较好。只是房间无顶灯，不太方便。', '短评打分': 5}
{'短评内容': '此酒店真的很黑暗，因为停车保安还要收停车费，一个破旧小区里面，没人收费的，酒店为了挣钱还要收费真的很次，酒店卫生也很一般，房间下水是堵塞的，酒店用品也是很脏，杯子都是污迹斑斑，，大白天门口就听见叫床声音真的很吵啊啊啊啊 啊啊啊。。。。。下次绝对不住了', '短评打分': 1}
{'短评内容': '物有所值', '短评打分': 3}
{'短评内容': '良好', '短评打分': 3}
{'短评内容': '虽然房间不大，但是前台的服务态度很好，并且这里的房价性价比也不错。以后还会来住的。', '短评打分': 5}
{'短评内容': '这个宾馆是世界上最差的酒店，根本就是个骗子公寓，最多能开到8月份吧。', '短评打分': 1}
{'短评内容': '  风格温馨很适合情侣入住 位置位于小区买东西及交通比较便利 服务态度较好 美中不足房间面积没有想象中大 卫生间喷淋设施及地板老旧有水垢 房间内卫生有死角', '短评打分': 5}
{'短评内容': '房间有些小,但卫生还可以,谢谢', '短评打分': 3}
{'短评内容': '酒店地理位置在不起眼的小区内，很难找到，房间太暗，气味不是很好，整体设施都比较旧。', '短评打分': 1}
{'短评内容': '已入住酒店很干净', '短评打分': 3}
{'短评内容': '周围环境很幽静，酒店内部的布置也很用心，有点旧上海的感觉，挺干净的', '短评打分': 5}
{'短评内容': '交通可以，安静，房间有点偏小。服务还不错。', '短评打分': 5}
{'短评内容': '不方便很难找到，在一个巷子里面，打车找了1个多小时才找到。', '短评打分': 1}
{'短评内容': '幽静洁净，交通地理位置优越，出行方便，商业和旅游景点很近', '短评打分': 5}
{'短评内容': '非常之差！！！！房间小的不行，卫生非常差，满屋子都是烟味，100的旅馆都比这个强', '短评打分': 1}
{'短评内容': '挺好的酒店，来过五六次了，因为总公司就在对面，房间的感觉很好很温馨，每次来住的房间壁纸都不一样，感觉很奇妙，服务员姐姐很热情，拿东西很快，而且很有礼貌，推荐一下，希望每一位入住万禧的朋友都和我一样，有个好心情。', '短评打分': 5}
{'短评内容': '房间不大，谈不上有啥服务，停车很不方便，床单是深色，也不知道干净不干净', '短评打分': 5}
{'短评内容': '在北京绝对是垃圾酒店，房间老旧，特别小，被褥上还有污渍，最好别去', '短评打分': 1}
{'短评内容': '，不错的！！第二次住了。', '短评打分': 3}
{'短评内容': '不错，还回去住。\n\n就是酒店设施差了点儿，房间有点小。', '短评打分': 5}
{'短评内容': '很温馨，就是有点像迷你酒店，挺好玩的', '短评打分': 3}
{'短评内容': '万禧酒店我是在百度地图上找到的，我感到酒店不大，但服务很好，地处四惠站附近，交通也还方便。', '短评打分': 5}
{'短评内容': '这家酒店超差，客房很脏走廊象地下室，阴森森的，再也不来了。', '短评打分': 1}
{'短评内容': '比我想像种差多了，房间有小，由难找，北京出租车是副业一边打电话一边找了很久，连个标者都没有.....', '短评打分': 1}
{'短评内容': '太差了、不怎么样。厕所脏、床缝儿里都是头发。', '短评打分': 1}
{'短评内容': '店内装修风格比较舒适,总体感觉不错.如果下次来这边,还会选择这家酒店.', '短评打分': 5}
{'短评内容': '房间不错。蛮漂亮的。', '短评打分': 3}
{'短评内容': '靠谱', '短评打分': 3}
{'短评内容': '很温馨的酒店。北京的酒店就是贵啊。周边交通很方便。', '短评打分': 5}
{'短评内容': '来这好几次了，每次住的房间风格都不一样，挺有意思的，老婆非常喜欢，价格也不贵，而且听说长期入住更有很大的优惠，有需要的朋友可以打听打听，超值。', '短评打分': 5}
{'短评内容': ' 温馨', '短评打分': 3}
{'短评内容': '环境很优雅，墙上都是花墙纸，屋子虽然不大但很干净，我和女友都很满意。', '短评打分': 5}
{'短评内容': '还可以 房间忒小了点！服务还行吧！起码不鸡婆\n装修有点复古……(比较旧)', '短评打分': 1}
{'短评内容': '不错的设计 就是空调不太好使 喷淋出水量很小', '短评打分': 3}
{'短评内容': '性价比不错的酒店，位置也不错,条件还行，就是房间小了点。', '短评打分': 5}
{'短评内容': '房间太小了 床太小了 标间简直就是两张按摩床放在一起！无语了！前台服务一般，楼层服务还行！', '短评打分': 1}
{'短评内容': '比较安静，虽然小些，但是什么都挺齐全的，比较干净~', '短评打分': 5}
{'短评内容': '很喜欢酒店整体风格 大床很舒服', '短评打分': 3}
{'短评内容': '房间小点', '短评打分': 3}
{'短评内容': '总体还可以。就是窗帘有点薄，灯光有点暗。', '短评打分': 5}
{'短评内容': '出差来这个酒店有几次了，现在这家正在搞特价活动，比我上几次入住的时候便宜了不少！这次过来这里的服务员比以前好了很多，而且大堂装修了下，艺术的气息又浓厚了几分！以前房间的味道少了许多，进去房间后清新了很多！还是有很大的 改善的，有想住的赶紧着吧？便宜实惠！', '短评打分': 5}
{'短评内容': '不错的酒店,位置相当的好,只是不太好找,呵呵!!', '短评打分': 5}
{'短评内容': '性价比很高，房间很温馨，就是门口那块遮挡的布。。。实在是，门头要是花个几千元装修一下就完美了！', '短评打分': 5}
{'短评内容': '酒店还可以！不靠近路边！\n很静\n里面设施有些老！\n但是还算整齐！\n床边有个大镜子！\n睡觉蛮舒服！', '短评打分': 5}
{'短评内容': ' 很满意,服务态度很好', '短评打分': 3}
{'短评内容': '说是按照准四星的标准设计的  但是第一 房间面积过小 连三星的18平米都到不了，卫生间占用的面积太大了 显得卧床部分太紧凑了 还有 就是房间的灯光设计的不是很周到 整个房间竟然只有廊灯 ', '短评打分': 1}
{'短评内容': '地铁大望路下 具体哪个口忘了 走不到1km就到了 打车什么的 一般找不到。。。囧 \n卫浴有点老，但是装修还好，壁纸漂亮，就是床旁边弄个镜子。。。怪瘆人的。。。\n没了 总体来说还是很不错的', '短评打分': 5}
