{'短评内容': '前台服务好，房间整洁干净。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '位置很好，离医院很近', '短评打分': 5}
{'短评内容': '环境还可以 床挺舒服的 浴室也还可以 空间够大 ', '短评打分': 5}
{'短评内容': '这家酒店的服务确实非常不错，地理位置也算还好。', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '就有一点特别不满意，总往屋里塞黄色小广告，小姐还敲门问，其他都还行，隔音不好，听外面声音特别清楚', '短评打分': 4}
{'短评内容': '还行还行还行，还行还行', '短评打分': 5}
{'短评内容': '还行还行，还行还行', '短评打分': 5}
{'短评内容': '汉庭酒店的客房采光和卫生还行，就是晚上有点-._..', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯', '短评打分': 0}
{'短评内容': '还凑合吧，房间不大。没有外窗。卫生到还可以', '短评打分': 4}
{'短评内容': '不会住第二次', '短评打分': 2}
{'短评内容': '挺好挺好挺好挺好挺好挺好挺好挺好', '短评打分': 5}
{'短评内容': '环境、服务都不错', '短评打分': 5}
{'短评内容': '装修不太好', '短评打分': 4}
{'短评内容': '离武昌火车站挺近，附近都是商店，早点小吃也不错，很好吃。', '短评打分': 5}
{'短评内容': '汉庭是连锁酒店，所以出门住店是个不错的选择。位置很好找，离地铁真的是非常非常进！走路5分钟不到就看到地铁站了，而且离户部巷也不远。设施很齐全，这次还很幸运地被免费升到了豪华大床房，卫生间和浴室很宽敞。卫生还可以，就是窗户有些破旧感。。。酒店毕竟不是自己家里，做到这样也很不错了！门口的服务人员超好，每次询问路线什么的，都能耐心解答。服务人员每天打扫卫生时，都会加矿泉水，加牙刷，牙膏。。。', '短评打分': 5}
{'短评内容': '东西不错！环境不错！值得居住！', '短评打分': 5}
{'短评内容': '服务和地理位置都不错！', '短评打分': 4}
{'短评内容': '地理位置很好。酒店还比较新，房间干净卫生，服务热情，因为第二天乘坐火车，所以预定这里特别方便，距离火车站很近!', '短评打分': 4}
