{'短评内容': '热水不够热 冬天洗澡冻死 大床房的电脑是坏的 醉了 想玩电脑都没有', '短评打分': 5}
{'短评内容': '定的房间含双早，早饭都和其他酒店大差不差。房间有茶几和坐垫品茶啥的正好。整体还可以', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间略显小，洗手间的水盆在外面过道处', '短评打分': 5}
{'短评内容': '价格实惠，送货快，东西好！', '短评打分': 5}
{'短评内容': '跑无锡马拉松订的，除了那天价格贵(518)，其他都还好', '短评打分': 5}
{'短评内容': '酒店很旧，服务不好，早餐比较差', '短评打分': 3}
{'短评内容': '家门口的酒店，有亲戚来都住这', '短评打分': 5}
{'短评内容': '酒店空调噪音很大，都能听见隔壁空调的声音。因为酒店三楼是棋牌室，晚上还是能听见麻将桌的声音。淋浴间的排水口好像不是很好，会积水。房间打扫的不是很认真，因为我住的时间长，偶尔会忘记补上梳子之类的，还有一次居然忘记把门锁上，感觉很不好。', '短评打分': 3}
{'短评内容': '总体来说酒店还算不错的，价格也公道，去无锡跑马订的房间，虽然离新体中心大约一公里左右距离，走走全当热身，也比周边很破的格林之流连锁酒店开价近300一间要厚道很多。门的隔音一般，如果有人走廊大声喧哗就悲剧了，但床睡的很舒服，九点睡觉五点起床，精神养足顺利PB', '短评打分': 5}
{'短评内容': '很普通的一个酒店，设施有点儿陈旧了，管理水平不太好。没有给我留下什么特别的印象。很不喜欢玻璃隔断的卫生间。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '幻境，设施都非常不错，遗憾的是酒店没早餐…', '短评打分': 5}
{'短评内容': '有飘窗的房间明显好一些，再就是房间换气不好，空气不够流通', '短评打分': 3}
{'短评内容': '觉得还不错，就是配置一般', '短评打分': 3}
{'短评内容': '地方不错，有吃有玩有娱乐可以值得再去，只是房间隔音不好。', '短评打分': 4}
{'短评内容': '很豪华，适合商务旅游，服务也很好，大气！价格也不贵，至少四星级', '短评打分': 5}
{'短评内容': '三个标准间，一个是特价的，房间很大，酒店很豪华', '短评打分': 5}
{'短评内容': '特价房价廉物美，服务很好，房间很大，要是多点特价房就好了，定了三个房间，就一个是特价房', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错的酒店，地下停车，安全可靠，楼下吃饭很高档，就是住房上面是铁架房顶，有点吵声！\n', '短评打分': 5}
{'短评内容': '设施还算满新的，地段不算热闹。不过清净还可以，离景区较近', '短评打分': 5}
{'短评内容': '物有所值 环境好 服务周到 方便 交通便利', '短评打分': 5}
{'短评内容': '环境部错，没窗不太好，下水道不通，都溢出来了', '短评打分': 5}
{'短评内容': '房间大，清洁，很喜欢！下次去无锡还是会住这里', '短评打分': 5}
{'短评内容': '酒店环境、卫生、舒适度都很不错~价格也比较优惠，服务也很好的~~推荐~~~', '短评打分': 5}
{'短评内容': '我在2012年02月03日入住二天，该酒店给人有家的感觉，安全、舒适、卫生，且价格还行，服务比较到位。', '短评打分': 5}
{'短评内容': '酒店交通方便，内饰漂亮，服务好，房间干净舒适', '短评打分': 5}
{'短评内容': '毫无性价比可言！我预定2间豪华标准间，结果房间根本与酒店图片不符，只能算为一般的经济型酒店。网络没有，据说全部停网！买了5张早餐券，结果4个人的券用了，有个儿童不需要收早餐券，，等退房时想退掉这张券结果告知不退的，那我买券时你们总台为什么不提醒下，儿童是不需要买券的？？退房速度慢的你可以睡着，到前台时我就把公司发票台头写在纸上给了服务员，居然退完房费后不知所云了。还等我提醒后在服务台上满世界找才找', '短评打分': 5}
{'短评内容': '就是商务快捷酒店，环境价格都是中规中矩，还行吧。', '短评打分': 5}
