{'短评内容': '小谷很好，服务很好！', '短评打分': 5}
{'短评内容': '王婧服务态度非常好   房间也很满意', '短评打分': 5}
{'短评内容': '王婧服务态度好   非常满意   还会再来的', '短评打分': 5}
{'短评内容': '小谷服务很好，很漂亮，好可爱的！', '短评打分': 5}
{'短评内容': '王婧服务态度好，以后一定还会过来', '短评打分': 5}
{'短评内容': '王婧服务态度好，非常满意！', '短评打分': 5}
{'短评内容': '小谷服务很好，房间设施齐全，很好，棒棒哒！', '短评打分': 5}
{'短评内容': '环境很好，服务很好。颠覆原来维也纳的概念。套房的装修比平时的维也纳豪华很多。80平方一房一厅，配色很喜欢。服务非常好', '短评打分': 5}
{'短评内容': '小北的服务很不错的，很满意。', '短评打分': 5}
{'短评内容': '酒店还不错，在繁华的村街上，周围很热闹，附近一家早茶早点相当好，距离长隆度假区也不是很远！', '短评打分': 5}
{'短评内容': '房间设施很不错，性价比很高', '短评打分': 5}
{'短评内容': '房间内环境很不错，性价比很高。只是酒店周边环境一般', '短评打分': 5}
{'短评内容': '前台惠婷非常热心，亲和力强。帮助更改了大床房，感谢', '短评打分': 5}
{'短评内容': '前台工作人员服务态度很好！房间设施、环境都不错！有一点不好的是：酒店会员价比在其它网站价格贵！', '短评打分': 5}
{'短评内容': '不错，环境，卫生，服务都很好！', '短评打分': 5}
{'短评内容': '玛德，京东。订房的时候不说满房，白白等了半个钟，结果发条短信过来说房间已满。真的是太不靠谱。', '短评打分': 1}
{'短评内容': '前台服务很好，比较细心回答自己问的问题，给他点赞。', '短评打分': 5}
{'短评内容': '酒店服务真的很好，物超所值吧！', '短评打分': 5}
{'短评内容': '还不错，挺高档的。', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '很不满意，尤其是前台几个实习生的服务质量！这是一个基本不给差评，也不怎么认真写过评价的铂金卡认认真真给的一星差评！此辣鸡酒店，数据显示距离南站很近，到哪里步行都是五分钟路程，结果找了半天没有。电话过去说是其实她们店要打车，十几分钟就到了！信不信你们订订看就知道了！反正我是浪费了一个多小时在这个酒店上，又很累第二天要转车，懒得往市里跑，在那个什么敏公馆附近随便找的一家旅店，店名就不说了，还算干净整洁。', '短评打分': 1}
{'短评内容': '差评 太气人了', '短评打分': 1}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '过年时候！性价可以！空调声音太大！', '短评打分': 5}
{'短评内容': '可以。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很舒服，服务态度很好', '短评打分': 5}
{'短评内容': '预订还算顺利，希望入住能愉快', '短评打分': 5}
{'短评内容': '由于不会看地图，第一次定了位于番禺区钟村的这个酒店，地理位置偏郊区，但酒店设施卫生都很好，性价比也高。早餐贵了点30元，不过我们没有吃，周边有很多餐饮店。', '短评打分': 5}
{'短评内容': '服务员态度好，', '短评打分': 5}
{'短评内容': '不错，卫生差点', '短评打分': 5}
{'短评内容': '服务周到，环境优美。', '短评打分': 5}
{'短评内容': '还不错，网速很快，周围有肯德基24小时的', '短评打分': 5}
{'短评内容': '地理位置很好，离广州南站较近，酒店内部很不错，干净、卫生。但是价格蛮贵，酒店里吃的不咋的。附近餐饮很方便，可以考虑到外面吃', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '离南站比较近，酒店房间设施很好，就是早餐没有广州特色的早茶。但隔壁的酒店二楼有广式早茶', '短评打分': 5}
{'短评内容': '酒店硬件还不错，住得也很舒服，性价比高。离南站远了点，由于在钟村，大环境也不行。', '短评打分': 5}
{'短评内容': '酒店很新，很干净，离长隆不远，推荐入住。这个价格没赠送早餐不太公道。', '短评打分': 3}
{'短评内容': '干净舒服,一如它服务的要求,去广州广州番禺玩住这不错信价比高.', '短评打分': 5}
{'短评内容': '酒店环境很好，服务挺亲切，只是距离长隆欢乐世界没有介绍的近，附近吃的地方也没什么特别，住是挺好的，不要附带太多其他的要求就好了。', '短评打分': 5}
{'短评内容': '房间卫生还可以,服务态度不尽人意............................', '短评打分': 1}
{'短评内容': '酒店房间不错，出来难打车', '短评打分': 3}
{'短评内容': '环境不错··很干净··下次再来··离长隆也不是很远', '短评打分': 5}
{'短评内容': '酒店卫生可以，位置太偏离市区，空调差没有热风，不上星级酒店。', '短评打分': 1}
{'短评内容': '环境不错，位置很好，交通方便！', '短评打分': 3}
{'短评内容': '我定了两间大床房，住了三天，只打扫了一次，总之其它的人性服务都不是很满意，房间硬件还不错。', '短评打分': 3}
{'短评内容': '非常好，一直没有时间来评价。特别值得一说的我临走的时候落下了很重要的东西，然后在路上问酒店的人看到了没有，酒店的人向我询问的东西的特征，还给了我，很好！1谢谢！！', '短评打分': 5}
{'短评内容': 'nice ', '短评打分': 3}
{'短评内容': '酒店离火车南站挺近，交通便利，打车很快就到了，房间干净适，挺不错的，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店位置很好，开车到长隆几个景点都不超过10分钟。楼下有大超市，不过吃饭的地方就不是很多，只有KFC和一两个海鲜餐馆茶餐厅，其他小店环境比较差，尘土大。\n酒店房间很大，设施也基本OK，对得起这个价钱。\n缺点是洗手间地面没有地漏，如果水洒出来的话不会自行流走。房间的保险柜貌似是坏的。', '短评打分': 5}
{'短评内容': '距离市中心较远 但是如果是在南站附近办事儿则是很好的选择 房间宽敞干净 看上去挺新的 单从房间看应该有3星至准4星的标准 价格再优惠一点更好', '短评打分': 5}
{'短评内容': '房间比较大，干净，服务态度也非常好。\n下次还会入住。', '短评打分': 5}
{'短评内容': '酒店位置一般，早餐一般，服务还不错。但是在入住的当天竟然没有打扫卫生！！！我是晚上11点多到的酒店，竟然告诉我是没有来得及打扫？！在很困的状态下又等了半个多小时。。。酒店的管理可见一斑，而且没有任何道歉', '短评打分': 5}
