{'descr': '干净卫生，没有噪音', 'star': 5}
{'descr': '环境很好，服务态度也超棒，下个月来还会住这', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '环境卫生不错，就是隔音效果太差，考试定的房间，晚上隔壁说话都能听到，晚上没怎么睡，隔音结果差差差', 'star': 5}
{'descr': '酒店位置很好，有免费菊花茶可以喝。内部还很干净！', 'star': 5}
{'descr': '不错，挺好的嗯', 'star': 5}
{'descr': '交通方便，停车方便，环境很好，房间卫生干净，饮水安全，使用还是净化水！非常值得推荐的一家下榻的酒店！', 'star': 5}
{'descr': '凑合住吧', 'star': 4}
{'descr': '凑合住', 'star': 4}
{'descr': '房间很干净，24小时热水，很安静。携程预订➡️确认，速度很快。', 'star': 5}
{'descr': '环境不错，干净卫生，交通也方便', 'star': 5}
{'descr': '有点小失望，毕竟价格是很低的，一分钱一分货嘛', 'star': 2}
{'descr': '……………… 还可以', 'star': 3}
{'descr': '很干净 房间很温馨 早点很好', 'star': 3}
{'descr': '很干净 很舒服 房间很温馨', 'star': 3}
{'descr': '服务挺好，就是早餐吃的时比较凉，应该带加热的就好', 'star': 4}
{'descr': '服务态度良好 环境温馨 ', 'star': 3}
{'descr': '很好~很舒适~~也很卫生，这个点评为什么要那么多个字、？简明扼要就可以了啊', 'star': 5}
{'descr': '很好~很舒适~~也很卫生，这个点评为什么要那么多个字、？简明扼要就可以了啊', 'star': 5}
{'descr': '很好~很舒适~~也很卫生，这个点评为什么要那么多个字、？简明扼要就可以了啊', 'star': 5}
{'descr': '大床房，设施比较齐全，就是房间隔音效果不大好，容易被隔壁吵到，电视节目也少，电视机该换了', 'star': 5}
{'descr': '大床房，设施比较齐全，就是房间隔音效果不大好，容易被隔壁吵到，电视节目也少，电视机该换了', 'star': 5}
{'descr': '大床房，设施比较齐全，就是房间隔音效果不大好，容易被隔壁吵到，电视节目也少，电视机该换了', 'star': 5}
{'descr': '环境不太好，电脑玩游戏就重启，床单旧了，洗的不干净，刷牙的杯子底部都黄色沉淀物。', 'star': 1}
{'descr': '环境不太好，电脑玩游戏就重启，床单旧了，洗的不干净，刷牙的杯子底部都黄色沉淀物。', 'star': 1}
{'descr': '环境不太好，电脑玩游戏就重启，床单旧了，洗的不干净，刷牙的杯子底部都黄色沉淀物。', 'star': 1}
