{'短评内容': '还行！离景区近，方便！', '短评打分': 5}
{'短评内容': '早餐很好服务热情', '短评打分': 4}
{'短评内容': '门前停车位少些', '短评打分': 5}
{'短评内容': '还好，凑合', '短评打分': 3}
{'短评内容': '十一去的，很冷，房间没有空调，吃的也非常一般，跟正常的饭店差一大截，酒店设施太简陋了，位置还可以吧，离景区不太远。', '短评打分': 3}
{'短评内容': '有点偏僻，不过跟着百度地图导航能到，景区无星级酒店普遍品质吧；酒店位置真是不错，景区核心位置，到哪里都方便；服务也很热情，还给我们提出了旅行建议，安排的也很合适。题外话五台山旅游不自驾真是无法去啊，各处景点比较分散，景区公交车我反正没见到。', '短评打分': 4}
{'短评内容': '好评，老板人挺好的', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '还可以吧总体还行', '短评打分': 5}
{'短评内容': '我们去的时候是农历二月份，那时候还很冷！这家酒店是本地私人的，环境一般般！这个价钱的可以住的更好', '短评打分': 3}
{'短评内容': '门是坏的、卫生间马桶也是脏的。但是人都很热情、服务很好', '短评打分': 4}
{'短评内容': '总体说来还是不错的，位置比较好，距离主要的几个寺庙都比较近。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '总体来说还是不错的，进房间感觉很温暖起码！价格比景区外面贵点儿情有可原！淋浴器不太妥当，水压水温都不太理想……', '短评打分': 4}
{'短评内容': '在景区价格还算公道。就是第二天不打扫卫生，希望以后改进！', '短评打分': 5}
{'短评内容': '大失所望！还会再游五台山，不会再选择入住福泰！！！', '短评打分': 3}
{'短评内容': '五台山福泰山庄不错，还有人来接。卫生也不错。服务也可以。', '短评打分': 3}
{'短评内容': '福泰山庄性价比不错，店家也很热情，比预想的好的多，地里位置好非常适合自驾。不足之处是床有点硬、餐厅上菜较慢。值得推荐！', '短评打分': 3}
{'短评内容': '住宿条件非常差！！！不值！！！被套不洗，洗手间差', '短评打分': 1}
{'短评内容': '酒店服务还是不错的，位置有点偏，安排了接送站好些，总体还可以。', '短评打分': 5}
{'短评内容': '服务态度很好，和气，也是冲着口碑去的；但房间的设施真的不行，简陋，还有点脏，应该改进了！', '短评打分': 1}
{'短评内容': '不错的酒店，老板很热情，服务周到，房间的空调很足，在10月中旬的晚上很温暖。饭菜质量也可以，价格还算合理吧。', '短评打分': 5}
{'短评内容': '卫生整洁，位置较便利。早餐管饱，油条好吃。', '短评打分': 5}
{'短评内容': '酒店位置不错，离景区很近，人气很好，晚上暖气很足，饮食不错。', '短评打分': 5}
{'短评内容': '老板和老板娘都很热情，服务不错，餐厅菜味道挺好，推荐！', '短评打分': 5}
{'短评内容': '在台怀镇明清街上，方便。条件一般，但服务还可以。餐饮不错，价格也还公道。', '短评打分': 5}
{'短评内容': '一行四人一致满意', '短评打分': 3}
{'短评内容': '此山庄的地理位置还算不错，离景点近…而且房间里设施也挺好的。', '短评打分': 3}
{'短评内容': '还行 不错的地方 就是保暖设施有待加强，服务员说的山西话云里雾里 ', '短评打分': 5}
{'短评内容': '老板人很好，便宜价带我们去佛光寺，酒店很干净，不会觉得冷。', '短评打分': 3}
{'短评内容': '地点一般，房间不错,老板娘很好，就是有忽悠人的劝你早上去东台看日出收钱~~', '短评打分': 5}
{'短评内容': '入住价220与网上报价200不同。', '短评打分': 3}
{'短评内容': '很糟糕！不知怎么选的，无语，。。。。。。。', '短评打分': 1}
{'短评内容': '酒店住宿条件及服务都不错，卫生条件还行，房间光线较暗，餐厅一般，服务员推荐的几个菜，没有什么特色，相对于风景区，性价比还可以。', '短评打分': 5}
{'短评内容': '堀礼之助巳经入住该洒店', '短评打分': 3}
