{'短评内容': '订房方便 房间还行 订个好点的套间更有性价比', '短评打分': 5}
{'短评内容': '由于家里地暖出了点意外，一家几口临时住来这里。房间挺干净也挺舒适，装修也挺新，作为快捷酒店，无可挑剔。建议就是不要挑临街的房间，噪音比较大，妨碍休息。', '短评打分': 4}
{'短评内容': '房间是还好，八楼，但是那个马桶漏水很难过', '短评打分': 4}
{'短评内容': '还不错的，位置很好，前台态度也很好，重点性价比高', '短评打分': 5}
{'短评内容': '好的没话说', '短评打分': 5}
{'短评内容': '酒店在地铁站附近，出行方便', '短评打分': 5}
{'短评内容': '还不错的体验', '短评打分': 5}
{'短评内容': '、jjk', '短评打分': 5}
{'短评内容': '值得再次入住', '短评打分': 5}
{'短评内容': '还可以，地段偏僻了一点，其它都过得去', '短评打分': 5}
{'短评内容': '第二次入住了，酒店的地理位置比较安静，交通也很方便，门口就是地铁站。自己开车的话，也有免费的停车场。周边还有很多吃饭的地方，附近还有大型超市。房间里也特别干净，硬件设施都很好，上次来时还以为是新开的呢，和我印象中的连锁酒店完全不同。服务人员看见我们时都很热情，性价比很高，对于这家酒店我们很满意。下次来无锡还会选择这家莫泰！', '短评打分': 5}
{'短评内容': '每次来无锡首选锡沪路莫泰酒店，交通很方便，地铁2号线柏庄站出来就是酒店。要去太湖边玩，问了前台服务员，两个前台态度非常热情，介绍了公交路线，又问了几个景点，服务员始终不厌其烦，告诉我们哪里比较好玩…走进房间 ， 采光很好，房间内布置的很温馨，有一种家的感觉，毛巾浴巾洁白柔软，卫生很到位！还有洗澡水特别大，洗得比较爽[呲牙]各项硬件设施都很新，特别是床非常的软睡起来很舒服，非常喜欢！！！酒店的无线网', '短评打分': 5}
{'短评内容': '还可以就是网速慢', '短评打分': 4}
{'短评内容': '给客户订的，很方便，服务业不错', '短评打分': 3}
{'短评内容': '门口就地铁，出行方便，房间整洁', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好安静', '短评打分': 5}
{'短评内容': '垃圾中的战斗机', '短评打分': 1}
{'短评内容': '第一次在京东上定酒店，去了之后前台招待很热情，因为网上订的房间还给了一杯酸奶。房间干净宽敞，很不错。', '短评打分': 5}
{'短评内容': '酒店不错，客房也很干净，推荐。如果客房内加个挂衣服的绳子或架子就更好。', '短评打分': 5}
{'短评内容': '设施挺新的，就是看到一伙人在无烟区抽烟，电梯里', '短评打分': 5}
{'短评内容': '一如既往的好，设施很新，就是洗澡时发现没沐浴露了，囧', '短评打分': 3}
{'短评内容': '酒店很新。交通很好，停车场很大很方便。吃饭楼下就有！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，离火车站很近，就是正在修路，车不怎么好走！', '短评打分': 5}
{'短评内容': '已经住过很多次了，酒店设施比较新； 就是网络偶尔比较卡，连莫泰168的主页都打不开。希望能改善；网线太短，可以问前台要长的，但半小时后还没送过来。再次催促下，服务员送过来了。 服务态度还是不错的。', '短评打分': 5}
{'短评内容': '酒店还可以，就是位置有点偏。另外由于马路是个，临近马路房间优点吵。', '短评打分': 5}
{'短评内容': '装修挺新的，还是不错。~~~~~已经第二次入住了！周围应该没什么比这个好的了。', '短评打分': 5}
{'短评内容': '位置不怎么好，前面刚好在修路。房间还算干净。旁边有家小笼包店的小笼倒是很好吃，有无锡小笼的特色。', '短评打分': 5}
{'短评内容': '很好的酒店，楼也很气派，服务不错。前面修地铁，出入打车不太方便。', '短评打分': 5}
{'短评内容': '挺好的，各方面感觉很清幽，适合短暂办事出差用', '短评打分': 5}
{'短评内容': '酒店本身很干净，设施也很不错，就是目前店前在修地铁，噪音很大。', '短评打分': 5}
{'短评内容': '酒店不错，很干净整齐，住起来很舒适', '短评打分': 3}
{'短评内容': '位置很好，交通很方便。酒店设施很新！停车还满方便的！价格可以！', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，停车也很便。酒店食欲经济持家型！', '短评打分': 5}
{'短评内容': '停车满方便，酒店也很新，交通业很方便。不错属于经济型的酒店！', '短评打分': 5}
{'短评内容': '地理位置很不错，在即将建成的无锡地铁二号线华夏路站出口，新装修，很干净，面积也挺大的。', '短评打分': 5}
{'短评内容': '性价比比较高~离公司也比较近我客户比较满意~\n以后还会住的', '短评打分': 5}
{'短评内容': '附近有地铁工程在施工，白天比较吵而且灰尘比较大，酒店里房间还蛮干净的，附近买东西也很方便。。。。', '短评打分': 5}
{'短评内容': '酒店周围目前在修路，交通不是很方便，酒店隔壁有个洗浴中心，该中心房顶有一个中央空调，在酒店一个侧面的下面，有些房间晚上会有些吵。房间算干净，但床好硬啊。', '短评打分': 1}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': ' 酒店不错，就是位置有点偏', '短评打分': 3}
{'短评内容': '帮同事定的，感觉不错，就是外面修地铁有点不太方便', '短评打分': 5}
{'短评内容': '挺好的，虽然门口在建地铁，但是房间还是很安静，住了几天客房打扫得也很干净', '短评打分': 5}
{'短评内容': '都还好，价格优惠，花花的被子，凑满20个字！！！！！', '短评打分': 5}
{'短评内容': '比较好找，装饰也不错，房间味道有点大，还有好多蚊子，两晚上没睡好', '短评打分': 5}
{'短评内容': '帮同事定的，他说很不错，就是餐厅午餐晚餐花样太少', '短评打分': 5}
{'短评内容': '不错不错，干净卫生，就是周围在修地铁，有点烦', '短评打分': 5}
{'短评内容': '设施服务还是不错的，楼下的江南公社饭店吃的还可以，不过现在修地铁，有点烦人', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '从无锡东下高速，还算比较方便找，环境还不错，值得一住', '短评打分': 5}
{'短评内容': '环境还行~~~就是房间小了点 但总体感觉还行 以后还会选择的', '短评打分': 5}
{'短评内容': '价格合理，交通也较便捷，推荐给很多朋友，住了都很满意！', '短评打分': 5}
{'短评内容': ' 设备不错，卫浴很新！', '短评打分': 3}
{'短评内容': '不错，以前一直住的，各方面都很满意！下次还会住的！', '短评打分': 5}
{'短评内容': '入住的老外很喜欢，价格合理，推荐有需要的人入住~', '短评打分': 5}
{'短评内容': '这家快捷酒店基本情况还可以的，性价比还算过得去。', '短评打分': 5}
{'短评内容': '一如既往的莫泰风格,布置比较舒适.\n但是,我住的那个房间应该刚完成装修,方面的味道很大,建议酒店先给方面通通风\\去去味,这样也可以更加为住客的健康多些考虑.', '短评打分': 5}
{'短评内容': '环境可以 还可以接待外宾', '短评打分': 3}
{'短评内容': '非常不错，房间干净整洁。墙壁隔音效果好。', '短评打分': 5}
{'短评内容': '我住在电梯旁边的房，太吵。隔音太差了。。。。。。', '短评打分': 1}
{'短评内容': '床有点硬，没有锦江之星的舒服。不过卫生间的淋浴还不错。', '短评打分': 5}
{'短评内容': '比较干净，服务还是不错的。就是周边环境比较没那么热闹。', '短评打分': 5}
{'短评内容': '很喜欢，屋内色彩设计很活泼，很有年轻化氛围～。淋浴头很好，是大莲蓬头～。自驾从高速下来过去尤其方便。整个设置都比较新。早餐也不错，就是没有赶上免费。', '短评打分': 5}
{'短评内容': '环境蛮好的。。就是离市区远了点。。。还蛮好的。。。', '短评打分': 5}
{'短评内容': '房间卫生较好，唯一缺点就是这次住的大床房空间特别小，床和桌子之间距离狭窄', '短评打分': 3}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '明明是标间。。但是沐浴露和洗发水只有一小瓶。。。难道不是应该两份吗？\r\n  其它挺好的。。', '短评打分': 5}
{'短评内容': '地理位置较偏，按照给出的地址开车在锡沪中路来回兜了2圈才找到。标房只有很小的窗户，房间面积不大，非常迷你。卫生和服务还可以的，鉴于地理位置实在不好找，太湖大道很多地方都在修路，gps很难找到路，如果是自驾车出游，不建议住在这里。', '短评打分': 1}
{'短评内容': '莫泰连锁店中值得推荐的酒店，很不错，谢谢！', '短评打分': 5}
{'短评内容': '房间可以，隔音不怎么好', '短评打分': 5}
{'短评内容': '是我待过环境最好的168', '短评打分': 5}
{'短评内容': '一个性价比比较不错的酒店，位置还算可以，但是床单有些不干净，希望下次可以改善一下。总体来说，服务等各方面还可以，下次应该还是会继续住这个酒店。', '短评打分': 5}
{'短评内容': '酒店新装修的，配套设施还可以。位置在东亭锡沪路上，属于东亭中心。', '短评打分': 5}
{'短评内容': '各方面都不错。我也住过其他莫泰,但是这一家是环境最好的，尤其是大堂，很气派，而且空调很凉爽(这在夏天尤其重要)!! 房间也不错，比住过的其他莫泰强。', '短评打分': 5}
{'短评内容': '酒店比较新，设施也比较好，但是感觉有点潮湿', '短评打分': 5}
{'短评内容': '性价比还可以，位置有些偏，其他都蛮好的。下次如果在附近出行还会考虑入住的。', '短评打分': 5}
{'短评内容': '已经第二次入住了，设施都没话说！就是走到的里面有点吵', '短评打分': 3}
{'短评内容': '第二次入住这里，交通还算方便，服务也还可以，去的时候早了点，我要的房间还没打扫好，等了会。淋浴供水有问题，一会是冷水，没有一点热水，一会水又很烫。', '短评打分': 5}
{'短评内容': '硬件条件还不错挺方便出行的,服务也很周到,我个人感觉酒店性价比很高.', '短评打分': 5}
{'短评内容': '住到现在觉得最舒适的168，新开的，什么都很新。房间也比较大，停车场也很大。', '短评打分': 5}
{'短评内容': '比一般的三星级好得多，很新！', '短评打分': 5}
{'短评内容': '酒店的环境还不错.布局和设施也可以.整体水平不错.', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，服务周到热情，下次还会入住的。', '短评打分': 5}
{'短评内容': '卫生条件差了一些，不过硬件设施还不错，位置也很好当时对于当地不熟，找个了最近的，位置确实挺好的.整体水平比较高.', '短评打分': 5}
{'短评内容': '服务很好，早餐丰富，印象很好，下次还来。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，卫生干净，服务到位，地理位置也不错，靠近我办事的地方，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '酒店外观还不错，但内部差了点。', '短评打分': 1}
