{'短评内容': '很不错，值得一订。', '短评打分': 5}
{'短评内容': '离大雁塔两站路，1.5公里', '短评打分': 3}
{'短评内容': '地理位置好，出行方便。', '短评打分': 4}
{'短评内容': '酒店没有早餐，地理位置不错。', '短评打分': 4}
{'短评内容': '地理位置很好，就在地铁口附近，出行也很方便，离大雁塔很近，房间设施也可以。', '短评打分': 4}
{'短评内容': '帮朋友订的，离地铁口非常近', '短评打分': 5}
{'短评内容': '京东服务快捷便利，值得信赖！', '短评打分': 4}
{'短评内容': '位置不错，就是没有停车的地。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '可以，很好额', '短评打分': 5}
{'短评内容': '交通便利，出行方便，性价比高，值得入住', '短评打分': 5}
{'短评内容': '性价比好，位置优越，出行方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置还算可以，停车有点不方便，就停在路边，提心吊胆了一晚上。房间设施一般。空调很给力。服务还不错。', '短评打分': 4}
{'短评内容': '经济实惠空间大', '短评打分': 5}
{'短评内容': '酒店前面在修地铁不太方便，其它比较好。', '短评打分': 4}
{'短评内容': '多次入住了，这是几个朋友来的', '短评打分': 4}
{'短评内容': '交通方便，房间环境有点差，空调不热', '短评打分': 5}
{'短评内容': '新装修过，还不错。性价比高！', '短评打分': 4}
{'短评内容': '网络不好！', '短评打分': 5}
